Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,up,Miley Cyrus,Flowers,1,1,5,,,,,0,0,OTHER
2,up,DOROFEEVA,вотсап,2,2,3,,,,,UA,0,0
3,up,Parfeniuk,Провела екскурсію,3,1,10,,,,,UA,0,0
4,up,DOROFEEVA,Щоб не було,4,2,10,,,,,UA,0,0
5,up,Wellboy,Додому,5,3,8,,,,,UA,0,0
6,up,Артем Пивоваров,Маніфест,6,5,7,,,,,UA,0,0
7,up,Adam,Повільно,88,3,2,,,,,UA,0,0
8,down,SadSvit & СТРУКТУРА ЩАСТЯ,Силуети,7,3,15,,,,,UA,0,0
9,up,YAKTAK,Чекає вдома (feat. DOVI),10,9,7,,,,,UA,0,0
10,down,Sam Smith & Kim Petras,Unholy,8,1,21,,,,,0,0,OTHER
11,down,JAY-Z & Kanye West,Why I Love You (feat. Mr Hudson),9,9,4,,,,,0,0,OTHER
12,down,INSTASAMKA,ЗА ДЕНЬГИ ДА,11,4,12,,,,,0,RU,0
13,up,Big Baby Tape & Aarne,HOODAK MP3,13,13,3,,,,,0,RU,0
14,down,Slavik Pogosov,Монро,12,3,8,,,,,0,RU,0
15,up,Skofka,Чути гімн,15,1,29,,,,,UA,0,0
16,-,Antytila,Фортеця Бахмут,-,5,1,,,,,UA,0,0
17,down,Skofka & KALUSH,Батьківщина,14,6,9,,,,,UA,0,0
18,down,ENLEO,веди мене в храм,16,6,14,,,,,UA,0,0
19,up,KOLA,Біля серця,21,2,22,,,,,UA,0,0
20,down,Eminem,Mockingbird,19,3,17,,,,,0,0,OTHER
21,down,Artem Pivovarov & NK,Там у тополі,18,12,14,,,,,UA,0,0
22,down,"Metro Boomin, The Weeknd & 21 Savage",Creepin',17,13,11,,,,,0,0,OTHER
23,up,RAYE,Escapism. (feat. 070 Shake),28,23,9,,,,,0,0,OTHER
24,down,XOLIDAYBOY,Моя хулиганка,22,1,15,,,,,0,RU,0
25,up,LOBODA,По-Українськи,95,25,2,,,,,0,RU,0
