Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,up,XOLIDAYBOY,Моя хулиганка,1,1,5,,,,,0,RU,0
2,up,Sam Smith & Kim Petras,Unholy,2,1,11,,,,,0,0,OTHER
3,-,Lady Gaga,Bloody Mary,-,1,1,,,,,0,0,OTHER
4,down,SadSvit & СТРУКТУРА ЩАСТЯ,Силуети,3,3,5,,,,,UA,0,0
5,up,Skofka,Чути гімн,5,1,19,,,,,UA,0,0
6,up,ENLEO,веди мене в храм,8,6,4,,,,,UA,0,0
7,up,KALUSH & Kalush Orchestra,In The Shadows Of Ukraine (feat. The Rasmus),7,2,7,,,,,UA,0,0
8,up,Eminem,Mockingbird,9,3,7,,,,,0,0,OTHER
9,up,KOLA,Біля серця,10,2,12,,,,,UA,0,0
10,up,INSTASAMKA,ЗА ДЕНЬГИ ДА,96,4,2,,,,,0,RU,0
11,up,CHEEV,Гарно так,14,1,24,,,,,UA,0,0
12,down,LOBODA,Два незнайомці,11,11,3,,,,,0,RU,0
13,up,MOSOVICH & Batrai,Полярная звезда,25,12,2,,,,,0,RU,0
14,up,KALUSH,Додому (feat. Skofka),16,2,63,,,,,UA,0,0
15,down,Artem Pivovarov & NK,Там у тополі,12,12,4,,,,,UA,0,0
16,down,kizaru,Мне это не нужно,4,4,3,,,,,0,RU,0
17,up,Tom Odell,Another Love,17,6,41,,,,,0,0,OTHER
18,down,Miyagi & Эндшпиль,Временно,15,1,6,,,,,0,RU,0
19,down,SHUMEI,Біля тополі,18,9,35,,,,,UA,0,0
20,down,Chris Brown,Under the Influence,19,3,19,,,,,0,0,OTHER
21,down,kizaru,Break Up,6,6,3,,,,,0,RU,0
22,down,Chico & Qatoshi,Ластівки,21,1,24,,,,,UA,0,0
23,down,BARABANDA,Лист до мами,20,12,10,,,,,UA,0,0
24,up,KALUSH,Stefania (Kalush Orchestra),24,1,30,,,,,UA,0,0
25,up,100лица & SKYLERR,Вечорниці (Добрий день Everybody),33,2,21,,,,,UA,0,0
26,up,Markul & Тося Чайкина,Стрелы,26,15,18,,,,,0,RU,0
27,up,Miyagi & Эндшпиль,Silhouette,27,8,6,,,,,0,RU,0
28,up,Chico & Qatoshi,Допоможе ЗСУ,31,3,32,,,,,UA,0,0
29,down,Golubenko,Мила (feat. CLONNEX),28,20,5,,,,,UA,0,0
30,up,KOLA,Чи разом?,38,1,26,,,,,UA,0,0
31,down,Miyagi & Эндшпиль,Saloon,23,4,6,,,,,0,RU,0
32,up,Eminem,Superman (feat. Dina Rae),41,24,20,,,,,0,0,OTHER
33,up,PHARAOH,Идиот (feat. Ilya Konoplev),86,33,2,,,,,0,RU,0
34,up,YARMAK,ДИКЕ ПОЛЕ (feat. ALISA),39,14,28,,,,,UA,0,0
35,-,Endshpil,Приятная (feat. Ollane),-,16,1,,,,,0,RU,0
36,up,MACAN,Big City Life,97,36,2,,,,,0,RU,0
37,down,Miyagi & Эндшпиль,Не теряя,30,5,6,,,,,0,RU,0
38,down,ANNA ASTI,Ночью на кухне,36,8,7,,,,,0,RU,0
39,up,Artem Pivovarov & DOROFEEVA,Думи,43,9,27,,,,,UA,0,0
40,down,Канги & Galust,Голова,29,3,10,,,,,0,RU,0
41,up,KALUSH,Файна (feat. Skofka),42,8,40,,,,,UA,0,0
42,up,Nour,Premier amour,99,38,2,,,,,0,0,OTHER
43,up,JONY & ANNA ASTI,Как любовь твою понять?,50,43,2,,,,,0,RU,0
44,down,Grohotsky,Будь зі мною,37,28,4,,,,,UA,0,0
45,up,Scriptonite,Положение,48,17,158,,,,,0,RU,0
46,down,KALUSH,Калуські вечорниці (feat. Tember Blanche),44,13,39,,,,,UA,0,0
47,down,kizaru,Murder Rate,13,13,3,,,,,0,RU,0
48,up,Elley Duhé,MIDDLE OF THE NIGHT,51,8,58,,,,,0,0,OTHER
49,up,Alexander Teslenko,Я розбиваюся,52,45,4,,,,,UA,0,0
50,down,KALUSH,Зорi,45,9,45,,,,,UA,0,0
51,up,Jerry Heil,КОЗАЦЬКОМУ_РОДУ,73,51,2,,,,,UA,0,0
52,up,Один в каное,У мене немає дому,53,5,39,,,,,UA,0,0
53,up,Patsyki Z Franeka,Марічка,56,10,30,,,,,UA,0,0
54,up,KRBK,Крепче,63,46,8,,,,,UA,0,0
55,up,KALUSH,Тiпок (Tipok),57,21,31,,,,,UA,0,0
56,down,CHEEV,Мрієшся,54,22,9,,,,,UA,0,0
57,up,Harry Styles,As It Was,61,18,36,,,,,0,0,OTHER
58,up,Aerosmith,Dream On,80,58,2,,,,,0,0,OTHER
59,up,Skofka,Не забудем і не пробачим,60,28,30,,,,,UA,0,0
60,up,KRBK,Девушка в чёрном,69,43,12,,,,,UA,0,0
61,down,Drake & 21 Savage,Rich Flex,58,31,5,,,,,0,0,OTHER
62,up,Scriptonite,Танцуй сама,71,28,37,,,,,0,RU,0
63,up,Boombox,Люди,67,27,41,,,,,UA,0,0
64,up,ANNA ASTI,По барам,68,14,27,,,,,0,RU,0
65,up,Lost Frequencies & Calum Scott,Where Are You Now,74,27,37,,,,,0,0,OTHER
66,up,ANGY KREYDA,Враже,66,50,16,,,,,UA,0,0
67,down,Oliver Tree & Robin Schulz,Miss You,62,53,5,,,,,0,0,OTHER
68,up,Ed Sheeran,2step (feat. Antytila),81,2,30,,,,,0,0,OTHER
