Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,up,Skofka,Чути гімн,97,1,2,,,,,UA,0,0
2,down,CHEEV,Гарно так,1,1,7,,,,,UA,0,0
3,down,100лица & SKYLERR,Вечорниці (Добрий день Everybody),2,2,4,,,,,UA,0,0
4,down,Chico & Qatoshi,Ластівки,3,1,7,,,,,UA,0,0
5,down,Enleo,інша любов,4,4,4,,,,,UA,0,0
6,up,"Jakone, A.V.G & Итачи",Курить,12,6,3,,,,,0,RU,0
7,down,KOLA,Чи разом?,5,1,9,,,,,UA,0,0
8,down,KALUSH,Додому (feat. Skofka),6,2,46,,,,,UA,0,0
9,down,KALUSH,Stefania (Kalush Orchestra),7,1,13,,,,,UA,0,0
10,down,Chico & Qatoshi,Допоможе ЗСУ,9,3,15,,,,,UA,0,0
11,up,SHUMEI,Біля тополі,15,9,18,,,,,UA,0,0
12,down,"alyona alyona, Jerry Heil & ela.",KUPALA,8,4,5,,,,,UA,0,0
13,down,Мюслі UA,Добрий день Everybody (feat. VASIA CHARISMA),10,8,5,,,,,UA,0,0
14,up,Patsyki Z Franeka,Марічка,16,10,13,,,,,UA,0,0
15,up,KALUSH,Файна (feat. Skofka),20,8,23,,,,,UA,0,0
16,up,Artem Pivovarov & DOROFEEVA,Думи,17,9,10,,,,,UA,0,0
17,up,Ed Sheeran,2step (feat. Antytila),19,2,13,,,,,0,0,OTHER
18,up,Мюслі UA,"Вова, їбашь їх блять",21,1,19,,,,,UA,0,0
19,down,INSTASAMKA,MONEYKEN LOVE,13,13,4,,,,,0,RU,0
20,down,MONATIK,Молчунам,14,5,6,,,,,UA,0,0
21,up,KALUSH,Тiпок (Tipok),22,21,14,,,,,UA,0,0
22,up,ANNA ASTI,По барам,23,14,10,,,,,0,RU,0
23,down,Egor Kreed,We Gotta Get Love,18,18,3,,,,,0,RU,0
24,down,O.G EzzY,Шёлковая простынь,11,11,5,,,,,0,RU,0
25,down,JKLN,Welcome to Ukraine,24,21,7,,,,,UA,0,0
26,up,KALUSH,Калуські вечорниці (feat. Tember Blanche),27,13,22,,,,,UA,0,0
27,up,Harry Styles,As It Was,30,18,19,,,,,0,0,OTHER
28,up,Один в каное,У мене немає дому,29,5,22,,,,,UA,0,0
29,up,Chris Brown,Under the Influence,45,3,2,,,,,0,0,OTHER
30,down,V $ X V PRiNCE,Суета,26,2,11,,,,,0,RU,0
31,up,Eminem,Superman (feat. Dina Rae),36,24,3,,,,,0,0,OTHER
32,down,SHUMEI,Пробач,25,10,6,,,,,UA,0,0
33,down,KALUSH,Зорi,31,9,28,,,,,UA,0,0
34,down,Artem Pivovarov,Ой на горі,32,31,5,,,,,UA,0,0
35,down,Max Korzh,Свой дом,28,1,10,,,,,0,RU,0
36,down,Tom Odell,Another Love,33,6,24,,,,,0,0,OTHER
37,down,YARMAK,ДИКЕ ПОЛЕ (feat. ALISA),34,14,11,,,,,UA,0,0
38,-,Лилу45,Світ мене ловив,-,23,1,,,,,UA,0,0
39,up,Skofka,Не забудем і не пробачим,39,28,13,,,,,UA,0,0
40,down,PROBASS ∆ HARDI,Доброго вечора (Where Are You From),37,2,24,,,,,UA,0,0
41,down,Elley Duhé,MIDDLE OF THE NIGHT,38,8,41,,,,,0,0,OTHER
42,up,KALUSH,Давай начистоту (feat. Skofka),42,20,25,,,,,UA,0,0
43,up,Elton John & Dua Lipa,Cold Heart (PNAU Remix),48,17,45,,,,,0,0,OTHER
44,down,Lost Frequencies & Calum Scott,Where Are You Now,40,27,20,,,,,0,0,OTHER
45,up,Маша Кондратенко,Ванька-Встанька,46,45,3,,,,,UA,0,0
46,up,Scriptonite,Положение,53,17,141,,,,,0,RU,0
47,up,uglystephan & Scally Milano,Заберу,93,47,2,,,,,0,RU,0
48,down,MACAN,Останься образом,35,26,4,,,,,0,RU,0
49,down,KRBK,Увечье,41,13,7,,,,,UA,0,0
50,up,Tiësto & Ava Max,The Motto,50,35,26,,,,,0,0,OTHER
51,down,Wellboy,Ворогів на ножі,44,41,4,,,,,UA,0,0
52,up,Антон Токарев,Седьмой лепесток,52,6,28,,,,,0,RU,0
53,down,MAX BARSKIH,Буде весна,49,4,21,,,,,UA,0,0
54,up,Scriptonite,Танцуй сама,59,28,20,,,,,0,RU,0
55,up,MONATIK,"Старі фотографії (Із к/ф ""Я, ""Побєда"" і Берлін"")",55,15,22,,,,,UA,0,0
56,up,jockii druce,Шо Ви Браття,61,6,22,,,,,UA,0,0
57,down,The Limba & MORGENSHTERN,Известным,43,20,7,,,,,0,RU,0
58,up,BURLA,Руський корабль,67,10,18,,,,,UA,0,0
59,up,Mr.Kitty,After Dark,62,42,8,,,,,0,0,OTHER
60,down,To Eternity,Несмачний Мед,47,6,7,,,,,UA,0,0
61,down,KRBK,24,57,12,13,,,,,UA,0,0
62,down,Arut & Big Baby Tape,VLAGA,51,9,8,,,,,0,RU,0
63,up,Miyagi & Andy Panda,Minor,64,2,107,,,,,0,RU,0
64,up,Scriptonite & Райда,Baby mama,69,1,65,,,,,0,RU,0
65,up,Boombox,Люди,65,27,24,,,,,UA,0,0
66,up,Scriptonite,Цепи (feat. 104),71,41,61,,,,,0,RU,0
67,down,Miyagi & Andy Panda,Marmalade (feat. Mav-d),60,1,38,,,,,0,RU,0
68,up,Skofka,Ой на ой,78,64,9,,,,,UA,0,0
69,down,Artik & Asti,Гармония,63,2,29,,,,,0,RU,0
70,-,"Aarne, BUSHIDO ZHO & ANIKV",Тесно,-,3,1,,,,,0,RU,0
71,down,Анна Тринчер & MBreeze,Ти робив мені каву,54,44,4,,,,,UA,0,0
72,-,Zivert & LYRIQ,Forever Young,-,72,1,,,,,0,RU,0
73,down,HammAli & Navai,Птичка,68,1,64,,,,,0,RU,0
74,down,BUSHIDO ZHO,vodila,58,9,6,,,,,0,RU,0
75,down,Gayle,abcdefu,73,9,37,,,,,0,0,OTHER
76,down,Acraze,Do It To It (feat. Cherish),75,14,35,,,,,0,0,OTHER
77,up,KALUSH & alyona alyona,Гори (Gory),82,75,11,,,,,UA,0,0
78,down,Мюслі UA,Остановіть ви цю ху..ню!,70,6,13,,,,,UA,0,0
79,down,Jerry Heil,#МРІЯ,72,26,10,,,,,UA,0,0
80,down,Jerry Heil & Verka Serduchka,#МОСКАЛЬ_НЕКРАСІВИЙ,66,13,13,,,,,UA,0,0
81,up,The Weeknd,Blinding Lights,81,3,99,94,12/1/2019,1,3/1/2020,0,0,OTHER
82,up,LOVV66,ВАЛЫНА (feat. Платина),92,82,2,,,,,0,RU,0
83,-,Beyoncé,BREAK MY SOUL,-,83,1,,,,,0,0,OTHER
84,-,Manu Chao,Me Gustas Tu,-,38,1,,,,,0,0,OTHER
85,down,ANNA ASTI & Philipp Kirkorov,Хобби,76,21,15,,,,,0,RU,0
86,down,SAGE,Киев это Дома,74,6,13,,,,,UA,0,0
87,-,Markul & Тося Чайкина,Стрелы,-,15,1,,,,,0,RU,0
88,down,Jerry Heil,#ПОШТА,79,4,27,,,,,UA,0,0
89,down,Glass Animals,Heat Waves,80,61,31,75,2/28/2021,71,3/7/2021,0,0,OTHER
90,-,O.G EzzY,Шёлковая простынь (Speed Up),-,90,1,,,,,0,RU,0
91,down,Khrystyna Soloviy,Тримай,86,21,24,,,,,UA,0,0
92,-,NEEL & Nasty Babe,Мона Лиза,-,66,1,,,,,0,RU,0
93,down,Minelli,Rampampam,84,2,68,,,,,0,0,OTHER
94,down,Miyagi & Andy Panda,Там ревели горы,90,12,85,,,,,0,RU,0
95,down,Dxrk ダーク,RAVE,85,16,18,,,,,0,0,OTHER
96,down,Lil Morty,G,94,94,2,,,,,0,RU,0
97,down,Big Baby Tape & kizaru,99 Problems,83,1,42,,,,,0,RU,0
98,-,DOROFEEVA,різнокольорова,-,60,1,,,,,UA,0,0
99,down,The Limba,Секрет,77,2,12,,,,,0,RU,0
100,down,Wellboy,Вишнi,89,25,15,,,,,UA,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
