Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,up,Miley Cyrus,Flowers,1,1,6,,,,,0,0,OTHER
2,up,DOROFEEVA,вотсап,2,2,4,,,,,UA,0,0
3,up,Adam,Повільно,7,3,3,,,,,UA,0,0
4,down,Parfeniuk,Провела екскурсію,3,1,11,,,,,UA,0,0
5,up,Antytila,Фортеця Бахмут,16,5,2,,,,,UA,0,0
6,down,DOROFEEVA,Щоб не було,4,2,11,,,,,UA,0,0
7,down,Wellboy,Додому,5,3,9,,,,,UA,0,0
8,down,Артем Пивоваров,Маніфест,6,5,8,,,,,UA,0,0
9,up,A.V.G & Tatar,Ножевой,31,9,3,,,,,0,RU,0
10,down,YAKTAK,Чекає вдома (feat. DOVI),9,9,8,,,,,UA,0,0
11,down,SadSvit & СТРУКТУРА ЩАСТЯ,Силуети,8,3,16,,,,,UA,0,0
12,down,Sam Smith & Kim Petras,Unholy,10,1,22,,,,,0,0,OTHER
13,down,JAY-Z & Kanye West,Why I Love You (feat. Mr Hudson),11,9,5,,,,,0,0,OTHER
14,up,Skofka,Чути гімн,15,1,30,,,,,UA,0,0
15,up,KOLA,Тебе - собі,99,15,2,,,,,UA,0,0
16,up,ENLEO,веди мене в храм,18,6,15,,,,,UA,0,0
17,up,KOLA,Біля серця,19,2,23,,,,,UA,0,0
18,down,Slavik Pogosov,Монро,14,3,9,,,,,0,RU,0
19,up,Eminem,Mockingbird,20,3,18,,,,,0,0,OTHER
20,down,Skofka & KALUSH,Батьківщина,17,6,10,,,,,UA,0,0
21,up,Artem Pivovarov & NK,Там у тополі,21,12,15,,,,,UA,0,0
22,down,INSTASAMKA,ЗА ДЕНЬГИ ДА,12,4,13,,,,,0,RU,0
23,up,XOLIDAYBOY,Моя хулиганка,24,1,16,,,,,0,RU,0
24,up,CHEEV,Гарно так,28,1,35,,,,,UA,0,0
25,down,"Metro Boomin, The Weeknd & 21 Savage",Creepin',22,13,12,,,,,0,0,OTHER
26,down,Big Baby Tape & Aarne,HOODAK MP3,13,13,4,,,,,0,RU,0
27,down,RAYE,Escapism. (feat. 070 Shake),23,23,10,,,,,0,0,OTHER
28,down,KALUSH,Додому (feat. Skofka),27,2,74,,,,,UA,0,0
29,down,LOBODA,По-Українськи,25,25,3,,,,,0,RU,0
30,down,Miguel,Sure Thing,29,22,6,,,,,0,0,OTHER
31,up,DOVI,Спокійно,88,31,2,,,,,UA,0,0
32,down,Lady Gaga,Bloody Mary,26,1,12,,,,,0,0,OTHER
