Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,-,MACAN,За всех,-,1,1,,,,,0,RU,0
2,up,GAYAZOV$ BROTHER$,МАЛИНОВАЯ ЛАДА,2,2,7,,,,,0,RU,0
3,up,Kambulat,Выпей меня,55,3,2,,,,,0,RU,0
4,down,ANNA ASTI,Феникс,1,1,5,,,,,0,RU,0
5,down,Artik & Asti,Гармония,3,2,4,,,,,0,RU,0
6,up,Антон Токарев,Седьмой лепесток,6,6,3,,,,,0,RU,0
7,down,Miyagi & Andy Panda,Marmalade (feat. Mav-d),4,1,13,,,,,0,RU,0
8,down,ZAPOMNI,Я всё решу (Intro),5,3,4,,,,,0,RU,0
9,down,Люся Чеботина,СОЛНЦЕ МОНАКО,7,3,15,,,,,0,RU,0
10,up,Big Baby Tape & kizaru,99 Problems,10,1,17,,,,,0,RU,0
11,up,Xcho,Эскизы,11,7,10,,,,,0,RU,0
12,down,Miyagi & Andy Panda,Буревестник,8,2,6,,,,,0,RU,0
13,down,Lesha Svik,Плакала,9,1,6,,,,,0,RU,0
14,-,Egor Kreed & MakSim,Отпускаю,-,1,1,,,,,0,RU,0
15,up,Zivert,ASTALAVISTALOVE,81,15,2,,,,,0,RU,0
16,down,JONY,На сиреневой луне,12,7,8,,,,,0,RU,0
17,down,Elley Duhé,MIDDLE OF THE NIGHT,14,8,16,,,,,0,0,OTHER
18,down,Scriptonite & Райда,Baby mama,16,1,40,,,,,0,RU,0
19,down,Big Baby Tape & Молодой Платон,ВЛЮБИЛАСЬ,13,10,9,,,,,0,RU,0
20,down,Acraze,Do It To It (feat. Cherish),15,14,10,,,,,0,0,OTHER
21,down,Elton John & Dua Lipa,Cold Heart (PNAU Remix),17,17,20,,,,,0,0,OTHER
22,down,Big Baby Tape & kizaru,Million,18,2,17,,,,,0,RU,0
23,down,NЮ,Никто,20,7,14,,,,,0,RU,0
24,up,Jerry Heil,#ПОШТА,84,4,2,,,,,UA,0,0
25,down,HammAli & Navai,Птичка,23,1,39,,,,,0,RU,0
26,down,Öwnboss & SEVEK,Move Your Body,21,20,10,,,,,0,0,OTHER
27,down,Big Baby Tape & kizaru,Bandana,24,2,17,,,,,0,RU,0
28,up,Guf,Алик,79,28,2,,,,,0,RU,0
29,up,Артём Качер,Материк,31,29,3,,,,,0,RU,0
30,down,Ollane,Touch the Sky (feat. Miyagi),25,11,13,,,,,0,RU,0
31,up,Gayle,abcdefu,32,9,12,,,,,0,0,OTHER
32,down,HammAli & Navai & Jah Khalib,"Боже, как завидую",28,2,14,,,,,0,RU,0
33,up,Scriptonite,Танцуй сама,33,28,6,,,,,0,RU,0
34,up,Minelli,Rampampam,39,2,43,,,,,0,0,OTHER
35,down,Miyagi & Andy Panda,Патрон,34,1,46,,,,,0,RU,0
36,down,JONY & HammAli,"Наверно, ты меня не помнишь",30,4,16,,,,,0,RU,0
37,down,KOSMONAVTOV NET,МЯТОЙ (Remix 2010),19,12,5,,,,,0,RU,0
38,down,Ramil',Маяк,22,22,3,,,,,0,RU,0
39,up,BRANYA & MACAN,Пополам,40,1,35,,,,,0,RU,0
40,up,Labrinth & Zendaya,All for Us (From the HBO Original Series Euphoria),90,40,2,,,,,0,0,OTHER
41,down,Ed Sheeran,Shivers (feat. Feduk & Slava Marlow),26,7,9,,,,,0,0,OTHER
42,down,Scriptonite,Положение,37,17,117,,,,,0,RU,0
43,down,Miyagi & Andy Panda,Minor,38,2,83,,,,,0,RU,0
44,up,ELMAN,Самолёт бумажный,94,44,2,,,,,0,RU,0
45,down,LOBODA,ЗанесLo,29,3,10,,,,,0,RU,0
46,up,ALEKS ATAMAN & Finik.Finya,Диалоги тет-а-тет,85,27,7,,,,,0,RU,0
47,down,HammAli & Navai & MACAN,она хочет быть моделью,46,2,10,,,,,0,RU,0
48,down,ZAPOMNI,Кожура,27,2,7,,,,,0,RU,0
49,up,Jnr Choi,To the Moon,76,48,2,,,,,0,0,OTHER
50,-,Ваня Дмитриенко,Лего,-,50,1,,,,,0,RU,0
51,down,10AGE,Пушка,44,3,35,,,,,0,RU,0
52,down,Akmal',Из-за тебя,41,2,19,,,,,0,RU,0
53,-,escape,Please don’t break my heart,-,53,1,,,,,0,RU,0
54,down,Yung Lean,Ginseng Strip 2002,36,36,3,,,,,0,0,OTHER
55,up,LYRIQ,Однажды,66,55,2,,,,,0,RU,0
56,up,Konfuz,Кайф ты поймала,87,36,16,,,,,0,RU,0
57,down,10AGE,Зоопарк,48,5,22,,,,,0,RU,0
58,down,Akmal',Вдоль дорог,50,17,12,,,,,0,RU,0
59,up,KALUSH,Додому (feat. Skofka),88,2,21,,,,,UA,0,0
60,down,Ivan Dorn,тебе нема сьогодні,52,10,12,,,,,UA,0,0
61,up,Glass Animals,Heat Waves,70,61,6,75,2/28/2021,71,3/7/2021,0,0,OTHER
62,down,Xcho,Вороны,51,17,19,,,,,0,RU,0
63,up,Miyagi & Эндшпиль,I Got Love (feat. Рем Дигга),63,49,76,,,,,0,RU,0
64,down,Scriptonite,Цепи (feat. 104),58,41,50,,,,,0,RU,0
65,down,Max Korzh,Афган,47,2,9,,,,,0,RU,0
66,down,Скриптонит,Москва любит...,62,5,102,,,,,0,RU,0
67,down,GUMA,Стеклянная,49,1,28,,,,,0,RU,0
68,up,Scriptonite,Это любовь,68,52,37,,,,,0,RU,0
69,down,DJ SMASH & Poёt,АТМЛ,35,35,3,,,,,0,RU,0
70,down,The Kid LAROI & Justin Bieber,Stay,54,11,31,,,,,0,0,OTHER
71,up,MAX BARSKIH,No Exit,86,71,2,,,,,UA,0,0
