Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,up,CHEEV,Гарно так,1,1,4,,,,,UA,0,0
2,up,Chico & Qatoshi,Ластівки,2,1,4,,,,,UA,0,0
3,up,KOLA,Чи разом?,3,1,6,,,,,UA,0,0
4,up,"alyona alyona, Jerry Heil & ela.",KUPALA,38,4,2,,,,,UA,0,0
5,up,MONATIK,Молчунам,5,5,3,,,,,UA,0,0
6,down,KALUSH,Stefania (Kalush Orchestra),4,1,10,,,,,UA,0,0
7,down,KALUSH,Додому (feat. Skofka),6,2,43,,,,,UA,0,0
8,up,Мюслі UA,Добрий день Everybody (feat. VASIA CHARISMA),40,8,2,,,,,UA,0,0
9,down,Chico & Qatoshi,Допоможе ЗСУ,7,3,12,,,,,UA,0,0
10,up,SHUMEI,Пробач,10,10,3,,,,,UA,0,0
11,up,Artem Pivovarov & DOROFEEVA,Думи,12,9,7,,,,,UA,0,0
12,down,Ed Sheeran,2step (feat. Antytila),8,2,10,,,,,0,0,OTHER
13,up,Patsyki Z Franeka,Марічка,15,10,10,,,,,UA,0,0
14,up,O.G EzzY,Шёлковая простынь,87,11,2,,,,,0,RU,0
15,down,V $ X V PRiNCE,Суета,13,2,8,,,,,0,RU,0
16,down,Max Korzh,Свой дом,11,1,7,,,,,0,RU,0
17,up,KALUSH,Файна (feat. Skofka),17,8,20,,,,,UA,0,0
18,down,Мюслі UA,"Вова, їбашь їх блять",14,1,16,,,,,UA,0,0
19,up,SHUMEI,Біля тополі,22,9,15,,,,,UA,0,0
20,up,ANNA ASTI,По барам,20,14,7,,,,,0,RU,0
21,up,JKLN,Welcome to Ukraine,21,21,4,,,,,UA,0,0
22,up,The Limba & MORGENSHTERN,Известным,23,20,4,,,,,0,RU,0
23,up,KALUSH,Тiпок (Tipok),24,21,11,,,,,UA,0,0
24,down,BUSHIDO ZHO,vodila,9,9,3,,,,,0,RU,0
25,down,To Eternity,Несмачний Мед,16,6,4,,,,,UA,0,0
26,up,KALUSH,Зорi,26,9,25,,,,,UA,0,0
27,down,Arut & Big Baby Tape,VLAGA,18,9,5,,,,,0,RU,0
28,down,KRBK,Увечье,19,13,4,,,,,UA,0,0
29,up,KALUSH,Калуські вечорниці (feat. Tember Blanche),30,13,19,,,,,UA,0,0
30,up,MORGENSHTERN & Aarne,DALEKO,91,30,2,,,,,0,RU,0
31,down,Один в каное,У мене немає дому,28,5,19,,,,,UA,0,0
32,down,YARMAK,ДИКЕ ПОЛЕ (feat. ALISA),27,14,8,,,,,UA,0,0
33,down,Harry Styles,As It Was,31,18,16,,,,,0,0,OTHER
34,down,PROBASS ∆ HARDI,Доброго вечора (Where Are You From),33,2,21,,,,,UA,0,0
35,up,Artem Pivovarov,Ой на горі,99,31,2,,,,,UA,0,0
36,down,Tom Odell,Another Love,34,6,21,,,,,0,0,OTHER
37,down,Elley Duhé,MIDDLE OF THE NIGHT,35,8,38,,,,,0,0,OTHER
38,down,Skofka,Не забудем і не пробачим,37,28,10,,,,,UA,0,0
39,-,INSTASAMKA,MONEYKEN LOVE,-,13,1,,,,,0,RU,0
40,down,MAX BARSKIH,Буде весна,39,4,18,,,,,UA,0,0
41,up,Антон Токарев,Седьмой лепесток,47,6,25,,,,,0,RU,0
42,up,Lost Frequencies & Calum Scott,Where Are You Now,43,27,17,,,,,0,0,OTHER
43,up,KALUSH,Давай начистоту (feat. Skofka),45,20,22,,,,,UA,0,0
44,up,Kate Bush,Running Up That Hill (A Deal With God),48,37,7,,,,,0,0,OTHER
45,down,KRBK,24,44,12,10,,,,,UA,0,0
46,up,The Limba,Секрет,46,2,9,,,,,0,RU,0
