Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,up,Мюслі UA,"Вова, їбашь їх блять",1,1,6,,,,,UA,0,0
2,up,KALUSH,Stefania (Kalush Orchestra),2,1,13,,,,,UA,0,0
3,up,KALUSH,Додому (feat. Skofka),3,2,33,,,,,UA,0,0
4,up,Chico & Qatoshi,Допоможе ЗСУ,30,3,2,,,,,UA,0,0
5,down,MAX BARSKIH,Буде весна,4,4,8,,,,,UA,0,0
6,down,PROBASS ∆ HARDI,Доброго вечора (Where Are You From),5,2,11,,,,,UA,0,0
7,down,Один в каное,У мене немає дому,6,5,9,,,,,UA,0,0
8,down,The Kiffness,Oy U Luzi Chervona Kalyna (feat. Boombox) [Army Remix],7,7,8,,,,,UA,0,0
9,up,alyona alyona,Рідні мої (feat. Jerry Heil),12,9,3,,,,,UA,0,0
10,down,JONY,Титры,8,8,3,,,,,0,RU,0
11,up,jockii druce,Шо Ви Браття,11,6,9,,,,,UA,0,0
12,down,Tom Odell,Another Love,9,6,11,,,,,0,0,OTHER
13,down,Jerry Heil,#ПОШТА,10,4,14,,,,,UA,0,0
14,up,Elley Duhé,MIDDLE OF THE NIGHT,15,8,28,,,,,0,0,OTHER
15,down,BURLA,Руський корабль,13,10,5,,,,,UA,0,0
16,up,KALUSH,Файна (feat. Skofka),22,8,10,,,,,UA,0,0
17,up,KALUSH,Зорi,19,9,15,,,,,UA,0,0
18,down,Dxrk ダーク,RAVE,17,16,5,,,,,0,0,OTHER
19,down,MONATIK,"Старі фотографії (Із к/ф ""Я, ""Побєда"" і Берлін"")",16,15,9,,,,,UA,0,0
20,up,SHUMEI,Біля тополі,21,9,5,,,,,UA,0,0
21,up,ANNA ASTI & Philipp Kirkorov,Хобби,79,21,2,,,,,0,RU,0
22,down,LAUD,2 дні,20,9,8,,,,,UA,0,0
23,up,MAX BARSKIH,Don't Fuck With Ukraine,85,18,2,,,,,UA,0,0
24,down,MORGENSHTERN,Селяви,14,3,5,,,,,0,RU,0
25,down,Harry Styles,As It Was,23,18,6,,,,,0,0,OTHER
