Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,up,KOLA,Чи разом?,1,1,3,,,,,UA,0,0
2,-,Chico & Qatoshi,Ластівки,-,1,1,,,,,UA,0,0
3,up,KALUSH,Stefania (Kalush Orchestra),3,1,7,,,,,UA,0,0
4,down,Max Korzh,Свой дом,2,1,4,,,,,0,RU,0
5,up,KALUSH,Додому (feat. Skofka),5,2,40,,,,,UA,0,0
6,up,Ed Sheeran,2step (feat. Antytila),6,2,7,,,,,0,0,OTHER
7,up,Chico & Qatoshi,Допоможе ЗСУ,7,3,9,,,,,UA,0,0
8,down,V $ X V PRiNCE,Суета,4,2,5,,,,,0,RU,0
9,up,Arut & Big Baby Tape,VLAGA,82,9,2,,,,,0,RU,0
10,down,Мюслі UA,"Вова, їбашь їх блять",8,1,13,,,,,UA,0,0
11,down,Artem Pivovarov & DOROFEEVA,Думи,9,9,4,,,,,UA,0,0
12,down,Patsyki Z Franeka,Марічка,10,10,7,,,,,UA,0,0
13,down,KALUSH,Файна (feat. Skofka),11,8,17,,,,,UA,0,0
14,up,Max Korzh,Это наш путь,83,14,2,,,,,0,RU,0
15,down,ANNA ASTI,По барам,14,14,4,,,,,0,RU,0
16,-,To Eternity,Несмачний Мед,-,6,1,,,,,UA,0,0
17,down,The Limba,Секрет,12,2,6,,,,,0,RU,0
18,down,KALUSH,Зорi,13,9,22,,,,,UA,0,0
19,down,YARMAK,ДИКЕ ПОЛЕ (feat. ALISA),18,14,5,,,,,UA,0,0
20,down,MAX BARSKIH,Буде весна,17,4,15,,,,,UA,0,0
21,down,Один в каное,У мене немає дому,16,5,16,,,,,UA,0,0
22,up,SHUMEI,Біля тополі,23,9,12,,,,,UA,0,0
23,down,SAGE,Киев это Дома,15,6,7,,,,,UA,0,0
24,down,KALUSH,Калуські вечорниці (feat. Tember Blanche),19,13,16,,,,,UA,0,0
25,down,Harry Styles,As It Was,21,18,13,,,,,0,0,OTHER
26,down,PROBASS ∆ HARDI,Доброго вечора (Where Are You From),20,2,18,,,,,UA,0,0
27,down,KALUSH,Тiпок (Tipok),25,21,8,,,,,UA,0,0
28,down,Elley Duhé,MIDDLE OF THE NIGHT,24,8,35,,,,,0,0,OTHER
29,down,Lost Frequencies & Calum Scott,Where Are You Now,27,27,14,,,,,0,0,OTHER
30,down,Мюслі UA,Остановіть ви цю ху..ню!,22,6,7,,,,,UA,0,0
31,down,Tom Odell,Another Love,30,6,18,,,,,0,0,OTHER
32,down,KRBK,24,28,12,7,,,,,UA,0,0
33,down,Jerry Heil & Verka Serduchka,#МОСКАЛЬ_НЕКРАСІВИЙ,29,13,7,,,,,UA,0,0
34,down,Jerry Heil,#МРІЯ,26,26,4,,,,,UA,0,0
35,down,KALUSH,Давай начистоту (feat. Skofka),31,20,19,,,,,UA,0,0
36,down,ANNA ASTI & Philipp Kirkorov,Хобби,32,21,9,,,,,0,RU,0
37,down,Elton John & Dua Lipa,Cold Heart (PNAU Remix),34,17,39,,,,,0,0,OTHER
38,down,Jerry Heil,#ПОШТА,33,4,21,,,,,UA,0,0
39,up,Skofka,Не забудем і не пробачим,48,28,7,,,,,UA,0,0
40,down,Tiësto & Ava Max,The Motto,35,35,20,,,,,0,0,OTHER
41,down,Антон Токарев,Седьмой лепесток,36,6,22,,,,,0,RU,0
42,up,Mr.Kitty,After Dark,95,42,2,,,,,0,0,OTHER
43,down,MONATIK,"Старі фотографії (Із к/ф ""Я, ""Побєда"" і Берлін"")",42,15,16,,,,,UA,0,0
44,down,Miyagi & Andy Panda,Marmalade (feat. Mav-d),40,1,32,,,,,0,RU,0
45,down,Vendetta,Лепит нас,38,38,4,,,,,UA,0,0
46,up,"Jakone, A.V.G & MACAN",Самый молодой,92,46,2,,,,,0,RU,0
47,down,Scriptonite & Райда,Baby mama,41,1,59,,,,,0,RU,0
