Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,up,Miley Cyrus,Flowers,90,1,2,,,,,0,0,OTHER
2,down,Parfeniuk,Провела екскурсію,1,1,7,,,,,UA,0,0
3,down,DOROFEEVA,Щоб не було,2,2,7,,,,,UA,0,0
4,down,Wellboy,Додому,3,3,5,,,,,UA,0,0
5,down,Slavik Pogosov,Монро,4,3,5,,,,,0,RU,0
6,up,Артем Пивоваров,Маніфест,11,5,4,,,,,UA,0,0
7,down,INSTASAMKA,ЗА ДЕНЬГИ ДА,5,4,9,,,,,0,RU,0
8,up,SadSvit & СТРУКТУРА ЩАСТЯ,Силуети,12,3,12,,,,,UA,0,0
9,down,Skofka & KALUSH,Батьківщина,7,6,6,,,,,UA,0,0
10,up,NAZVA,Сіґеле-міґеле,10,10,3,,,,,UA,0,0
11,down,Lady Gaga,Bloody Mary,6,1,8,,,,,0,0,OTHER
12,up,Skofka,Чути гімн,13,1,26,,,,,UA,0,0
13,up,YAKTAK,Чекає вдома (feat. DOVI),20,9,4,,,,,UA,0,0
14,down,Sam Smith & Kim Petras,Unholy,9,1,18,,,,,0,0,OTHER
15,down,XOLIDAYBOY,Моя хулиганка,8,1,12,,,,,0,RU,0
16,down,Artem Pivovarov & NK,Там у тополі,14,12,11,,,,,UA,0,0
17,down,ENLEO,веди мене в храм,15,6,11,,,,,UA,0,0
18,down,"Metro Boomin, The Weeknd & 21 Savage",Creepin',17,13,8,,,,,0,0,OTHER
19,up,KOLA,Біля серця,19,2,19,,,,,UA,0,0
20,up,Eminem,Mockingbird,21,3,14,,,,,0,0,OTHER
21,down,Quest Pistols Show,Ти неймовірна,18,8,6,,,,,UA,0,0
22,up,Miguel,Sure Thing,39,22,2,,,,,0,0,OTHER
23,up,KALUSH,Додому (feat. Skofka),24,2,70,,,,,UA,0,0
24,up,CHEEV,Гарно так,25,1,31,,,,,UA,0,0
25,down,TVORCHI,Heart of Steel,16,3,7,,,,,UA,0,0
26,up,Endshpil,Приятная (feat. Ollane),26,16,8,,,,,0,RU,0
27,up,SHUMEI,Біля тополі,29,9,42,,,,,UA,0,0
28,up,WHITE GALLOWS,Город,95,27,2,,,,,0,RU,0
29,down,Tom Odell,Another Love,28,6,48,,,,,0,0,OTHER
30,down,Fiinka,Довбуш,23,19,5,,,,,UA,0,0
31,down,INSTASAMKA,КАК MOMMY,22,22,4,,,,,0,RU,0
32,down,KALUSH,Stefania (Kalush Orchestra),30,1,37,,,,,UA,0,0
33,down,Chico & Qatoshi,Ластівки,31,1,31,,,,,UA,0,0
34,down,Eminem,Superman (feat. Dina Rae),33,24,27,,,,,0,0,OTHER
35,up,Enleo,інша любов,45,4,21,,,,,UA,0,0
36,down,Chris Brown,Under the Influence,34,3,26,,,,,0,0,OTHER
37,up,RAYE,Escapism. (feat. 070 Shake),38,28,6,,,,,0,0,OTHER
38,down,100лица & SKYLERR,Вечорниці (Добрий день Everybody),35,2,28,,,,,UA,0,0
39,down,Artem Pivovarov & DOROFEEVA,Думи,37,9,34,,,,,UA,0,0
40,down,Big Baby Tape,Like A G6,27,12,6,,,,,0,RU,0
41,up,Golubenko,Мила (feat. CLONNEX),44,20,12,,,,,UA,0,0
42,down,KALUSH & Kalush Orchestra,In The Shadows Of Ukraine (feat. The Rasmus),36,2,14,,,,,UA,0,0
43,up,Chico & Qatoshi,Допоможе ЗСУ,43,3,39,,,,,UA,0,0
