Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,up,Miley Cyrus,Flowers,1,1,7,,,,,0,0,OTHER
2,up,Adam,Повільно,3,2,4,,,,,UA,0,0
3,up,Parfeniuk,Провела екскурсію,4,1,12,,,,,UA,0,0
4,down,DOROFEEVA,вотсап,2,2,5,,,,,UA,0,0
5,up,Antytila,Фортеця Бахмут,5,5,3,,,,,UA,0,0
6,up,KOLA,Тебе - собі,15,6,3,,,,,UA,0,0
7,up,Wellboy,Додому,7,3,10,,,,,UA,0,0
8,down,DOROFEEVA,Щоб не було,6,2,12,,,,,UA,0,0
9,down,Артем Пивоваров,Маніфест,8,5,9,,,,,UA,0,0
10,down,A.V.G & Tatar,Ножевой,9,9,4,,,,,0,RU,0
11,up,SadSvit & СТРУКТУРА ЩАСТЯ,Силуети,11,3,17,,,,,UA,0,0
12,down,YAKTAK,Чекає вдома (feat. DOVI),10,9,9,,,,,UA,0,0
13,down,Sam Smith & Kim Petras,Unholy,12,1,23,,,,,0,0,OTHER
14,up,Skofka,Чути гімн,14,1,31,,,,,UA,0,0
15,up,ENLEO,веди мене в храм,16,6,16,,,,,UA,0,0
16,down,JAY-Z & Kanye West,Why I Love You (feat. Mr Hudson),13,9,6,,,,,0,0,OTHER
17,up,KOLA,Біля серця,17,2,24,,,,,UA,0,0
18,up,Eminem,Mockingbird,19,3,19,,,,,0,0,OTHER
19,up,Artem Pivovarov & NK,Там у тополі,21,12,16,,,,,UA,0,0
20,up,Skofka & KALUSH,Батьківщина,20,6,11,,,,,UA,0,0
21,up,CHEEV,Гарно так,24,1,36,,,,,UA,0,0
22,up,DOVI,Спокійно,31,22,3,,,,,UA,0,0
23,up,KALUSH,Додому (feat. Skofka),28,2,75,,,,,UA,0,0
24,down,Slavik Pogosov,Монро,18,3,10,,,,,0,RU,0
25,up,Kaspiyskiy Gruz,На белом (feat. Гио Пика),59,25,4,,,,,0,RU,0
26,up,Tery & Libenson,Не можу так,54,26,3,,,,,UA,0,0
27,down,"Metro Boomin, The Weeknd & 21 Savage",Creepin',25,13,13,,,,,0,0,OTHER
28,-,MamaRika & KOLA,Люди,-,28,1,,,,,UA,0,0
29,down,XOLIDAYBOY,Моя хулиганка,23,1,17,,,,,0,RU,0
30,down,RAYE,Escapism. (feat. 070 Shake),27,23,11,,,,,0,0,OTHER
31,up,Enleo,інша любов,33,4,26,,,,,UA,0,0
32,down,Miguel,Sure Thing,30,22,7,,,,,0,0,OTHER
33,up,Tom Odell,Another Love,34,6,53,,,,,0,0,OTHER
34,up,SHUMEI,Біля тополі,37,9,47,,,,,UA,0,0
35,up,KALUSH,Stefania (Kalush Orchestra),38,1,42,,,,,UA,0,0
36,down,Harry Styles,As It Was,35,18,48,,,,,0,0,OTHER
37,down,Big Baby Tape & Aarne,HOODAK MP3,26,13,5,,,,,0,RU,0
38,down,Lady Gaga,Bloody Mary,32,1,13,,,,,0,0,OTHER
39,down,INSTASAMKA,ЗА ДЕНЬГИ ДА,22,4,14,,,,,0,RU,0
40,up,100лиця,Троянди,73,40,2,,,,,UA,0,0
41,down,Chico & Qatoshi,Ластівки,39,1,36,,,,,UA,0,0
42,down,Artem Pivovarov & DOROFEEVA,Думи,41,9,39,,,,,UA,0,0
43,down,Eminem,Superman (feat. Dina Rae),40,24,32,,,,,0,0,OTHER
44,down,Endshpil,Приятная (feat. Ollane),36,16,13,,,,,0,RU,0
45,up,KOLA,Чи разом?,47,1,38,,,,,UA,0,0
46,down,Chris Brown,Under the Influence,43,3,31,,,,,0,0,OTHER
47,down,PIKA,Кмон,46,46,3,,,,,0,RU,0
48,down,Elley Duhé,MIDDLE OF THE NIGHT,45,8,70,,,,,0,0,OTHER
49,up,INSTASAMKA,Отключаю телефон,97,49,2,,,,,0,RU,0
50,up,Scriptonite,Танцуй сама,62,28,49,,,,,0,RU,0
51,down,KALUSH,Файна (feat. Skofka),50,8,52,,,,,UA,0,0
52,up,Chico & Qatoshi,Допоможе ЗСУ,53,3,44,,,,,UA,0,0
53,down,100лица & SKYLERR,Вечорниці (Добрий день Everybody),51,2,33,,,,,UA,0,0
54,down,SadSvit,Касета,49,36,17,,,,,UA,0,0
55,up,Майкола Вайнер,Patton (feat. Kalush),55,55,8,,,,,UA,0,0
56,down,LOBODA,По-Українськи,29,25,4,,,,,0,RU,0
57,up,Lost Frequencies & Calum Scott,Where Are You Now,58,27,49,,,,,0,0,OTHER
58,down,KALUSH,Калуські вечорниці (feat. Tember Blanche),57,13,51,,,,,UA,0,0
59,-,HammAli & Navai,"Засыпай, красавица",-,59,1,,,,,0,RU,0
60,down,NAZVA,Сіґеле-міґеле,44,10,8,,,,,UA,0,0
61,up,KALUSH,Зорi,61,9,57,,,,,UA,0,0
62,up,Scriptonite,Цепи (feat. 104),79,41,88,,,,,0,RU,0
63,down,Golubenko,Мила (feat. CLONNEX),56,20,17,,,,,UA,0,0
64,down,Quest Pistols Show,Ти неймовірна,48,8,11,,,,,UA,0,0
65,down,Grohotsky,Будь зі мною,63,28,16,,,,,UA,0,0
66,down,ANNA ASTI,По барам,60,14,39,,,,,0,RU,0
67,down,Boombox,Люди,66,27,53,,,,,UA,0,0
68,down,Elton John & Dua Lipa,Cold Heart (PNAU Remix),64,17,74,,,,,0,0,OTHER
69,up,Один в каное,У мене немає дому,72,5,51,,,,,UA,0,0
70,down,KALUSH,Тiпок (Tipok),69,21,43,,,,,UA,0,0
71,down,Patsyki Z Franeka,Марічка,68,10,42,,,,,UA,0,0
72,down,Imagine Dragons,Bones,71,60,24,,,,,0,0,OTHER
73,up,Rihanna,Bitch Better Have My Money,83,73,2,,,,,0,0,OTHER
74,down,Tiësto & Ava Max,The Motto,67,35,55,,,,,0,0,OTHER
75,down,Markul & Тося Чайкина,Стрелы,70,15,30,,,,,0,RU,0
76,up,YARMAK,ДИКЕ ПОЛЕ (feat. ALISA),78,14,40,,,,,UA,0,0
77,down,WHITE GALLOWS,Город,52,27,7,,,,,0,RU,0
78,up,KRBK,Девушка в чёрном,80,43,24,,,,,UA,0,0
79,down,CHEEV,Мрієшся,76,22,21,,,,,UA,0,0
80,down,The Neighbourhood,Sweater Weather,74,71,19,77,2021-01-10,63,2021-02-07,0,0,OTHER
81,down,The Weeknd,Blinding Lights,77,3,121,94,2019-12-01,1,2020-03-01,0,0,OTHER
82,up,Skofka,Не забудем і не пробачим,94,28,42,,,,,UA,0,0
83,up,KRBK,Крепче,91,46,20,,,,,UA,0,0
84,down,KALUSH & Kalush Orchestra,In The Shadows Of Ukraine (feat. The Rasmus),81,2,19,,,,,UA,0,0
85,down,Mr.Kitty,After Dark,84,42,36,,,,,0,0,OTHER
86,up,ANGY KREYDA,Враже,92,50,28,,,,,UA,0,0
87,up,KOZAK SIROMAHA,Гуляли,88,81,6,,,,,UA,0,0
88,down,Alexander Teslenko,Я розбиваюся,82,45,15,,,,,UA,0,0
89,up,Coolio,Gangsta's Paradise (feat. L.V.),95,45,20,,,,,0,0,OTHER
90,up,Vsivdoma,Відьма,99,90,2,,,,,UA,0,0
91,down,MACAN & Xcho,Простуда,75,75,4,,,,,0,RU,0
92,down,TVORCHI,Heart of Steel,65,3,12,,,,,UA,0,0
93,-,BARABANDA,Лист до мами,-,12,21,,,,,UA,0,0
94,down,Scriptonite,Положение,42,17,170,,,,,0,RU,0
95,down,SODA LUV,ЯЛРС,85,85,3,,,,,0,RU,0
96,-,The Weeknd & Ariana Grande,Die For You (Remix),-,96,1,,,,,0,0,OTHER
97,-,Dj Belite,All Eyes on Me,-,96,2,,,,,0,0,OTHER
98,-,DOVI & NICHKA,До зими,-,98,1,,,,,UA,0,0
99,down,The Weeknd,Starboy (feat. Daft Punk),98,98,2,,,,,0,0,OTHER
100,down,Rihanna,Umbrella (feat. JAY Z),93,93,2,,,,,0,0,OTHER
