Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,up,Chico & Qatoshi,Ластівки,2,1,2,,,,,UA,0,0
2,down,KOLA,Чи разом?,1,1,4,,,,,UA,0,0
3,up,KALUSH,Stefania (Kalush Orchestra),3,1,8,,,,,UA,0,0
4,up,KALUSH,Додому (feat. Skofka),5,2,41,,,,,UA,0,0
5,up,Chico & Qatoshi,Допоможе ЗСУ,7,3,10,,,,,UA,0,0
6,up,To Eternity,Несмачний Мед,16,6,2,,,,,UA,0,0
7,down,Max Korzh,Свой дом,4,1,5,,,,,0,RU,0
8,down,Ed Sheeran,2step (feat. Antytila),6,2,8,,,,,0,0,OTHER
9,down,V $ X V PRiNCE,Суета,8,2,6,,,,,0,RU,0
10,down,Arut & Big Baby Tape,VLAGA,9,9,3,,,,,0,RU,0
11,down,Мюслі UA,"Вова, їбашь їх блять",10,1,14,,,,,UA,0,0
12,down,Artem Pivovarov & DOROFEEVA,Думи,11,9,5,,,,,UA,0,0
13,up,KRBK,Увечье,79,13,2,,,,,UA,0,0
14,up,CHEEV,Гарно так,85,1,2,,,,,UA,0,0
15,down,Patsyki Z Franeka,Марічка,12,10,8,,,,,UA,0,0
16,down,KALUSH,Файна (feat. Skofka),13,8,18,,,,,UA,0,0
17,down,ANNA ASTI,По барам,15,14,5,,,,,0,RU,0
18,up,SHUMEI,Біля тополі,22,9,13,,,,,UA,0,0
19,down,KALUSH,Зорi,18,9,23,,,,,UA,0,0
20,up,The Limba & MORGENSHTERN,Известным,88,20,2,,,,,0,RU,0
21,down,YARMAK,ДИКЕ ПОЛЕ (feat. ALISA),19,14,6,,,,,UA,0,0
22,up,KALUSH,Тiпок (Tipok),27,21,9,,,,,UA,0,0
23,down,Один в каное,У мене немає дому,21,5,17,,,,,UA,0,0
24,up,JKLN,Welcome to Ukraine,84,21,2,,,,,UA,0,0
25,down,KALUSH,Калуські вечорниці (feat. Tember Blanche),24,13,17,,,,,UA,0,0
26,down,SAGE,Киев это Дома,23,6,8,,,,,UA,0,0
27,down,PROBASS ∆ HARDI,Доброго вечора (Where Are You From),26,2,19,,,,,UA,0,0
28,down,Harry Styles,As It Was,25,18,14,,,,,0,0,OTHER
29,down,MAX BARSKIH,Буде весна,20,4,16,,,,,UA,0,0
30,down,Max Korzh,Это наш путь,14,14,3,,,,,0,RU,0
31,down,Elley Duhé,MIDDLE OF THE NIGHT,28,8,36,,,,,0,0,OTHER
32,down,The Limba,Секрет,17,2,7,,,,,0,RU,0
33,down,Tom Odell,Another Love,31,6,19,,,,,0,0,OTHER
34,down,Lost Frequencies & Calum Scott,Where Are You Now,29,27,15,,,,,0,0,OTHER
35,up,Skofka,Не забудем і не пробачим,39,28,8,,,,,UA,0,0
36,down,KRBK,24,32,12,8,,,,,UA,0,0
37,down,Мюслі UA,Остановіть ви цю ху..ню!,30,6,8,,,,,UA,0,0
38,down,KALUSH,Давай начистоту (feat. Skofka),35,20,20,,,,,UA,0,0
39,down,ANNA ASTI & Philipp Kirkorov,Хобби,36,21,10,,,,,0,RU,0
40,down,Jerry Heil,#МРІЯ,34,26,5,,,,,UA,0,0
41,down,Tiësto & Ava Max,The Motto,40,35,21,,,,,0,0,OTHER
