Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
79,-,Scriptonite,Цепи (feat. 104),-,41,81,,,,,0,RU,0
80,down,Alexander Teslenko,Я розбиваюся,73,45,9,,,,,UA,0,0
81,down,Grohotsky,Будь зі мною,77,28,9,,,,,UA,0,0
82,up,Verka Serduchka,New Year Song,86,52,6,,,,,UA,0,0
83,down,Bobby Helms,Jingle Bell Rock (Single Version),72,52,7,56,12/22/2019,19,12/27/2020,0,0,OTHER
84,-,Wellboy,Гуси,-,84,1,,,,,UA,0,0
85,down,T-Fest,Дай мені звикнути,39,24,4,,,,,UA,0,0
86,-,Imagine Dragons,Bones,-,60,17,,,,,0,0,OTHER
87,down,Miyagi & Эндшпиль,Silhouette,71,8,11,,,,,0,RU,0
88,-,NAZVA,Сіґеле-міґеле,-,10,1,,,,,UA,0,0
89,down,Andy Williams,It's the Most Wonderful Time of the Year,80,65,7,35,12/29/2019,18,12/27/2020,0,0,OTHER
90,down,ディーン・マーティン,レット・イット・スノウ,84,72,6,67,12/29/2019,29,12/27/2020,0,0,OTHER
91,down,Verka Serduchka,Firs,90,78,5,,,,,UA,0,0
92,down,Michael Bublé,It's Beginning To Look a Lot Like Christmas,81,81,5,31,12/8/2019,26,12/27/2020,0,0,OTHER
93,down,Brenda Lee,Rockin' Around the Christmas Tree (Single Version),85,64,5,34,12/29/2019,13,12/27/2020,0,0,OTHER
94,-,Verka Serduchka,Всё будет хорошо,-,90,2,,,,,UA,0,0
95,-,Verka Serduchka,Party,-,95,2,,,,,UA,0,0
96,down,Diskoteka Avariya,Новогодняя,95,56,6,,,,,0,RU,0
97,down,KRBK,Художник,83,56,7,,,,,UA,0,0
98,-,David Guetta & Bebe Rexha,I'm Good (Blue),-,41,13,,,,,0,0,OTHER
99,-,The Neighbourhood,Sweater Weather,-,73,12,77,1/10/2021,63,2/7/2021,0,0,OTHER
100,down,MONATIK & ROXOLANA,"Інь Ян (Із к/ф ""Сусідка"")",89,55,3,,,,,UA,0,0
