Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,up,Parfeniuk,Провела екскурсію,1,1,6,,,,,UA,0,0
2,up,DOROFEEVA,Щоб не було,2,2,6,,,,,UA,0,0
3,up,Wellboy,Додому,3,3,4,,,,,UA,0,0
4,up,Slavik Pogosov,Монро,5,3,4,,,,,0,RU,0
5,down,INSTASAMKA,ЗА ДЕНЬГИ ДА,4,4,8,,,,,0,RU,0
6,up,Lady Gaga,Bloody Mary,6,1,7,,,,,0,0,OTHER
7,up,Skofka & KALUSH,Батьківщина,7,6,5,,,,,UA,0,0
8,up,XOLIDAYBOY,Моя хулиганка,8,1,11,,,,,0,RU,0
9,up,Sam Smith & Kim Petras,Unholy,10,1,17,,,,,0,0,OTHER
10,up,NAZVA,Сіґеле-міґеле,88,10,2,,,,,UA,0,0
11,up,Артем Пивоваров,Маніфест,15,5,3,,,,,UA,0,0
12,up,SadSvit & СТРУКТУРА ЩАСТЯ,Силуети,12,3,11,,,,,UA,0,0
13,down,Skofka,Чути гімн,11,1,25,,,,,UA,0,0
14,up,Artem Pivovarov & NK,Там у тополі,14,12,10,,,,,UA,0,0
15,up,ENLEO,веди мене в храм,16,6,10,,,,,UA,0,0
16,down,TVORCHI,Heart of Steel,9,3,6,,,,,UA,0,0
17,up,"Metro Boomin, The Weeknd & 21 Savage",Creepin',23,13,7,,,,,0,0,OTHER
18,down,Quest Pistols Show,Ти неймовірна,13,8,5,,,,,UA,0,0
19,down,KOLA,Біля серця,17,2,18,,,,,UA,0,0
20,up,YAKTAK,Чекає вдома (feat. DOVI),26,9,3,,,,,UA,0,0
21,down,Eminem,Mockingbird,20,3,13,,,,,0,0,OTHER
22,up,INSTASAMKA,КАК MOMMY,22,22,3,,,,,0,RU,0
23,down,Fiinka,Довбуш,19,19,4,,,,,UA,0,0
24,down,KALUSH,Додому (feat. Skofka),21,2,69,,,,,UA,0,0
25,down,CHEEV,Гарно так,24,1,30,,,,,UA,0,0
26,down,Endshpil,Приятная (feat. Ollane),25,16,7,,,,,0,RU,0
27,down,Big Baby Tape,Like A G6,18,12,5,,,,,0,RU,0
28,up,Tom Odell,Another Love,31,6,47,,,,,0,0,OTHER
29,down,SHUMEI,Біля тополі,28,9,41,,,,,UA,0,0
30,down,KALUSH,Stefania (Kalush Orchestra),27,1,36,,,,,UA,0,0
31,down,Chico & Qatoshi,Ластівки,29,1,30,,,,,UA,0,0
32,down,Jah Khalib,Доча,30,2,7,,,,,0,RU,0
33,up,Eminem,Superman (feat. Dina Rae),36,24,26,,,,,0,0,OTHER
34,up,Chris Brown,Under the Influence,38,3,25,,,,,0,0,OTHER
35,down,100лица & SKYLERR,Вечорниці (Добрий день Everybody),32,2,27,,,,,UA,0,0
36,down,KALUSH & Kalush Orchestra,In The Shadows Of Ukraine (feat. The Rasmus),34,2,13,,,,,UA,0,0
37,up,Artem Pivovarov & DOROFEEVA,Думи,37,9,33,,,,,UA,0,0
38,up,RAYE,Escapism. (feat. 070 Shake),40,28,5,,,,,0,0,OTHER
39,-,Miguel,Sure Thing,-,22,1,,,,,0,0,OTHER
40,up,Harry Styles,As It Was,45,18,42,,,,,0,0,OTHER
41,down,MOSOVICH & Batrai,Полярная звезда,33,12,8,,,,,0,RU,0
42,down,Markul & Тося Чайкина,Стрелы,41,15,24,,,,,0,RU,0
43,down,Chico & Qatoshi,Допоможе ЗСУ,35,3,38,,,,,UA,0,0
44,down,Golubenko,Мила (feat. CLONNEX),43,20,11,,,,,UA,0,0
45,down,Enleo,інша любов,44,4,20,,,,,UA,0,0
46,down,KALUSH,Файна (feat. Skofka),39,8,46,,,,,UA,0,0
47,up,Scriptonite,Положение,47,17,164,,,,,0,RU,0
48,down,KALUSH,Калуські вечорниці (feat. Tember Blanche),42,13,45,,,,,UA,0,0
49,up,Elley Duhé,MIDDLE OF THE NIGHT,51,8,64,,,,,0,0,OTHER
50,down,KOLA,Чи разом?,48,1,32,,,,,UA,0,0
51,up,SadSvit,Касета,57,36,11,,,,,UA,0,0
52,up,ANNA ASTI,По барам,52,14,33,,,,,0,RU,0
53,down,KALUSH,Зорi,50,9,51,,,,,UA,0,0
54,up,BARABANDA,Лист до мами,55,12,16,,,,,UA,0,0
55,up,YARMAK,ДИКЕ ПОЛЕ (feat. ALISA),56,14,34,,,,,UA,0,0
56,down,Miyagi & Эндшпиль,Временно,54,1,12,,,,,0,RU,0
57,up,Elton John & Dua Lipa,Cold Heart (PNAU Remix),58,17,68,,,,,0,0,OTHER
58,up,Lost Frequencies & Calum Scott,Where Are You Now,59,27,43,,,,,0,0,OTHER
59,down,KALUSH,Тiпок (Tipok),53,21,37,,,,,UA,0,0
60,up,ANGY KREYDA,Враже,60,50,22,,,,,UA,0,0
61,down,Mosty,Морозы,46,25,5,,,,,UA,0,0
62,up,KRBK,Девушка в чёрном,74,43,18,,,,,UA,0,0
63,down,Один в каное,У мене немає дому,62,5,45,,,,,UA,0,0
64,up,Tiësto & Ava Max,The Motto,72,35,49,,,,,0,0,OTHER
65,up,Scriptonite,Танцуй сама,66,28,43,,,,,0,RU,0
66,down,Patsyki Z Franeka,Марічка,61,10,36,,,,,UA,0,0
67,up,KRBK,Крепче,75,46,14,,,,,UA,0,0
68,down,The Weeknd,Blinding Lights,64,3,115,94,12/1/2019,1,3/1/2020,0,0,OTHER
69,down,Skofka,Не забудем і не пробачим,63,28,36,,,,,UA,0,0
70,up,CHEEV,Мрієшся,73,22,15,,,,,UA,0,0
71,up,Grohotsky,Будь зі мною,81,28,10,,,,,UA,0,0
72,up,Mr.Kitty,After Dark,77,42,30,,,,,0,0,OTHER
73,down,Jerry Heil,КОЗАЦЬКОМУ_РОДУ,68,51,8,,,,,UA,0,0
74,down,Boombox,Люди,69,27,47,,,,,UA,0,0
75,up,Alexander Teslenko,Я розбиваюся,80,45,10,,,,,UA,0,0
76,up,ANNA ASTI,Ночью на кухне,76,8,13,,,,,0,RU,0
77,up,KRBK,Художник,97,56,8,,,,,UA,0,0
78,up,Imagine Dragons,Bones,86,60,18,,,,,0,0,OTHER
79,-,Майкола Вайнер,Patton (feat. Kalush),-,78,3,,,,,UA,0,0
80,down,KALUSH,Давай начистоту (feat. Skofka),70,20,48,,,,,UA,0,0
81,down,Coolio,Gangsta's Paradise (feat. L.V.),71,45,14,,,,,0,0,OTHER
82,down,Scriptonite,Цепи (feat. 104),79,41,82,,,,,0,RU,0
83,up,The Neighbourhood,Sweater Weather,99,73,13,77,1/10/2021,63,2/7/2021,0,0,OTHER
84,up,Wellboy,Гуси,84,84,2,,,,,UA,0,0
85,up,David Guetta & Bebe Rexha,I'm Good (Blue),98,41,14,,,,,0,0,OTHER
86,-,Oliver Tree & Robin Schulz,Miss You,-,53,8,,,,,0,0,OTHER
87,-,Ed Sheeran,2step (feat. Antytila),-,2,34,,,,,0,0,OTHER
88,down,Aerosmith,Dream On,65,58,8,,,,,0,0,OTHER
89,down,Мюслі UA,"Вова, їбашь їх блять",67,1,42,,,,,UA,0,0
90,-,Miley Cyrus,Flowers,-,1,1,,,,,0,0,OTHER
91,-,LOVV66,5IVE,-,72,1,,,,,0,RU,0
92,-,Miyagi & Andy Panda,Minor,-,2,123,,,,,0,RU,0
93,up,MONATIK & ROXOLANA,"Інь Ян (Із к/ф ""Сусідка"")",100,55,4,,,,,UA,0,0
94,-,Gayle,abcdefu,-,9,48,,,,,0,0,OTHER
95,-,WHITE GALLOWS,Город,-,27,1,,,,,0,RU,0
96,-,Artem Pivovarov,Ой на горі,-,31,16,,,,,UA,0,0
97,-,KRBK,Стрела,-,8,6,,,,,UA,0,0
98,-,Rammstein,Sonne,-,85,3,,,,,0,0,OTHER
99,down,Miyagi & Эндшпиль,Silhouette,87,8,12,,,,,0,RU,0
100,-,KRBK,24,-,12,31,,,,,UA,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
