Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
65,down,BRANYA & MACAN,Пополам,55,1,42,,,,,0,RU,0
66,down,Miyagi & Andy Panda,Minor,58,2,90,,,,,0,RU,0
67,down,Meri,Я з україни,51,51,5,,,,,UA,0,0
68,down,shadowraze,Showdown,40,25,5,,,,,0,RU,0
69,down,GUMA,Стеклянная,64,1,35,,,,,0,RU,0
70,down,Scriptonite,Положение,60,17,124,,,,,0,RU,0
71,down,Glass Animals,Heat Waves,66,61,13,75,2/28/2021,71,3/7/2021,0,0,OTHER
72,up,KALUSH,Таксі (feat. Христина Соловій),77,42,5,,,,,UA,0,0
73,down,Wellboy,Nozzy Bossy,63,14,8,,,,,UA,0,0
74,down,Miyagi & Andy Panda,Буревестник,50,2,13,,,,,0,RU,0
75,down,SHAMI,Карабах,65,65,4,,,,,0,RU,0
76,down,ZAPOMNI,Я всё решу (Intro),59,3,11,,,,,0,RU,0
77,down,Miyagi & Эндшпиль,I Got Love (feat. Рем Дигга),74,49,83,,,,,0,RU,0
78,down,NЮ,Никто,69,7,21,,,,,0,RU,0
79,down,KALUSH,Давай начистоту (feat. Skofka),78,20,7,,,,,UA,0,0
80,down,DOROFEEVA,raznotsvetnaya,67,12,7,,,,,UA,0,0
81,down,HammAli & Navai & Jah Khalib,"Боже, как завидую",70,2,21,,,,,0,RU,0
82,down,10AGE,Пушка,79,3,42,,,,,0,RU,0
83,-,KAZKA,I AM NOT OK,-,83,1,,,,,UA,0,0
84,down,Jamala,1944,81,26,5,,,,,UA,0,0
85,-,FACE,ЛАБИРИНТ,-,85,1,,,,,0,RU,0
86,down,Olga Seryabkina,Бывшие,72,17,7,,,,,0,RU,0
87,down,Scriptonite,Танцуй сама,73,28,13,,,,,0,RU,0
88,down,Öwnboss & SEVEK,Move Your Body,80,20,17,,,,,0,0,OTHER
89,-,FACE,СПАСАТЕЛЬНЫЙ КРУГ,-,89,1,,,,,0,RU,0
90,-,FACE,МОЙ КАЛАШНИКОВ,-,90,1,,,,,0,RU,0
91,down,Skryabin,Люди як кораблі (Антитіла Cover),75,55,5,,,,,UA,0,0
92,-,Harry Styles,As It Was,-,18,1,,,,,0,0,OTHER
93,down,Okean Elzy,На небі,62,13,6,,,,,UA,0,0
94,down,Labrinth,"I'm Tired (From ""Euphoria"" An Original HBO Series)",53,53,5,,,,,0,0,OTHER
95,down,BUSHIDO ZHO,Faded (feat. 163ONMYNECK),93,93,2,,,,,0,RU,0
96,-,Один в каное,Пообіцяй мені,-,79,1,,,,,UA,0,0
