Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,up,Sam Smith & Kim Petras,Unholy,19,1,2,,,,,0,0,OTHER
2,up,KOLA,Біля серця,5,2,3,,,,,UA,0,0
3,down,Skofka,Чути гімн,1,1,10,,,,,UA,0,0
4,down,Chris Brown,Under the Influence,3,3,10,,,,,0,0,OTHER
5,down,CHEEV,Гарно так,2,1,15,,,,,UA,0,0
6,up,Enleo,інша любов,7,4,12,,,,,UA,0,0
7,up,INSTASAMKA,POPSTAR,9,7,3,,,,,0,RU,0
8,up,KALUSH,Додому (feat. Skofka),10,2,54,,,,,UA,0,0
9,down,Chico & Qatoshi,Ластівки,6,1,15,,,,,UA,0,0
10,down,100лица & SKYLERR,Вечорниці (Добрий день Everybody),8,2,12,,,,,UA,0,0
11,up,KOLA,Чи разом?,11,1,17,,,,,UA,0,0
12,up,SHUMEI,Біля тополі,13,9,26,,,,,UA,0,0
13,down,KRBK,Стоник,4,2,4,,,,,UA,0,0
14,up,Tom Odell,Another Love,18,6,32,,,,,0,0,OTHER
15,down,KALUSH,Stefania (Kalush Orchestra),12,1,21,,,,,UA,0,0
16,down,Chico & Qatoshi,Допоможе ЗСУ,14,3,23,,,,,UA,0,0
17,up,Oxxxymiron,ОЙДА,25,17,2,,,,,0,RU,0
18,down,YARMAK,ДИКЕ ПОЛЕ (feat. ALISA),16,14,19,,,,,UA,0,0
19,down,Artem Pivovarov & DOROFEEVA,Думи,15,9,18,,,,,UA,0,0
20,down,V $ X V PRiNCE,Мурашки,17,17,6,,,,,0,RU,0
21,up,"alyona alyona, Jerry Heil & ela.",KUPALA,23,4,13,,,,,UA,0,0
22,up,Jerry Heil,Кохайтеся Чорнобриві,22,11,8,,,,,UA,0,0
23,down,KALUSH,Файна (feat. Skofka),21,8,31,,,,,UA,0,0
24,up,Harry Styles,As It Was,24,18,27,,,,,0,0,OTHER
25,down,jockii druce,Боі Стули Пельку,20,2,8,,,,,UA,0,0
26,up,Patsyki Z Franeka,Марічка,27,10,21,,,,,UA,0,0
27,up,Eminem,Superman (feat. Dina Rae),33,24,11,,,,,0,0,OTHER
28,down,KALUSH,Тiпок (Tipok),26,21,22,,,,,UA,0,0
29,up,DOROFEEVA,охололо,86,22,2,,,,,UA,0,0
30,up,Markul & Тося Чайкина,Стрелы,52,15,9,,,,,0,RU,0
31,up,Beyoncé,CUFF IT,98,17,2,,,,,0,0,OTHER
32,down,KALUSH,Калуські вечорниці (feat. Tember Blanche),30,13,30,,,,,UA,0,0
33,down,Skofka,Не забудем і не пробачим,32,28,21,,,,,UA,0,0
34,up,Elley Duhé,MIDDLE OF THE NIGHT,34,8,49,,,,,0,0,OTHER
35,down,"Aarne, BUSHIDO ZHO & ANIKV",Тесно,28,3,9,,,,,0,RU,0
36,up,DOROFEEVA,крапають,41,36,5,,,,,UA,0,0
37,down,ANNA ASTI,По барам,31,14,18,,,,,0,RU,0
38,down,Один в каное,У мене немає дому,35,5,30,,,,,UA,0,0
39,down,Ed Sheeran,2step (feat. Antytila),29,2,21,,,,,0,0,OTHER
40,up,Scriptonite,Положение,42,17,149,,,,,0,RU,0
41,up,David Guetta & Bebe Rexha,I'm Good (Blue),49,41,3,,,,,0,0,OTHER
42,down,Lost Frequencies & Calum Scott,Where Are You Now,36,27,28,,,,,0,0,OTHER
43,down,KALUSH,Зорi,37,9,36,,,,,UA,0,0
