Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,up,Miley Cyrus,Flowers,1,1,4,,,,,0,0,OTHER
2,up,DOROFEEVA,вотсап,34,2,2,,,,,UA,0,0
3,down,Parfeniuk,Провела екскурсію,2,1,9,,,,,UA,0,0
4,down,DOROFEEVA,Щоб не було,3,2,9,,,,,UA,0,0
5,down,Wellboy,Додому,4,3,7,,,,,UA,0,0
6,down,Артем Пивоваров,Маніфест,5,5,6,,,,,UA,0,0
7,up,SadSvit & СТРУКТУРА ЩАСТЯ,Силуети,7,3,14,,,,,UA,0,0
8,up,Sam Smith & Kim Petras,Unholy,11,1,20,,,,,0,0,OTHER
9,up,JAY-Z & Kanye West,Why I Love You (feat. Mr Hudson),23,9,3,,,,,0,0,OTHER
10,down,YAKTAK,Чекає вдома (feat. DOVI),9,9,6,,,,,UA,0,0
11,down,INSTASAMKA,ЗА ДЕНЬГИ ДА,8,4,11,,,,,0,RU,0
12,down,Slavik Pogosov,Монро,6,3,7,,,,,0,RU,0
13,up,Big Baby Tape & Aarne,HOODAK MP3,89,13,2,,,,,0,RU,0
14,down,Skofka & KALUSH,Батьківщина,10,6,8,,,,,UA,0,0
15,down,Skofka,Чути гімн,12,1,28,,,,,UA,0,0
16,down,ENLEO,веди мене в храм,14,6,13,,,,,UA,0,0
17,down,"Metro Boomin, The Weeknd & 21 Savage",Creepin',16,13,10,,,,,0,0,OTHER
18,down,Artem Pivovarov & NK,Там у тополі,15,12,13,,,,,UA,0,0
19,down,Eminem,Mockingbird,18,3,16,,,,,0,0,OTHER
20,down,Lady Gaga,Bloody Mary,13,1,10,,,,,0,0,OTHER
21,down,KOLA,Біля серця,20,2,21,,,,,UA,0,0
22,down,XOLIDAYBOY,Моя хулиганка,17,1,14,,,,,0,RU,0
23,down,NAZVA,Сіґеле-міґеле,19,10,5,,,,,UA,0,0
24,down,KALUSH,Додому (feat. Skofka),21,2,72,,,,,UA,0,0
25,up,Skrudzhi,орки,93,25,2,,,,,0,RU,0
26,down,CHEEV,Гарно так,22,1,33,,,,,UA,0,0
27,down,Miguel,Sure Thing,24,22,4,,,,,0,0,OTHER
28,up,RAYE,Escapism. (feat. 070 Shake),33,28,8,,,,,0,0,OTHER
29,down,Tom Odell,Another Love,28,6,50,,,,,0,0,OTHER
30,down,Endshpil,Приятная (feat. Ollane),26,16,10,,,,,0,RU,0
31,down,Quest Pistols Show,Ти неймовірна,25,8,8,,,,,UA,0,0
32,down,Bizarrap & Shakira,"Shakira: Bzrp Music Sessions, Vol. 53",30,30,3,,,,,0,0,OTHER
33,down,KALUSH,Stefania (Kalush Orchestra),31,1,39,,,,,UA,0,0
34,up,Chris Brown,Under the Influence,40,3,28,,,,,0,0,OTHER
35,up,Artem Pivovarov & DOROFEEVA,Думи,39,9,36,,,,,UA,0,0
36,up,Enleo,інша любов,37,4,23,,,,,UA,0,0
37,down,Chico & Qatoshi,Ластівки,32,1,33,,,,,UA,0,0
38,down,Eminem,Superman (feat. Dina Rae),36,24,29,,,,,0,0,OTHER
39,down,WHITE GALLOWS,Город,27,27,4,,,,,0,RU,0
40,down,INSTASAMKA,КАК MOMMY,35,22,6,,,,,0,RU,0
41,up,Harry Styles,As It Was,43,18,45,,,,,0,0,OTHER
42,down,TVORCHI,Heart of Steel,29,3,9,,,,,UA,0,0
43,-,Sam Smith,I'm Not Here To Make Friends,-,43,1,,,,,0,0,OTHER
44,up,Scriptonite,Положение,48,17,167,,,,,0,RU,0
45,up,SadSvit,Касета,47,36,14,,,,,UA,0,0
46,down,100лица & SKYLERR,Вечорниці (Добрий день Everybody),42,2,30,,,,,UA,0,0
47,up,Elley Duhé,MIDDLE OF THE NIGHT,50,8,67,,,,,0,0,OTHER
48,down,KALUSH,Файна (feat. Skofka),46,8,49,,,,,UA,0,0
49,down,Chico & Qatoshi,Допоможе ЗСУ,44,3,41,,,,,UA,0,0
50,down,Golubenko,Мила (feat. CLONNEX),45,20,14,,,,,UA,0,0
51,up,Ivan Dorn,Te la passe' (feat. Essoh),72,51,2,,,,,UA,0,0
52,up,ANNA ASTI,По барам,57,14,36,,,,,0,RU,0
53,down,KALUSH,Калуські вечорниці (feat. Tember Blanche),51,13,48,,,,,UA,0,0
54,down,Fiinka,Довбуш,41,19,7,,,,,UA,0,0
55,down,KOLA,Чи разом?,53,1,35,,,,,UA,0,0
56,down,KALUSH,Зорi,55,9,54,,,,,UA,0,0
57,down,KALUSH & Kalush Orchestra,In The Shadows Of Ukraine (feat. The Rasmus),49,2,16,,,,,UA,0,0
58,down,Markul & Тося Чайкина,Стрелы,56,15,27,,,,,0,RU,0
59,up,Scriptonite,Танцуй сама,67,28,46,,,,,0,RU,0
60,up,Imagine Dragons,Bones,75,60,21,,,,,0,0,OTHER
61,down,Elton John & Dua Lipa,Cold Heart (PNAU Remix),59,17,71,,,,,0,0,OTHER
62,up,Lost Frequencies & Calum Scott,Where Are You Now,62,27,46,,,,,0,0,OTHER
63,down,KALUSH,Тiпок (Tipok),60,21,40,,,,,UA,0,0
64,down,Jah Khalib,Доча,58,2,10,,,,,0,RU,0
