Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,up,XOLIDAYBOY,Моя хулиганка,2,1,3,,,,,0,RU,0
2,down,Sam Smith & Kim Petras,Unholy,1,1,9,,,,,0,0,OTHER
3,up,SadSvit & СТРУКТУРА ЩАСТЯ,Силуети,6,3,3,,,,,UA,0,0
4,down,KALUSH & Kalush Orchestra,In The Shadows Of Ukraine (feat. The Rasmus),3,2,5,,,,,UA,0,0
5,up,KOLA,Біля серця,7,2,10,,,,,UA,0,0
6,up,Skofka,Чути гімн,8,1,17,,,,,UA,0,0
7,down,Eminem,Mockingbird,5,3,5,,,,,0,0,OTHER
8,down,Miyagi & Эндшпиль,Временно,4,1,4,,,,,0,RU,0
9,up,ENLEO,веди мене в храм,35,6,2,,,,,UA,0,0
10,up,CHEEV,Гарно так,11,1,22,,,,,UA,0,0
11,up,KALUSH,Додому (feat. Skofka),13,2,61,,,,,UA,0,0
12,up,BARABANDA,Лист до мами,48,12,8,,,,,UA,0,0
13,up,Artem Pivovarov & NK,Там у тополі,97,12,2,,,,,UA,0,0
14,down,Miyagi & Эндшпиль,Saloon,9,4,4,,,,,0,RU,0
15,up,SHUMEI,Біля тополі,16,9,33,,,,,UA,0,0
16,down,Chris Brown,Under the Influence,15,3,17,,,,,0,0,OTHER
17,up,Tom Odell,Another Love,19,6,39,,,,,0,0,OTHER
18,down,Chico & Qatoshi,Ластівки,17,1,22,,,,,UA,0,0
19,down,Miyagi & Эндшпиль,Не теряя,10,5,4,,,,,0,RU,0
20,up,Golubenko,Мила (feat. CLONNEX),24,20,3,,,,,UA,0,0
21,down,Miyagi & Эндшпиль,Silhouette,12,8,4,,,,,0,RU,0
22,down,Канги & Galust,Голова,18,3,8,,,,,0,RU,0
23,down,ANNA ASTI,Ночью на кухне,14,8,5,,,,,0,RU,0
24,down,KALUSH,Stefania (Kalush Orchestra),22,1,28,,,,,UA,0,0
25,down,Markul & Тося Чайкина,Стрелы,23,15,16,,,,,0,RU,0
26,down,Chico & Qatoshi,Допоможе ЗСУ,25,3,30,,,,,UA,0,0
27,down,100лица & SKYLERR,Вечорниці (Добрий день Everybody),21,2,19,,,,,UA,0,0
28,up,Grohotsky,Будь зі мною,46,28,2,,,,,UA,0,0
29,up,KOLA,Чи разом?,29,1,24,,,,,UA,0,0
30,down,Eminem,Superman (feat. Dina Rae),28,24,18,,,,,0,0,OTHER
31,down,Miyagi & Эндшпиль,Ночь,20,10,4,,,,,0,RU,0
32,up,YARMAK,ДИКЕ ПОЛЕ (feat. ALISA),33,14,26,,,,,UA,0,0
33,down,KALUSH,Файна (feat. Skofka),32,8,38,,,,,UA,0,0
34,up,Artem Pivovarov & DOROFEEVA,Думи,34,9,25,,,,,UA,0,0
35,up,KALUSH,Калуські вечорниці (feat. Tember Blanche),38,13,37,,,,,UA,0,0
36,down,Drake & 21 Savage,Rich Flex,31,31,3,,,,,0,0,OTHER
37,up,PURPLEH00D,Vona Ukrainka,90,37,2,,,,,UA,0,0
38,up,CHEEV,Мрієшся,40,22,7,,,,,UA,0,0
39,down,Rihanna,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),37,19,4,,,,,0,0,OTHER
40,up,Scriptonite,Положение,41,17,156,,,,,0,RU,0
41,up,KALUSH,Зорi,45,9,43,,,,,UA,0,0
42,down,Asket,Кров,39,11,9,,,,,UA,0,0
43,down,Tricky Nicki,PRAY (feat. ALISA),26,25,5,,,,,UA,0,0
44,down,Elley Duhé,MIDDLE OF THE NIGHT,42,8,56,,,,,0,0,OTHER
45,up,Alexander Teslenko,Я розбиваюся,56,45,2,,,,,UA,0,0
46,up,Один в каное,У мене немає дому,49,5,37,,,,,UA,0,0
47,down,MORGENSHTERN,SHEIKH,27,6,5,,,,,0,RU,0
48,up,Skofka,Не забудем і не пробачим,53,28,28,,,,,UA,0,0
49,up,KALUSH,Тiпок (Tipok),54,21,29,,,,,UA,0,0
50,up,Patsyki Z Franeka,Марічка,52,10,28,,,,,UA,0,0
51,-,kizaru,Мне это не нужно,-,4,1,,,,,0,RU,0
52,down,Harry Styles,As It Was,50,18,34,,,,,0,0,OTHER
53,up,Oliver Tree & Robin Schulz,Miss You,73,53,3,,,,,0,0,OTHER
54,up,ANGY KREYDA,Враже,60,50,14,,,,,UA,0,0
55,up,KRBK,Крепче,61,46,6,,,,,UA,0,0
56,down,Beyoncé,CUFF IT,43,17,9,,,,,0,0,OTHER
57,down,ANNA ASTI,По барам,55,14,25,,,,,0,RU,0
58,up,Мюслі UA,"Вова, їбашь їх блять",67,1,34,,,,,UA,0,0
59,up,KRBK,Девушка в чёрном,71,43,10,,,,,UA,0,0
60,down,Bakr,Вредина,44,15,7,,,,,0,RU,0
61,down,Miyagi & Эндшпиль,Need me,30,15,4,,,,,0,RU,0
62,down,Lost Frequencies & Calum Scott,Where Are You Now,59,27,35,,,,,0,0,OTHER
63,-,kizaru,Break Up,-,6,1,,,,,0,RU,0
64,up,Boombox,Люди,81,27,39,,,,,UA,0,0
65,-,kizaru,Murder Rate,-,13,1,,,,,0,RU,0
66,up,"alyona alyona, Jerry Heil & ela.",KUPALA,70,4,20,,,,,UA,0,0
67,down,MACAN,"Плачь, но не звони",36,15,5,,,,,0,RU,0
68,up,Scriptonite,Танцуй сама,72,28,35,,,,,0,RU,0
69,down,KALUSH,Давай начистоту (feat. Skofka),68,20,40,,,,,UA,0,0
70,down,Ed Sheeran,2step (feat. Antytila),66,2,28,,,,,0,0,OTHER
71,up,David Guetta & Bebe Rexha,I'm Good (Blue),74,41,10,,,,,0,0,OTHER
72,down,VINVONA,Зачекай,47,47,2,,,,,UA,0,0
73,-,kizaru,Serial Killa,-,34,1,,,,,0,RU,0
74,-,kizaru,Jefe,-,22,1,,,,,0,RU,0
75,down,Imagine Dragons,Bones,62,60,11,,,,,0,0,OTHER
76,down,Tiësto & Ava Max,The Motto,69,35,41,,,,,0,0,OTHER
77,-,kizaru,Тебя любят там где меня нет,-,40,1,,,,,0,RU,0
78,down,KRBK,Стоник,63,2,11,,,,,UA,0,0
79,down,Mr.Kitty,After Dark,77,42,23,,,,,0,0,OTHER
80,down,Elton John & Dua Lipa,Cold Heart (PNAU Remix),76,17,60,,,,,0,0,OTHER
81,-,kizaru,Ride Wid Me,-,32,1,,,,,0,RU,0
82,down,Анна Тринчер & POSITIFF,Який ти козак,65,11,6,,,,,UA,0,0
83,-,kizaru,If I Could Teach the World,-,35,1,,,,,0,RU,0
84,-,kizaru,Lu4she,-,46,1,,,,,0,RU,0
85,-,kizaru,Get Money Fuck Fame,-,49,1,,,,,0,RU,0
86,-,kizaru,Как всё идёт,-,47,1,,,,,0,RU,0
87,-,kizaru,Ha Ha Ha,-,65,1,,,,,0,RU,0
88,down,Jerry Heil,Кохайтеся Чорнобриві,79,11,15,,,,,UA,0,0
89,down,Coolio,Gangsta's Paradise (feat. L.V.),78,45,8,,,,,0,0,OTHER
90,-,LOBODA,Два незнайомці,-,11,1,,,,,0,RU,0
91,-,SHUMEI,Мальви,-,91,1,,,,,UA,0,0
92,down,Scriptonite,Цепи (feat. 104),80,41,76,,,,,0,RU,0
93,down,Один в каное,Будь мені кимось,82,82,5,,,,,UA,0,0
94,down,KRBK,24,85,12,27,,,,,UA,0,0
95,down,KALUSH & Kalush Orchestra,Nasze Domy (feat. Szpaku),57,57,2,,,,,UA,0,0
96,down,Пошлая Молли & HOFMANNITA,#HABIBATI,64,23,7,,,,,0,RU,0
97,down,Jah Khalib,Осенняя,75,61,3,,,,,0,RU,0
98,-,MORGENSHTERN & Kizary,Double Cup,-,89,1,,,,,0,RU,0
99,down,LIL KRYSTALLL,Я БУДУ (feat. Лоя),51,12,5,,,,,0,RU,0
100,down,The Neighbourhood,Sweater Weather,83,73,8,77,1/10/2021,63,2/7/2021,0,0,OTHER
