Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,up,KALUSH,Stefania (Kalush Orchestra),5,1,3,,,,,UA,0,0
2,down,Egor Kreed & MakSim,Отпускаю,1,1,3,,,,,0,RU,0
3,down,GAYAZOV$ BROTHER$,МАЛИНОВАЯ ЛАДА,2,2,9,,,,,0,RU,0
4,down,Artik & Asti,Гармония,3,2,6,,,,,0,RU,0
5,down,MACAN,За всех,4,1,3,,,,,0,RU,0
6,up,ANNA ASTI,Феникс,6,1,7,,,,,0,RU,0
7,up,Антон Токарев,Седьмой лепесток,8,6,5,,,,,0,RU,0
8,up,Miyagi & Andy Panda,Marmalade (feat. Mav-d),9,1,15,,,,,0,RU,0
9,down,Kambulat,Выпей меня,7,3,4,,,,,0,RU,0
10,up,Люся Чеботина,СОЛНЦЕ МОНАКО,10,3,17,,,,,0,RU,0
11,up,Big Baby Tape & kizaru,99 Problems,11,1,19,,,,,0,RU,0
12,up,DOROFEEVA,raznotsvetnaya,54,12,2,,,,,UA,0,0
13,up,Elley Duhé,MIDDLE OF THE NIGHT,16,8,18,,,,,0,0,OTHER
14,up,KALUSH,Додому (feat. Skofka),34,2,23,,,,,UA,0,0
15,-,Okean Elzy,Не твоя війна,-,2,1,,,,,UA,0,0
16,down,Scriptonite & Райда,Baby mama,15,1,42,,,,,0,RU,0
17,down,Xcho,Эскизы,13,7,12,,,,,0,RU,0
18,down,ZAPOMNI,Я всё решу (Intro),12,3,6,,,,,0,RU,0
19,up,Elton John & Dua Lipa,Cold Heart (PNAU Remix),21,17,22,,,,,0,0,OTHER
20,down,Miyagi & Andy Panda,Буревестник,18,2,8,,,,,0,RU,0
21,down,Olga Seryabkina,Бывшие,17,17,2,,,,,0,RU,0
22,up,HammAli & Navai,Птичка,26,1,41,,,,,0,RU,0
23,down,Acraze,Do It To It (feat. Cherish),20,14,12,,,,,0,0,OTHER
24,up,Big Baby Tape & kizaru,Million,25,2,19,,,,,0,RU,0
25,down,Big Baby Tape & Молодой Платон,ВЛЮБИЛАСЬ,22,10,11,,,,,0,RU,0
26,down,JONY,На сиреневой луне,23,7,10,,,,,0,RU,0
27,up,Miyagi & Andy Panda,Патрон,36,1,48,,,,,0,RU,0
