Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,up,Sam Smith & Kim Petras,Unholy,1,1,3,,,,,0,0,OTHER
2,up,KOLA,Біля серця,2,2,4,,,,,UA,0,0
3,up,Канги & Galust,Голова,86,3,2,,,,,0,RU,0
4,down,Skofka,Чути гімн,3,1,11,,,,,UA,0,0
5,down,Chris Brown,Under the Influence,4,3,11,,,,,0,0,OTHER
6,down,CHEEV,Гарно так,5,1,16,,,,,UA,0,0
7,down,Enleo,інша любов,6,4,13,,,,,UA,0,0
8,up,KALUSH,Додому (feat. Skofka),8,2,55,,,,,UA,0,0
9,up,100лица & SKYLERR,Вечорниці (Добрий день Everybody),10,2,13,,,,,UA,0,0
10,down,Chico & Qatoshi,Ластівки,9,1,16,,,,,UA,0,0
11,up,SHUMEI,Біля тополі,12,9,27,,,,,UA,0,0
12,down,KOLA,Чи разом?,11,1,18,,,,,UA,0,0
13,up,Asket,Кров,45,11,3,,,,,UA,0,0
14,up,Tom Odell,Another Love,14,6,33,,,,,0,0,OTHER
15,up,KALUSH,Stefania (Kalush Orchestra),15,1,22,,,,,UA,0,0
16,down,INSTASAMKA,POPSTAR,7,7,4,,,,,0,RU,0
17,down,Chico & Qatoshi,Допоможе ЗСУ,16,3,24,,,,,UA,0,0
18,up,Beyoncé,CUFF IT,31,17,3,,,,,0,0,OTHER
19,down,YARMAK,ДИКЕ ПОЛЕ (feat. ALISA),18,14,20,,,,,UA,0,0
20,down,KRBK,Стоник,13,2,5,,,,,UA,0,0
21,down,Artem Pivovarov & DOROFEEVA,Думи,19,9,19,,,,,UA,0,0
22,up,DOROFEEVA,охололо,29,22,3,,,,,UA,0,0
23,up,Markul & Тося Чайкина,Стрелы,30,15,10,,,,,0,RU,0
24,up,Eminem,Superman (feat. Dina Rae),27,24,12,,,,,0,0,OTHER
25,down,KALUSH,Файна (feat. Skofka),23,8,32,,,,,UA,0,0
26,down,Oxxxymiron,ОЙДА,17,17,3,,,,,0,RU,0
27,down,Harry Styles,As It Was,24,18,28,,,,,0,0,OTHER
28,down,"alyona alyona, Jerry Heil & ela.",KUPALA,21,4,14,,,,,UA,0,0
29,down,Patsyki Z Franeka,Марічка,26,10,22,,,,,UA,0,0
30,down,Jerry Heil,Кохайтеся Чорнобриві,22,11,9,,,,,UA,0,0
31,down,KALUSH,Тiпок (Tipok),28,21,23,,,,,UA,0,0
32,up,Skofka,Не забудем і не пробачим,33,28,22,,,,,UA,0,0
33,down,KALUSH,Калуські вечорниці (feat. Tember Blanche),32,13,31,,,,,UA,0,0
34,-,CHEEV,Мрієшся,-,22,1,,,,,UA,0,0
35,down,V $ X V PRiNCE,Мурашки,20,17,7,,,,,0,RU,0
36,down,Elley Duhé,MIDDLE OF THE NIGHT,34,8,50,,,,,0,0,OTHER
37,up,Один в каное,У мене немає дому,38,5,31,,,,,UA,0,0
38,up,Scriptonite,Положение,40,17,150,,,,,0,RU,0
39,down,jockii druce,Боі Стули Пельку,25,2,9,,,,,UA,0,0
40,down,ANNA ASTI,По барам,37,14,19,,,,,0,RU,0
41,up,Lost Frequencies & Calum Scott,Where Are You Now,42,27,29,,,,,0,0,OTHER
42,up,KALUSH,Зорi,43,9,37,,,,,UA,0,0
43,up,Мюслі UA,"Вова, їбашь їх блять",44,1,28,,,,,UA,0,0
44,down,Ed Sheeran,2step (feat. Antytila),39,2,22,,,,,0,0,OTHER
45,up,Coolio,Gangsta's Paradise (feat. L.V.),89,45,2,,,,,0,0,OTHER
46,up,"Молодой Платон, Пошлая Молли & Yanix","DON'T PLAY, BAE",65,41,2,,,,,0,RU,0
47,down,David Guetta & Bebe Rexha,I'm Good (Blue),41,41,4,,,,,0,0,OTHER
48,down,"Aarne, BUSHIDO ZHO & ANIKV",Тесно,35,3,10,,,,,0,RU,0
49,up,Elton John & Dua Lipa,Cold Heart (PNAU Remix),49,17,54,,,,,0,0,OTHER
50,down,KALUSH,Давай начистоту (feat. Skofka),48,20,34,,,,,UA,0,0
51,up,OneRepublic,I Ain't Worried,51,51,6,,,,,0,0,OTHER
52,up,Tiësto & Ava Max,The Motto,52,35,35,,,,,0,0,OTHER
53,down,NЮ,Некуда бежать,47,39,4,,,,,0,RU,0
54,up,Scriptonite,Танцуй сама,57,28,29,,,,,0,RU,0
55,down,YARMAK,МОЯ КРАЇНА (feat. Tof),46,33,6,,,,,UA,0,0
56,up,Mr.Kitty,After Dark,56,42,17,,,,,0,0,OTHER
57,down,JKLN,Welcome to Ukraine,53,21,16,,,,,UA,0,0
58,up,KRBK,Девушка в чёрном,58,43,4,,,,,UA,0,0
59,up,ANGY KREYDA,Враже,67,50,8,,,,,UA,0,0
60,up,WHITE GALLOWS,Bentley,85,60,2,,,,,0,RU,0
61,down,SHUMEI,Пробач,55,10,15,,,,,UA,0,0
62,down,Мюслі UA,Добрий день Everybody (feat. VASIA CHARISMA),50,8,14,,,,,UA,0,0
63,down,PROBASS ∆ HARDI,Доброго вечора (Where Are You From),59,2,33,,,,,UA,0,0
64,down,Антон Токарев,Седьмой лепесток,61,6,37,,,,,0,RU,0
65,down,Miyagi & Andy Panda,Minor,62,2,116,,,,,0,RU,0
66,up,Imagine Dragons,Bones,66,60,5,,,,,0,0,OTHER
67,up,BARABANDA,Лист до мами,95,12,2,,,,,UA,0,0
68,down,DOROFEEVA,крапають,36,36,6,,,,,UA,0,0
69,down,Scriptonite,Цепи (feat. 104),68,41,70,,,,,0,RU,0
70,down,Artem Pivovarov,Ой на горі,60,31,14,,,,,UA,0,0
71,down,Томмі Версетті,Ти мені дуже (feat. LAUD & Тася),70,26,9,,,,,UA,0,0
72,down,Arut & MORGENSHTERN,BUGATTI,54,31,5,,,,,0,RU,0
73,down,Boombox,Люди,72,27,33,,,,,UA,0,0
74,down,Max Korzh,Свой дом,63,1,19,,,,,0,RU,0
