Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER,
71,up,KRBK,Девушка в чёрном,79,43,8,,,,,UA,0,0,
72,up,Elton John & Dua Lipa,Cold Heart (PNAU Remix),75,17,58,,,,,0,0,OTHER,
73,down,"Молодой Платон, Пошлая Молли & Yanix","DON'T PLAY, BAE",59,41,6,,,,,0,RU,0,
74,down,Jerry Heil,Кохайтеся Чорнобриві,63,11,13,,,,,UA,0,0,
75,down,MORGENSHTERN,UGU,21,21,3,,,,,0,RU,0,
76,down,Tiësto & Ava Max,The Motto,73,35,39,,,,,0,0,OTHER,
77,up,BARABANDA,Лист до мами,85,12,6,,,,,UA,0,0,
78,up,KRBK,24,92,12,25,,,,,UA,0,0,
79,up,Miyagi & Andy Panda,Minor,89,2,120,,,,,0,RU,0,
80,down,JKLN,Welcome to Ukraine,76,21,20,,,,,UA,0,0,
81,up,Scriptonite,Цепи (feat. 104),97,41,74,,,,,0,RU,0,
82,up,The Neighbourhood,Sweater Weather,88,73,6,77,1/10/2021,63,2/7/2021,0,0,OTHER,
83,up,Boombox,Люди,100,27,37,,,,,UA,0,0,
84,-,SHUMEI,Пробач,-,10,18,,,,,UA,0,0,
85,-,Skofka,Крузак,-,74,10,,,,,UA,0,0,
86,-,Golubenko,Мила (feat. CLONNEX),-,20,1,,,,,UA,0,0,
87,down,MORGENSHTERN & The Limba,BESTIE,28,28,3,,,,,0,RU,0,
88,down,jockii druce,Боі Стули Пельку,83,2,13,,,,,UA,0,0,
89,down,DOROFEEVA,охололо,61,22,7,,,,,UA,0,0,
90,down,MORGENSHTERN,GUF DISS,24,24,3,,,,,0,RU,0,
91,down,INSTASAMKA,POPSTAR,86,7,8,,,,,0,RU,0,
92,-,OneRepublic,I Ain't Worried,-,51,9,,,,,0,0,OTHER,
93,-,PROBASS ∆ HARDI,Доброго вечора (Where Are You From),-,2,36,,,,,UA,0,0,
94,-,Drake & 21 Savage,Rich Flex,-,31,1,,,,,0,0,OTHER,
95,-,Oliver Tree & Robin Schulz,Miss You,-,53,1,,,,,0,0,OTHER,
96,down,MORGENSHTERN,B,36,36,3,,,,,0,RU,0,
97,down,Taylor Swift,Anti-Hero,93,93,2,,,,,0,0,OTHER,
98,-,Drake & 21 Savage,Major Distribution,-,58,1,,,,,0,0,OTHER,
99,-,Один в каное,Будь мені кимось,-,82,3,,,,,UA,0,0,
100,-,"Aarne, BUSHIDO ZHO & ANIKV",Тесно,-,3,13,,,,,0,RU,0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
