Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,up,ANNA ASTI,Феникс,1,1,4,,,,,0,RU,0
2,up,GAYAZOV$ BROTHER$,МАЛИНОВАЯ ЛАДА,5,2,6,,,,,0,RU,0
3,down,Artik & Asti,Гармония,2,2,3,,,,,0,RU,0
4,up,Miyagi & Andy Panda,Marmalade (feat. Mav-d),4,1,12,,,,,0,RU,0
5,down,ZAPOMNI,Я всё решу (Intro),3,3,3,,,,,0,RU,0
6,up,Антон Токарев,Седьмой лепесток,32,6,2,,,,,0,RU,0
7,up,Люся Чеботина,СОЛНЦЕ МОНАКО,8,3,14,,,,,0,RU,0
8,down,Miyagi & Andy Panda,Буревестник,7,2,5,,,,,0,RU,0
9,down,Lesha Svik,Плакала,6,1,5,,,,,0,RU,0
10,down,Big Baby Tape & kizaru,99 Problems,9,1,16,,,,,0,RU,0
11,up,Xcho,Эскизы,13,7,9,,,,,0,RU,0
12,down,JONY,На сиреневой луне,11,7,7,,,,,0,RU,0
13,down,Big Baby Tape & Молодой Платон,ВЛЮБИЛАСЬ,10,10,8,,,,,0,RU,0
14,up,Elley Duhé,MIDDLE OF THE NIGHT,15,8,15,,,,,0,0,OTHER
15,down,Acraze,Do It To It (feat. Cherish),14,14,9,,,,,0,0,OTHER
16,up,Scriptonite & Райда,Baby mama,18,1,39,,,,,0,RU,0
17,up,Elton John & Dua Lipa,Cold Heart (PNAU Remix),23,17,19,,,,,0,0,OTHER
18,down,Big Baby Tape & kizaru,Million,17,2,16,,,,,0,RU,0
19,down,KOSMONAVTOV NET,МЯТОЙ (Remix 2010),12,12,4,,,,,0,RU,0
20,up,NЮ,Никто,22,7,13,,,,,0,RU,0
21,down,Öwnboss & SEVEK,Move Your Body,20,20,9,,,,,0,0,OTHER
22,up,Ramil',Маяк,85,22,2,,,,,0,RU,0
23,up,HammAli & Navai,Птичка,30,1,38,,,,,0,RU,0
24,up,Big Baby Tape & kizaru,Bandana,28,2,16,,,,,0,RU,0
25,up,Ollane,Touch the Sky (feat. Miyagi),29,11,12,,,,,0,RU,0
26,down,Ed Sheeran,Shivers (feat. Feduk & Slava Marlow),21,7,8,,,,,0,0,OTHER
27,down,ZAPOMNI,Кожура,16,2,6,,,,,0,RU,0
28,down,HammAli & Navai & Jah Khalib,"Боже, как завидую",26,2,13,,,,,0,RU,0
29,down,LOBODA,ЗанесLo,24,3,9,,,,,0,RU,0
30,up,JONY & HammAli,"Наверно, ты меня не помнишь",31,4,15,,,,,0,RU,0
31,up,Артём Качер,Материк,90,29,2,,,,,0,RU,0
32,up,Gayle,abcdefu,35,9,11,,,,,0,0,OTHER
33,up,Scriptonite,Танцуй сама,33,28,5,,,,,0,RU,0
34,up,Miyagi & Andy Panda,Патрон,34,1,45,,,,,0,RU,0
35,up,DJ SMASH & Poёt,АТМЛ,91,35,2,,,,,0,RU,0
36,up,Yung Lean,Ginseng Strip 2002,45,36,2,,,,,0,0,OTHER
37,up,Scriptonite,Положение,39,17,116,,,,,0,RU,0
38,up,Miyagi & Andy Panda,Minor,42,2,82,,,,,0,RU,0
39,down,Minelli,Rampampam,38,2,42,,,,,0,0,OTHER
40,up,BRANYA & MACAN,Пополам,40,1,34,,,,,0,RU,0
41,up,Akmal',Из-за тебя,43,2,18,,,,,0,RU,0
42,down,Джарахов,Просто друг (feat. Стас Костюшкин),25,25,3,,,,,0,RU,0
43,down,FEDUK,Танцы на кухне,27,25,4,,,,,0,RU,0
44,up,10AGE,Пушка,46,3,34,,,,,0,RU,0
45,down,Jah Khalib,Оля,19,19,3,,,,,0,RU,0
46,down,HammAli & Navai & MACAN,она хочет быть моделью,36,2,9,,,,,0,RU,0
47,up,Max Korzh,Афган,48,2,8,,,,,0,RU,0
48,up,10AGE,Зоопарк,54,5,21,,,,,0,RU,0
49,down,GUMA,Стеклянная,41,1,27,,,,,0,RU,0
50,up,Akmal',Вдоль дорог,67,17,11,,,,,0,RU,0
51,up,Xcho,Вороны,56,17,18,,,,,0,RU,0
52,down,Ivan Dorn,тебе нема сьогодні,51,10,11,,,,,UA,0,0
53,-,Xcho,Вера,-,53,1,,,,,0,RU,0
