Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,up,Sam Smith & Kim Petras,Unholy,1,1,6,,,,,0,0,OTHER
2,up,KALUSH & Kalush Orchestra,In The Shadows Of Ukraine (feat. The Rasmus),83,2,2,,,,,UA,0,0
3,up,Eminem,Mockingbird,14,3,2,,,,,0,0,OTHER
4,down,KOLA,Біля серця,2,2,7,,,,,UA,0,0
5,down,Skofka,Чути гімн,3,1,14,,,,,UA,0,0
6,up,MORGENSHTERN,SHEIKH,53,6,2,,,,,0,RU,0
7,down,Канги & Galust,Голова,4,3,5,,,,,0,RU,0
8,up,ANNA ASTI,Ночью на кухне,97,8,2,,,,,0,RU,0
9,down,Chris Brown,Under the Influence,5,3,14,,,,,0,0,OTHER
10,down,CHEEV,Гарно так,6,1,19,,,,,UA,0,0
11,up,MORGENSHTERN,TEASER,56,11,2,,,,,0,RU,0
12,up,LIL KRYSTALLL,Я БУДУ (feat. Лоя),80,12,2,,,,,0,RU,0
13,down,KALUSH,Додому (feat. Skofka),8,2,58,,,,,UA,0,0
14,up,MORGENSHTERN,TATU,60,14,2,,,,,0,RU,0
15,up,MACAN,"Плачь, но не звони",86,15,2,,,,,0,RU,0
16,down,Chico & Qatoshi,Ластівки,9,1,19,,,,,UA,0,0
17,down,100лица & SKYLERR,Вечорниці (Добрий день Everybody),10,2,16,,,,,UA,0,0
18,up,Markul & Тося Чайкина,Стрелы,19,15,13,,,,,0,RU,0
19,down,Tom Odell,Another Love,17,6,36,,,,,0,0,OTHER
20,down,SHUMEI,Біля тополі,16,9,30,,,,,UA,0,0
21,up,MORGENSHTERN,UGU,70,21,2,,,,,0,RU,0
22,down,Bakr,Вредина,15,15,4,,,,,0,RU,0
23,down,KALUSH,Stefania (Kalush Orchestra),18,1,25,,,,,UA,0,0
24,up,MORGENSHTERN,GUF DISS,75,24,2,,,,,0,RU,0
25,down,Анна Тринчер & POSITIFF,Який ти козак,11,11,3,,,,,UA,0,0
26,down,Asket,Кров,13,11,6,,,,,UA,0,0
27,down,Eminem,Superman (feat. Dina Rae),24,24,15,,,,,0,0,OTHER
28,up,MORGENSHTERN & The Limba,BESTIE,77,28,2,,,,,0,RU,0
29,down,Chico & Qatoshi,Допоможе ЗСУ,20,3,27,,,,,UA,0,0
30,up,Tricky Nicki,PRAY (feat. ALISA),37,25,2,,,,,UA,0,0
31,down,KOLA,Чи разом?,21,1,21,,,,,UA,0,0
32,down,Beyoncé,CUFF IT,22,17,6,,,,,0,0,OTHER
33,down,Artem Pivovarov & DOROFEEVA,Думи,26,9,22,,,,,UA,0,0
34,down,Пошлая Молли & HOFMANNITA,#HABIBATI,23,23,4,,,,,0,RU,0
35,down,YARMAK,ДИКЕ ПОЛЕ (feat. ALISA),25,14,23,,,,,UA,0,0
36,up,MORGENSHTERN,B,84,36,2,,,,,0,RU,0
37,down,KALUSH,Файна (feat. Skofka),28,8,35,,,,,UA,0,0
38,down,Måneskin,THE LONELIEST,12,12,4,,,,,0,0,OTHER
39,up,MORGENSHTERN & LSP,Дор Блю,79,39,2,,,,,0,RU,0
40,down,CHEEV,Мрієшся,27,22,4,,,,,UA,0,0
41,down,Scriptonite,Положение,34,17,153,,,,,0,RU,0
42,down,Elley Duhé,MIDDLE OF THE NIGHT,36,8,53,,,,,0,0,OTHER
43,down,KALUSH,Калуські вечорниці (feat. Tember Blanche),38,13,34,,,,,UA,0,0
44,down,Harry Styles,As It Was,31,18,31,,,,,0,0,OTHER
45,up,ANNA ASTI,По барам,48,14,22,,,,,0,RU,0
46,up,MORGENSHTERN & Allj,LOCATION,87,46,2,,,,,0,RU,0
47,down,Patsyki Z Franeka,Марічка,30,10,25,,,,,UA,0,0
48,-,Miyagi & Эндшпиль,Временно,-,1,1,,,,,0,RU,0
49,up,MORGENSHTERN,CCTV,85,49,2,,,,,0,RU,0
50,down,Skofka,Не забудем і не пробачим,35,28,25,,,,,UA,0,0
51,down,KALUSH,Тiпок (Tipok),33,21,26,,,,,UA,0,0
52,down,KALUSH,Зорi,41,9,40,,,,,UA,0,0
53,down,Один в каное,У мене немає дому,39,5,34,,,,,UA,0,0
54,down,KRBK,Стоник,32,2,8,,,,,UA,0,0
55,down,Enleo,інша любов,7,4,16,,,,,UA,0,0
56,down,Lost Frequencies & Calum Scott,Where Are You Now,44,27,32,,,,,0,0,OTHER
57,-,Miyagi & Эндшпиль,Saloon,-,4,1,,,,,0,RU,0
58,down,"alyona alyona, Jerry Heil & ela.",KUPALA,40,4,17,,,,,UA,0,0
59,down,"Молодой Платон, Пошлая Молли & Yanix","DON'T PLAY, BAE",43,41,5,,,,,0,RU,0
60,down,Ed Sheeran,2step (feat. Antytila),49,2,25,,,,,0,0,OTHER
