Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,up,Miley Cyrus,Flowers,1,1,3,,,,,0,0,OTHER
2,up,Parfeniuk,Провела екскурсію,2,1,8,,,,,UA,0,0
3,up,DOROFEEVA,Щоб не було,3,2,8,,,,,UA,0,0
4,up,Wellboy,Додому,4,3,6,,,,,UA,0,0
5,up,Артем Пивоваров,Маніфест,6,5,5,,,,,UA,0,0
6,down,Slavik Pogosov,Монро,5,3,6,,,,,0,RU,0
7,up,SadSvit & СТРУКТУРА ЩАСТЯ,Силуети,8,3,13,,,,,UA,0,0
8,down,INSTASAMKA,ЗА ДЕНЬГИ ДА,7,4,10,,,,,0,RU,0
9,up,YAKTAK,Чекає вдома (feat. DOVI),13,9,5,,,,,UA,0,0
10,down,Skofka & KALUSH,Батьківщина,9,6,7,,,,,UA,0,0
11,up,Sam Smith & Kim Petras,Unholy,14,1,19,,,,,0,0,OTHER
12,up,Skofka,Чути гімн,12,1,27,,,,,UA,0,0
13,down,Lady Gaga,Bloody Mary,11,1,9,,,,,0,0,OTHER
14,up,ENLEO,веди мене в храм,17,6,12,,,,,UA,0,0
15,up,Artem Pivovarov & NK,Там у тополі,16,12,12,,,,,UA,0,0
16,up,"Metro Boomin, The Weeknd & 21 Savage",Creepin',18,13,9,,,,,0,0,OTHER
17,down,XOLIDAYBOY,Моя хулиганка,15,1,13,,,,,0,RU,0
18,up,Eminem,Mockingbird,20,3,15,,,,,0,0,OTHER
19,down,NAZVA,Сіґеле-міґеле,10,10,4,,,,,UA,0,0
20,down,KOLA,Біля серця,19,2,20,,,,,UA,0,0
21,up,KALUSH,Додому (feat. Skofka),23,2,71,,,,,UA,0,0
22,up,CHEEV,Гарно так,24,1,32,,,,,UA,0,0
23,up,JAY-Z & Kanye West,Why I Love You (feat. Mr Hudson),99,9,2,,,,,0,0,OTHER
24,down,Miguel,Sure Thing,22,22,3,,,,,0,0,OTHER
25,down,Quest Pistols Show,Ти неймовірна,21,8,7,,,,,UA,0,0
26,up,Endshpil,Приятная (feat. Ollane),26,16,9,,,,,0,RU,0
27,up,WHITE GALLOWS,Город,28,27,3,,,,,0,RU,0
28,up,Tom Odell,Another Love,29,6,49,,,,,0,0,OTHER
29,down,TVORCHI,Heart of Steel,25,3,8,,,,,UA,0,0
30,up,Bizarrap & Shakira,"Shakira: Bzrp Music Sessions, Vol. 53",55,30,2,,,,,0,0,OTHER
31,up,KALUSH,Stefania (Kalush Orchestra),32,1,38,,,,,UA,0,0
32,up,Chico & Qatoshi,Ластівки,33,1,32,,,,,UA,0,0
33,up,RAYE,Escapism. (feat. 070 Shake),37,28,7,,,,,0,0,OTHER
34,-,DOROFEEVA,вотсап,-,2,1,,,,,UA,0,0
35,down,INSTASAMKA,КАК MOMMY,31,22,5,,,,,0,RU,0
36,down,Eminem,Superman (feat. Dina Rae),34,24,28,,,,,0,0,OTHER
37,down,Enleo,інша любов,35,4,22,,,,,UA,0,0
38,down,SHUMEI,Біля тополі,27,9,43,,,,,UA,0,0
39,up,Artem Pivovarov & DOROFEEVA,Думи,39,9,35,,,,,UA,0,0
40,down,Chris Brown,Under the Influence,36,3,27,,,,,0,0,OTHER
41,down,Fiinka,Довбуш,30,19,6,,,,,UA,0,0
42,down,100лица & SKYLERR,Вечорниці (Добрий день Everybody),38,2,29,,,,,UA,0,0
43,up,Harry Styles,As It Was,46,18,44,,,,,0,0,OTHER
44,down,Chico & Qatoshi,Допоможе ЗСУ,43,3,40,,,,,UA,0,0
45,down,Golubenko,Мила (feat. CLONNEX),41,20,13,,,,,UA,0,0
46,down,KALUSH,Файна (feat. Skofka),44,8,48,,,,,UA,0,0
47,up,SadSvit,Касета,47,36,13,,,,,UA,0,0
48,up,Scriptonite,Положение,52,17,166,,,,,0,RU,0
49,down,KALUSH & Kalush Orchestra,In The Shadows Of Ukraine (feat. The Rasmus),42,2,15,,,,,UA,0,0
50,up,Elley Duhé,MIDDLE OF THE NIGHT,50,8,66,,,,,0,0,OTHER
51,down,KALUSH,Калуські вечорниці (feat. Tember Blanche),49,13,47,,,,,UA,0,0
52,down,Big Baby Tape,Like A G6,40,12,7,,,,,0,RU,0
53,down,KOLA,Чи разом?,48,1,34,,,,,UA,0,0
54,-,Måneskin,GASOLINE,-,54,1,,,,,0,0,OTHER
55,down,KALUSH,Зорi,53,9,53,,,,,UA,0,0
56,down,Markul & Тося Чайкина,Стрелы,51,15,26,,,,,0,RU,0
57,up,ANNA ASTI,По барам,60,14,35,,,,,0,RU,0
58,down,Jah Khalib,Доча,45,2,9,,,,,0,RU,0
59,up,Elton John & Dua Lipa,Cold Heart (PNAU Remix),64,17,70,,,,,0,0,OTHER
60,up,KALUSH,Тiпок (Tipok),61,21,39,,,,,UA,0,0
61,down,MOSOVICH & Batrai,Полярная звезда,54,12,10,,,,,0,RU,0
62,up,Lost Frequencies & Calum Scott,Where Are You Now,68,27,45,,,,,0,0,OTHER
63,down,YARMAK,ДИКЕ ПОЛЕ (feat. ALISA),58,14,36,,,,,UA,0,0
64,down,Один в каное,У мене немає дому,56,5,47,,,,,UA,0,0
65,down,ANGY KREYDA,Враже,59,50,24,,,,,UA,0,0
66,up,Alexander Teslenko,Я розбиваюся,76,45,12,,,,,UA,0,0
67,up,Scriptonite,Танцуй сама,71,28,45,,,,,0,RU,0
68,down,BARABANDA,Лист до мами,57,12,18,,,,,UA,0,0
69,down,Grohotsky,Будь зі мною,67,28,12,,,,,UA,0,0
70,down,KRBK,Крепче,66,46,16,,,,,UA,0,0
71,down,KRBK,Девушка в чёрном,62,43,20,,,,,UA,0,0
72,-,Ivan Dorn,Te la passe' (feat. Essoh),-,51,1,,,,,UA,0,0
73,down,The Weeknd,Blinding Lights,70,3,117,94,12/1/2019,1,3/1/2020,0,0,OTHER
74,down,Patsyki Z Franeka,Марічка,69,10,38,,,,,UA,0,0
75,up,Imagine Dragons,Bones,79,60,20,,,,,0,0,OTHER
76,down,Skofka,Не забудем і не пробачим,65,28,38,,,,,UA,0,0
77,up,Baby Tate,"Hey, Mickey!",94,77,2,,,,,0,0,OTHER
78,down,Miyagi & Эндшпиль,Временно,63,1,14,,,,,0,RU,0
79,down,Boombox,Люди,74,27,49,,,,,UA,0,0
80,down,Mr.Kitty,After Dark,75,42,32,,,,,0,0,OTHER
81,up,KOZAK SIROMAHA,Гуляли,98,81,2,,,,,UA,0,0
82,down,Tiësto & Ava Max,The Motto,77,35,51,,,,,0,0,OTHER
83,down,CHEEV,Мрієшся,73,22,17,,,,,UA,0,0
84,down,Coolio,Gangsta's Paradise (feat. L.V.),83,45,16,,,,,0,0,OTHER
85,down,The Neighbourhood,Sweater Weather,82,73,15,77,1/10/2021,63,2/7/2021,0,0,OTHER
86,up,David Guetta & Bebe Rexha,I'm Good (Blue),86,41,16,,,,,0,0,OTHER
87,-,Xcho & Ramil',Январь,-,85,1,,,,,0,RU,0
88,up,SKYLERR & Golubenko,Шлях,89,88,2,,,,,UA,0,0
89,-,Big Baby Tape & Aarne,HOODAK MP3,-,13,1,,,,,0,RU,0
90,down,KALUSH,Давай начистоту (feat. Skofka),81,20,50,,,,,UA,0,0
91,down,KRBK,Художник,80,56,10,,,,,UA,0,0
92,down,Rammstein,Sonne,85,85,5,,,,,0,0,OTHER
93,-,Skrudzhi,орки,-,25,1,,,,,0,RU,0
94,down,Майкола Вайнер,Patton (feat. Kalush),78,78,5,,,,,UA,0,0
95,-,SKYLERR,Заборонене,-,89,1,,,,,UA,0,0
96,down,Scriptonite,Цепи (feat. 104),88,41,84,,,,,0,RU,0
97,down,Jerry Heil,КОЗАЦЬКОМУ_РОДУ,84,51,10,,,,,UA,0,0
98,down,LOVV66,5IVE,72,72,3,,,,,0,RU,0
99,-,Måneskin,GOSSIP (feat. Tom Morello),-,99,1,,,,,0,0,OTHER
100,down,Wellboy,Гуси,87,84,4,,,,,UA,0,0
