rank,Track Name,Artist,Streams,URL,,,,UA,RU,OTHER
50,So Icy Nihao,Big Baby Tape,52969,https://open.spotify.com/track/5Wr1F6BoB9BQ4wtlefGpK3,,,,0,RU,0
51,Я пиздатый,LIL MORTY,52405,https://open.spotify.com/track/1MiUVjoHt4jiskDrt2ZHrq,,,,0,RU,0
52,Ride Or Die,Big Baby Tape,51887,https://open.spotify.com/track/5shMiLCYjeNGe1WKikPg6T,,,,0,RU,0
53,Infinite Tsukuyomi,ROCKET,50614,https://open.spotify.com/track/1w6yKhAgRhIaZhsWEay2H3,,,,0,RU,0
54,Rampampam,Minelli,48798,https://open.spotify.com/track/1esZgaqm0YKN87CIP3orJ3,,,,0,0,OTHER
55,MIDDLE OF THE NIGHT,Elley Duhé,48754,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,,,,0,0,OTHER
56,Афган,Max Korzh,48652,https://open.spotify.com/track/49y9IcSwgoYR8YBBvwllP2,,,,0,RU,0
57,Brooklyn,Miyagi & Andy Panda,48577,https://open.spotify.com/track/6WX6YUtobLydEjuvFqVggj,,,,0,RU,0
58,Toxic,BoyWithUke,47869,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v,,,,0,0,OTHER
59,VAMPIR (feat. Oli Sykes of Bring Me The Horizon),IC3PEAK,47735,https://open.spotify.com/track/3FQOmo61pO1ZnBT26d6WLQ,,,,0,RU,0
60,ты похож на кота,zhanulka,47621,https://open.spotify.com/track/1AbuUhtugvlVM4N6EZUjyz,,,,0,RU,0
61,Я уёбываю в джаз,Кишлак,47139,https://open.spotify.com/track/3VeWIV9WTXUl8PcOusFjYv,,,,0,RU,0
62,She Wants,ROCKET,46958,https://open.spotify.com/track/5XFPXH2ieaL05Xgsati1JJ,,,,0,RU,0
63,After Dark,Mr.Kitty,46446,https://open.spotify.com/track/0zCgWGmDF0aih5qexATyBn,,,,0,0,OTHER
64,Heat Waves,Glass Animals,45935,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,,,,0,0,OTHER
65,Дом Периньон,Poshlaya Molly,45582,https://open.spotify.com/track/0i8YObgqnjZYoYJOQbwLHq,,,,0,RU,0
66,Инкассатор,ROCKET,44812,https://open.spotify.com/track/4DcMqvjv5pcYVu9jTBhpDH,,,,0,RU,0
67,toxin,Benedixhion,44694,https://open.spotify.com/track/79i617mqpQLwUs3WTokYX9,,,,0,0,OTHER
68,Ghoul,Twinky,44105,https://open.spotify.com/track/2diJF8UbIsmOilJU3BTTyM,,,,0,RU,0
69,Шнурки,METAN,43735,https://open.spotify.com/track/4lBbG8BHYRvJAJE25bEMIm,,,,0,RU,0
70,Положение,Skryptonite,43408,https://open.spotify.com/track/1hfISzdAwnywAKxaSpfloo,,,,0,RU,0
71,Phonky Town,PlayaPhonk,43392,https://open.spotify.com/track/5mnpMkzp3Z2RCCbwIEZCbv,,,,0,0,OTHER
72,5 Nights Crazy,Big Baby Tape,42929,https://open.spotify.com/track/7vbXtUsr3lSZtBzwL6lpVg,,,,0,RU,0
73,I WANNA BE YOUR SLAVE,Måneskin,42915,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk,,,,0,0,OTHER
74,Снова обогнал их,uglystephan,42880,https://open.spotify.com/track/2ZTJxMmPZizet6NSJmSezo,,,,0,RU,0
75,Sweater Weather,The Neighbourhood,42817,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,,,,0,0,OTHER
76,No Love,АДЛИН,42813,https://open.spotify.com/track/03TPcM9vWUmc8y6LkJAzwJ,,,,0,RU,0
77,Танцы,ssshhhiiittt!,42605,https://open.spotify.com/track/5hY09NvKjD3gBQS3qhriXD,,,,0,RU,0
78,Погоди,DSPRITE,42194,https://open.spotify.com/track/5sJt5rmSaKTQyAymKx6e1W,,,,0,RU,0
79,баночка с окурками,КОСМОНАВТОВ НЕТ,42145,https://open.spotify.com/track/7j6eSKC2Hv3lcElPyR1bP3,,,,0,RU,0
80,Move Your Body,Öwnboss,41875,https://open.spotify.com/track/6GomT970rCOkKAyyrwJeZi,,,,0,0,OTHER
81,Blinding Lights,The Weeknd,41833,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,,,,0,0,OTHER
82,Как тебя покорить,Перемотка,41793,https://open.spotify.com/track/1CqOEa4NIRBaWR6sNHTDTo,,,,0,RU,0
83,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,41769,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg,,,,0,0,OTHER
84,Птичка,HammAli & Navai,41202,https://open.spotify.com/track/6Abmb1Nh7Bc5U6o4iEgSDH,,,,0,RU,0
85,Slip & Slide,Big Baby Tape,40998,https://open.spotify.com/track/4vvkdSOfuve7DBxsrVzVDP,,,,0,RU,0
86,Акид,PHARAOH,40951,https://open.spotify.com/track/79hOg2OcECgvRGGeX0XJuZ,,,,0,RU,0
87,Первый раз - remix nevroz,JojoHF,40698,https://open.spotify.com/track/1zE2dRkxtOLEOubAmqcHX3,,,,0,RU,0
88,MONTERO (Call Me By Your Name),Lil Nas X,40430,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W,,,,0,0,OTHER
89,Холодное оружие,Sqwore,40327,https://open.spotify.com/track/1qNe5rzjYah7emeSt96L6n,,,,0,RU,0
90,LAMBO URUS,Egor Kreed,40198,https://open.spotify.com/track/6m7QUKRStA95DXM4IS8eFD,,,,0,RU,0
91,зима,ooes,40051,https://open.spotify.com/track/0cOftxEWGyu4XAqEsqmdWS,,,,0,RU,0
92,Домино,FACE,39951,https://open.spotify.com/track/6GyZQ9o0dBU9V0NIjGPz2r,,,,0,RU,0
93,Буква Х,Scally Milano,39921,https://open.spotify.com/track/320b8n5Ew9RgzDP67tVIx1,,,,0,RU,0
94,Minor,Miyagi & Andy Panda,39916,https://open.spotify.com/track/5m5rShfBQk4UpG7vpsEKzf,,,,0,RU,0
95,Динозаврики,Папин Олимпос,39497,https://open.spotify.com/track/4tP3JZw4NcKQJitu7F3SCa,,,,0,RU,0
96,ФИТИЛЬ,3TERNITY,39394,https://open.spotify.com/track/1YADTnjt9bhRYc2Qm6ymDn,,,,0,RU,0
97,Пополам,BRANYA,39381,https://open.spotify.com/track/0nqWnlvSpyqbk2Xp9mncVL,,,,0,RU,0
98,Колхозник,Mnogoznaal,38935,https://open.spotify.com/track/19guFw87TvSkoxnC9EBu2Y,,,,0,RU,0
99,Monday,ROCKET,38695,https://open.spotify.com/track/1AuvZZkmzlsArfACRNk97B,,,,0,RU,0
100,Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix,MORGENSHTERN,38643,https://open.spotify.com/track/5MAQgObkQo8YHICDRqdYcg,,,,0,RU,0
101,Миллионы,THRILL PILL,38283,https://open.spotify.com/track/3F3bEnE5mney9PyuFU7LS8,,,,0,RU,0
