Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,UA,RU,OTHER
1,1,СОЛНЦЕ МОНАКО,Люся Чеботіна,14,1264180,-5.60%,https://www.youtube.com/watch?v=sfd2xj9xtN0,0,RU,0
2,3,Малиновая лада,GAYAZOV$ BROTHER$,13,1247404,31.50%,https://www.youtube.com/watch?v=TvEkldfa3T0,0,RU,0
3,2,Феникс,ANNA ASTI,3,1028581,-14.30%,https://www.youtube.com/watch?v=Expq6fmXLUM,0,RU,0
4,43,Гармония,Artik & Asti,2,927745,201.30%,https://www.youtube.com/watch?v=I7-Djz-CBOY,0,RU,0
5,6,Зараза (Live),Григорій Лепс,15,807145,11.60%,https://www.youtube.com/watch?v=n1Rfi8BzNOY,0,RU,0
6,4,Кобра,Іслам Ітляшев,10,778745,-3%,https://www.youtube.com/watch?v=5j5OsWpWl8M,0,RU,0
7,5,Федерико Феллини,Galibri & Mavik,37,726064,-3.40%,https://www.youtube.com/watch?v=3-STCxyZhGE,0,RU,0
8,9,Диалоги тет-а-тет,ALEKS ATAMAN & FINIK,17,616733,-0.50%,https://www.youtube.com/watch?v=GBs-vSwOTAE,0,RU,0
9,8,Никто,NЮ,13,586821,-7.60%,https://www.youtube.com/watch?v=MLzKepDXBc0,0,RU,0
10,11,My ADIDAS,Minelli,41,584216,-3.30%,https://www.youtube.com/watch?v=XqgYj8atJqo,0,0,OTHER
11,15,Птичка (Ptichka),HammAli & Navai,38,523523,1.90%,https://www.youtube.com/watch?v=7T82Z7BwYfM,0,RU,0
12,12,ЗанесLo,LOBODA,8,515571,-7.90%,https://www.youtube.com/watch?v=q8ZJ-mprbnA,0,RU,0
13,7,Головы на завтрак,Компот,3,500864,-28.90%,https://www.youtube.com/watch?v=ymQE6qvJC_c,0,RU,0
14,14,Міраж,Артем Пивоваров,12,490993,-7.10%,https://www.youtube.com/watch?v=wRfUBcbqPsg,UA,0,0
15,16,Baby mama,Скриптоніт & Райда,33,473503,-3.20%,https://www.youtube.com/watch?v=eXLSBdxm_cs,0,RU,0
16,,Материк,Артем Качер & Ані Лорак,1,470672,,https://www.youtube.com/watch?v=OB-WR2MyKmw,0,RU,0
