Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,UA,RU,OTHER
1,1,Stefania,KALUSH & Kalush Orchestra,20,1759722,-7.10%,https://www.youtube.com/watch?v=Z8Z51no1TD0,UA,0,0
2,,Додому (feat. Skofka),KALUSH,53,1269715,,https://www.youtube.com/watch?v=OF7bh0Y3vyo,UA,0,0
3,2,думи,Артем Пивоваров & Дорофеєва Надія,3,1259673,-4.70%,https://www.youtube.com/watch?v=dZzfjLPC-Rk,UA,0,0
4,4,Україна переможе!,"Олександр Валерійович Пономарьов, Михайло Хома, Тарас Тополя, --, -- & Петро Чорний",10,1007391,-12%,https://www.youtube.com/watch?v=fRuiEv3JRDQ,UA,0,0
5,3,Цей сон (Live),Степан Гіга,3,957154,-26.80%,https://www.youtube.com/watch?v=2eqMmPBvXQo,UA,0,0
6,,Ластівки,Qatoshi & Chico,1,856165,,https://www.youtube.com/watch?v=vCNmvFIFQ-I,UA,0,0
7,6,Допоможе ЗСУ,Chico & Qatoshi,8,815684,-9.30%,https://www.youtube.com/watch?v=B7BkkiytsKY,UA,0,0
8,14,Марiчка,PATSYKI Z FRANEKA,14,667199,7.90%,https://www.youtube.com/watch?v=rHaw1MpOIzg,UA,0,0
9,,Это наш путь,Макс Корж,1,660496,,https://www.youtube.com/watch?v=nSPMuy0hEtM,0,RU,0
10,10,Не забудем і не пробачим,Skofka,7,652458,1.20%,https://www.youtube.com/watch?v=b9EJWtj5ZjI,UA,0,0
11,8,ДОБРОГО ВЕЧОРА (WHERE ARE YOU FROM?),PROBASS ∆ HARDI,19,640845,-7.30%,https://www.youtube.com/watch?v=W2S_ayZ-Eso,UA,0,0
12,12,Файна (feat. Skofka),KALUSH,35,624149,-0.40%,https://www.youtube.com/watch?v=CdYDZnWTHHM,UA,0,0
13,16,#МРІЯ,Jerry Heil,4,591592,4.60%,https://www.youtube.com/watch?v=YujzhGdUIFE,UA,0,0
14,11,Чи разом?,KOLA,3,586359,-8.10%,https://www.youtube.com/watch?v=lP6zTfUn3nc,UA,0,0
15,13,ДИКЕ ПОЛЕ (feat. Алиса),YARMAK,7,581436,-6.10%,https://www.youtube.com/watch?v=mOOClonYKmc,UA,0,0
16,7,Свой дом,Макс Корж,3,575649,-26.40%,https://www.youtube.com/watch?v=XPVIWPap7X0,0,RU,0
17,17,У мене немає дому,Один в каное,16,571257,4.60%,https://www.youtube.com/watch?v=gw2nclcoFNE,UA,0,0
18,15,2step (feat. Lil Baby),Ed Sheeran,8,531060,-7.30%,https://www.youtube.com/watch?v=Z_MvkyuOJgk,0,0,OTHER
19,20,Малиновая лада,GAYAZOV$ BROTHER$,33,508813,5.60%,https://www.youtube.com/watch?v=TvEkldfa3T0,0,RU,0
20,22,По барам,ANNA ASTI,2,501100,14.10%,https://www.youtube.com/watch?v=Cf2ASJCa_Iw,0,RU,0
21,,Чому? (feat. Jerry Heil),alyona alyona,1,492164,,https://www.youtube.com/watch?v=CgWiW1x5bjM,UA,0,0
22,23,Вишнi,Wellboy,34,486897,11.30%,https://www.youtube.com/watch?v=X6eFKOSeICU,UA,0,0
23,19,Браття українці,Шабля,17,462168,-7.10%,https://www.youtube.com/watch?v=q_f2rlEsb8A,UA,0,0
24,26,Калуські вечорниці (feat. Tember Blanche),KALUSH,27,404046,-1.70%,https://www.youtube.com/watch?v=doSD_dKBUF4,UA,0,0
25,30,Гуси,Wellboy,43,403489,8.20%,https://www.youtube.com/watch?v=7-5v5ltkWU4,UA,0,0
26,21,Остановіть ви цю ху..ню!,Мюслі UA,6,390752,-17%,https://www.youtube.com/watch?v=3U2L8ptMs6I,UA,0,0
27,28,СОЛНЦЕ МОНАКО,Люся Чеботіна,34,382298,-4%,https://www.youtube.com/watch?v=sfd2xj9xtN0,0,RU,0
28,29,Oy U Luzi Chervona Kalyna (Remix) (feat. Бумбокс),The Kiffness,16,381805,1%,https://www.youtube.com/watch?v=lu8m5FA2nL8,UA,0,0
29,27,Рідні мої,alyona alyona & Jerry Heil,9,379978,-4.90%,https://www.youtube.com/watch?v=eZslMJsyKdw,UA,0,0
30,24,Хобби,ANNA ASTI & Филип Кіркоров,8,378062,-10.80%,https://www.youtube.com/watch?v=QZ4pPd8MRQ8,0,RU,0
31,5,Украина,Ногу звело!,2,375434,-62%,https://www.youtube.com/watch?v=nSfWKA0qrok,0,RU,0
32,32,Місто весни,Океан Ельзи & Один в каное,37,374388,2.80%,https://www.youtube.com/watch?v=pmoYP_QvGsM,UA,0,0
33,25,"Вова, їбаш їх блять",Мюслі UA,12,365334,-13.40%,https://www.youtube.com/watch?v=64qSNiUmaAk,UA,0,0
34,40,Біля тополі,SHUMEI,11,359683,14.40%,https://www.youtube.com/watch?v=OdgBmb8LXKM,UA,0,0
35,31,Давай начистоту (feat. Skofka),KALUSH,39,357840,-2.90%,https://www.youtube.com/watch?v=sr-GqKwhihE,UA,0,0
36,33,В дорогу,Skofka,16,349508,-2.70%,https://www.youtube.com/watch?v=1j4qxGVxxhg,UA,0,0
37,34,Гори (feat. alyona alyona),KALUSH,26,333388,-3.30%,https://www.youtube.com/watch?v=tXJ2-PgeLVg,UA,0,0
38,41,Соколи,Mirami,11,321152,2.90%,https://www.youtube.com/watch?v=TMuKsFeqFv4,UA,0,0
39,35,Крузак,Skofka,36,315470,-4.50%,https://www.youtube.com/watch?v=F_7oaYzQB_c,UA,0,0
40,43,Ой на ой,Skofka,14,306155,0.10%,https://www.youtube.com/watch?v=PcaCISyT-X0,UA,0,0
41,36,Козаки йдуть,PROBASS ∆ HARDI,14,303248,-7.20%,https://www.youtube.com/watch?v=ooJsW-RnSl8,UA,0,0
42,37,Суета,V $ X V PRiNCE,4,300613,-7.90%,https://www.youtube.com/watch?v=JJ9y3aWBaxw,0,RU,0
43,39,Не залишай,Трінчер Анна Леонідівна,9,292642,-9.80%,https://www.youtube.com/watch?v=_kGN2OJ7BHA,UA,0,0
44,45,Диалоги тет-а-тет,ALEKS ATAMAN & FINIK,37,292078,-1.90%,https://www.youtube.com/watch?v=GBs-vSwOTAE,0,RU,0
45,49,Чекай мене (Live),Макс Барських,2,290248,5.30%,https://www.youtube.com/watch?v=HGTcFfcNznc,UA,0,0
46,47,Nozzy Bossy,Wellboy,19,285392,1.70%,https://www.youtube.com/watch?v=vs1ktEjnLP8,UA,0,0
47,,Коли ти в армію ідеш (Remix),Награш band,1,282771,,https://www.youtube.com/watch?v=gqXAO6-FVdU,UA,0,0
48,48,Міраж,Артем Пивоваров,24,280626,0%,https://www.youtube.com/watch?v=wRfUBcbqPsg,UA,0,0
49,55,Чорне і біле,ZOZULYA,11,278214,14.10%,https://www.youtube.com/watch?v=he1v2LSai5U,UA,0,0
50,42,Човен,Один в каное,22,276684,-10.30%,https://www.youtube.com/watch?v=lUdbxJXBuig,UA,0,0
51,50,Руський корабль,BURLA,11,263925,-2.30%,https://www.youtube.com/watch?v=JpqPtmn9BA4,UA,0,0
52,52,Люди,Бумбокс,17,260440,-1.60%,https://www.youtube.com/watch?v=AVu5wl8U_a4,UA,0,0
53,54,Хвилі (feat. Jerry Heil),KALUSH,20,257032,-2.40%,https://www.youtube.com/watch?v=wB-BkVzcadM,UA,0,0
54,53,Тіпок,KALUSH,6,256094,-2.90%,https://www.youtube.com/watch?v=lyEgjIts-wc,UA,0,0
55,46,24/02,БЕЗ ОБМЕЖЕНЬ,4,246952,-15.70%,https://www.youtube.com/watch?v=JXYVKz788GE,UA,0,0
56,56,Спи собі сама,Кузьма Скрябин,12,243530,2.20%,https://www.youtube.com/watch?v=eiobemTEDU8,UA,0,0
57,51,Буде весна,Макс Барських,15,243496,-8.30%,https://www.youtube.com/watch?v=6CrwyBT7MiU,UA,0,0
58,59,#ПОШТА,Jerry Heil,20,237881,4.10%,https://www.youtube.com/watch?v=-tQueWDJTvk,UA,0,0
59,57,Sonyachna (feat. Сальто Назад & Skofka),KALUSH,18,237455,0.20%,https://www.youtube.com/watch?v=WConm-ljSew,UA,0,0
60,,Не Зорро!,Ленінград,1,236069,,https://www.youtube.com/watch?v=LN7YM444d4s,0,RU,0
61,69,After Dark Slowed,Hà Lê,8,233876,15.70%,https://www.youtube.com/watch?v=VAtuQj19T2k,0,0,OTHER
62,60,Люди як кораблі,Антитіла,16,229625,3.40%,https://www.youtube.com/watch?v=9CM0sVfVDx4,UA,0,0
63,64,"Добрий ранок, Україно",Нумер 482,16,223400,1.60%,https://www.youtube.com/watch?v=3SyngeKJtkk,UA,0,0
64,58,"Русский военный корабль, иди нахуй!",Bakun,12,222268,-3.80%,https://www.youtube.com/watch?v=n6OT79TGqqA,UA,0,0
65,65,ЗСУ,100лиця,13,221434,1.40%,https://www.youtube.com/watch?v=9CIMf-vTCUY,UA,0,0
66,67,Не твоя війна,Океан Ельзи,17,209593,1.30%,https://www.youtube.com/watch?v=eOtEC4wCA40,UA,0,0
67,61,Бумеранг,Клава Кока,2,204597,-7.20%,https://www.youtube.com/watch?v=AEC9mBJ3Ovk,0,RU,0
68,76,Сину,MamaRika,7,203566,5.50%,https://www.youtube.com/watch?v=KAGj8PXjdHY,UA,0,0
69,62,#МОСКАЛЬ_НЕКРАСІВИЙ (ГЕТЬ З УКРАЇНИ) (feat. Андрій Михайлович Данилко),Jerry Heil,11,199940,-9.20%,https://www.youtube.com/watch?v=s8-h21rk0Co,UA,0,0
70,72,RAVE,Dxrk ダーク,11,198510,2.40%,https://www.youtube.com/watch?v=PTZgxW_3LIQ,0,0,OTHER
71,,Незламна,ЛЮСЯ КАВА,1,197966,,https://www.youtube.com/watch?v=-ZuCAA_93wc,UA,0,0
72,71,Лепит нас,Vendetta,2,196453,0%,https://www.youtube.com/watch?v=JIpefaOCXIU,UA,0,0
73,70,Вона,Тарас Григорович Чубай & Плач Єремії,15,196374,-1.40%,https://www.youtube.com/watch?v=EaQEnpYoA2U,UA,0,0
74,68,Поки молоді,TOLOKA,7,193163,-4.90%,https://www.youtube.com/watch?v=UWiinhrRcKA,UA,0,0
75,89,Старі фотографії (Альбомна версія),Кузьма Скрябин,5,191929,19.20%,https://www.youtube.com/watch?v=Bz85aM7zWOU,UA,0,0
76,85,Я з україни,МЕРІ,17,191478,12.10%,https://www.youtube.com/watch?v=IcnxI5o9Qrs,UA,0,0
77,,Горить Москва,Діти Фрістайла,6,184446,,https://www.youtube.com/watch?v=GZ8v27V2_YU,UA,0,0
78,73,В пустій кімнаті,YAKTAK & Jerry Heil,5,181521,-6.10%,https://www.youtube.com/watch?v=E8J0HPHdoBE,UA,0,0
79,,Люди як кораблі,Кузьма Скрябин,21,180230,,https://www.youtube.com/watch?v=FWH7lRJ6mPw,UA,0,0
80,66,До весни,Артем Пивоваров & Злата Огнєвіч,8,179745,-16%,https://www.youtube.com/watch?v=GRc9RPm1p6U,UA,0,0
81,78,Putin,Cypis,17,177542,-4.80%,https://www.youtube.com/watch?v=dBqBJ6C5Mkw,0,0,OTHER
82,80,Девочка бандитка,FINIK & ALEKS ATAMAN,16,173030,-1.90%,https://www.youtube.com/watch?v=0RuYJrdnvTw,0,RU,0
83,84,Don't Fuck With Ukraine,Макс Барських,8,171697,0.40%,https://www.youtube.com/watch?v=q5PiEjd3R6U,UA,0,0
84,,"Крейсер ""москва""",Zinchenko,1,170589,,https://www.youtube.com/watch?v=ToavJ9yx0PY,UA,0,0
85,75,Секрет,The Limba,5,170017,-11.90%,https://www.youtube.com/watch?v=YQaG6-RBSzk,0,RU,0
86,77,Квітка,Averin & CHURSANOV,5,169963,-10.70%,https://www.youtube.com/watch?v=flTogFbea7A,UA,0,0
87,86,Как ты там,Kamazz,20,169806,1.50%,https://www.youtube.com/watch?v=9pDrV_OnMsA,0,RU,0
88,83,Українська лють,Христина Соловій,13,165622,-4.40%,https://www.youtube.com/watch?v=PqVCQEthhOU,UA,0,0
89,79,Радiсно,Артем Пивоваров,12,165441,-8.70%,https://www.youtube.com/watch?v=9xefsv8zUNc,UA,0,0
