Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,UA,RU,OTHER
1,1,Ластівки,Qatoshi & Chico,4,1871804,-2.40%,https://www.youtube.com/watch?v=vCNmvFIFQ-I,UA,0,0
2,2,Stefania,KALUSH & Kalush Orchestra,23,1503107,3.50%,https://www.youtube.com/watch?v=Z8Z51no1TD0,UA,0,0
3,3,думи,Артем Пивоваров & Дорофеєва Надія,6,1382858,11.80%,https://www.youtube.com/watch?v=dZzfjLPC-Rk,UA,0,0
4,,Додому (feat. Skofka),KALUSH,54,1330074,,https://www.youtube.com/watch?v=OF7bh0Y3vyo,UA,0,0
5,17,KUPALA,"alyona alyona, Jerry Heil & ela.",2,1320771,199.20%,https://www.youtube.com/watch?v=CU-1ugD-ceg,UA,0,0
6,4,Україна переможе!,"Олександр Валерійович Пономарьов, Михайло Хома, Тарас Тополя, --, -- & Петро Чорний",13,860787,-0.70%,https://www.youtube.com/watch?v=fRuiEv3JRDQ,UA,0,0
7,,Ой на горі,Артем Пивоваров,1,834734,,https://www.youtube.com/watch?v=vRQUhObXDGU,UA,0,0
8,13,Гарно так,Cheev,3,784849,53.30%,https://www.youtube.com/watch?v=1gxLVS3erwM,UA,0,0
9,6,ДИКЕ ПОЛЕ (feat. Алиса),YARMAK,10,744220,0.40%,https://www.youtube.com/watch?v=mOOClonYKmc,UA,0,0
10,7,По барам,ANNA ASTI,5,706662,0.20%,https://www.youtube.com/watch?v=Cf2ASJCa_Iw,0,RU,0
11,9,Марiчка,PATSYKI Z FRANEKA,17,687476,5.40%,https://www.youtube.com/watch?v=rHaw1MpOIzg,UA,0,0
12,8,Не забудем і не пробачим,Skofka,10,686365,1.70%,https://www.youtube.com/watch?v=b9EJWtj5ZjI,UA,0,0
13,5,Цей сон (Live),Степан Гіга,6,646689,-13.10%,https://www.youtube.com/watch?v=2eqMmPBvXQo,UA,0,0
14,10,Файна (feat. Skofka),KALUSH,38,614787,-4.70%,https://www.youtube.com/watch?v=CdYDZnWTHHM,UA,0,0
15,,DALEKO,MORGENSHTERN & Aarne,1,588007,,https://www.youtube.com/watch?v=e5Vr2PHFehg,0,RU,0
16,,Давай начистоту (feat. Skofka),KALUSH,40,587392,,https://www.youtube.com/watch?v=sr-GqKwhihE,UA,0,0
17,12,Чи разом?,KOLA,6,550210,1.50%,https://www.youtube.com/watch?v=lP6zTfUn3nc,UA,0,0
18,,Добрий день Everybody (feat. VASIA CHARISMA),Мюслі UA,1,535779,,https://www.youtube.com/watch?v=mfkiyoY8WRk,UA,0,0
19,11,ДОБРОГО ВЕЧОРА (WHERE ARE YOU FROM?),PROBASS ∆ HARDI,22,530631,-7.30%,https://www.youtube.com/watch?v=W2S_ayZ-Eso,UA,0,0
20,21,Welcome to Ukraine,JKLN,3,519272,23.70%,https://www.youtube.com/watch?v=ujdTL9eIgPk,UA,0,0
21,18,У мене немає дому,Один в каное,19,502685,14.10%,https://www.youtube.com/watch?v=gw2nclcoFNE,UA,0,0
22,16,#МРІЯ,Jerry Heil,7,470467,-3.80%,https://www.youtube.com/watch?v=YujzhGdUIFE,UA,0,0
23,15,Пробач,SHUMEI,2,450954,-9.90%,https://www.youtube.com/watch?v=pCz2kLV_pqw,UA,0,0
24,27,Біля тополі,SHUMEI,14,447798,15.30%,https://www.youtube.com/watch?v=OdgBmb8LXKM,UA,0,0
25,14,Допоможе ЗСУ,Chico & Qatoshi,11,442164,-12%,https://www.youtube.com/watch?v=B7BkkiytsKY,UA,0,0
26,19,2step (feat. Lil Baby),Ed Sheeran,11,425714,-3.30%,https://www.youtube.com/watch?v=Z_MvkyuOJgk,0,0,OTHER
27,23,Вишнi,Wellboy,37,422780,1.30%,https://www.youtube.com/watch?v=X6eFKOSeICU,UA,0,0
28,24,Калуські вечорниці (feat. Tember Blanche),KALUSH,30,415586,1.10%,https://www.youtube.com/watch?v=doSD_dKBUF4,UA,0,0
29,22,Малиновая лада,GAYAZOV$ BROTHER$,36,413331,-1%,https://www.youtube.com/watch?v=TvEkldfa3T0,0,RU,0
30,25,Ай-яй-яй (Дикая),Іслам Ітляшев,6,410526,-0.10%,https://www.youtube.com/watch?v=bkVc4GDpWK8,0,RU,0
31,32,Враже,ANGY KREYDA,3,393728,16.70%,https://www.youtube.com/watch?v=cdEEffF7_rU,UA,0,0
32,37,Чорне і біле,ZOZULYA,14,392485,21.70%,https://www.youtube.com/watch?v=he1v2LSai5U,UA,0,0
33,26,Браття українці,Шабля,20,387185,-0.40%,https://www.youtube.com/watch?v=q_f2rlEsb8A,UA,0,0
34,30,Місто весни,Океан Ельзи & Один в каное,40,368469,6.30%,https://www.youtube.com/watch?v=pmoYP_QvGsM,UA,0,0
35,34,Гуси,Wellboy,46,362056,10.90%,https://www.youtube.com/watch?v=7-5v5ltkWU4,UA,0,0
36,29,Крузак,Skofka,39,357024,-4%,https://www.youtube.com/watch?v=F_7oaYzQB_c,UA,0,0
37,45,Міраж,Артем Пивоваров,27,327289,10.80%,https://www.youtube.com/watch?v=wRfUBcbqPsg,UA,0,0
38,42,Гори (feat. alyona alyona),KALUSH,29,323849,6.10%,https://www.youtube.com/watch?v=tXJ2-PgeLVg,UA,0,0
39,38,СОЛНЦЕ МОНАКО,Люся Чеботіна,37,322694,0.20%,https://www.youtube.com/watch?v=sfd2xj9xtN0,0,RU,0
40,35,В дорогу,Skofka,19,321238,-0.80%,https://www.youtube.com/watch?v=1j4qxGVxxhg,UA,0,0
41,47,Тіпок,KALUSH,9,317544,11.20%,https://www.youtube.com/watch?v=lyEgjIts-wc,UA,0,0
42,41,Незламна,ЛЮСЯ КАВА,4,313683,2.70%,https://www.youtube.com/watch?v=-ZuCAA_93wc,UA,0,0
43,31,Хобби,ANNA ASTI & Филип Кіркоров,11,310983,-9.30%,https://www.youtube.com/watch?v=QZ4pPd8MRQ8,0,RU,0
44,39,Ой на ой,Skofka,17,309905,-1%,https://www.youtube.com/watch?v=PcaCISyT-X0,UA,0,0
45,33,Рідні мої,alyona alyona & Jerry Heil,12,308956,-6.70%,https://www.youtube.com/watch?v=eZslMJsyKdw,UA,0,0
46,28,Свой дом,Макс Корж,6,307319,-17.60%,https://www.youtube.com/watch?v=XPVIWPap7X0,0,RU,0
47,,Шёлковая простынь,O.G EzzY,1,306870,,https://www.youtube.com/watch?v=bVHhx7Y5EUQ,0,RU,0
48,50,Люди,Бумбокс,20,295493,9.10%,https://www.youtube.com/watch?v=AVu5wl8U_a4,UA,0,0
49,44,Диалоги тет-а-тет,ALEKS ATAMAN & FINIK,40,283272,-5.50%,https://www.youtube.com/watch?v=GBs-vSwOTAE,0,RU,0
