Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,UA,RU,OTHER
1,,12,MORGENSHTERN,1,2016882,,https://www.youtube.com/watch?v=lX0TPbCSAbM,0,RU,0
2,4,ДОБРОГО ВЕЧОРА (WHERE ARE YOU FROM?),PROBASS ∆ HARDI,5,961716,43.60%,https://www.youtube.com/watch?v=W2S_ayZ-Eso,UA,0,0
3,1,Stefania,KALUSH & Kalush Orchestra,6,933318,-0.60%,https://www.youtube.com/watch?v=Z8Z51no1TD0,UA,0,0
4,3,Малиновая лада,GAYAZOV$ BROTHER$,19,760277,7.90%,https://www.youtube.com/watch?v=TvEkldfa3T0,0,RU,0
5,5,Oy U Luzi Chervona Kalyna (Remix) (feat. Бумбокс),The Kiffness,2,700869,23.10%,https://www.youtube.com/watch?v=lu8m5FA2nL8,UA,0,0
6,9,Додому (feat. Skofka),KALUSH,43,568558,31.70%,https://www.youtube.com/watch?v=OF7bh0Y3vyo,UA,0,0
7,6,Браття українці,Шабля,3,568540,0.50%,https://www.youtube.com/watch?v=q_f2rlEsb8A,UA,0,0
8,,Я Солдат (2022 UA Version),Сергій Бабкін,1,524727,,https://www.youtube.com/watch?v=OOdgvpDFfhc,UA,0,0
9,8,Не твоя війна,Океан Ельзи,3,487833,12.50%,https://www.youtube.com/watch?v=eOtEC4wCA40,UA,0,0
10,7,СОЛНЦЕ МОНАКО,Люся Чеботіна,20,442890,-1.90%,https://www.youtube.com/watch?v=sfd2xj9xtN0,0,RU,0
11,2,"Прощай, элита!",Ленінград,2,438448,-41.90%,https://www.youtube.com/watch?v=2WQIW7aK5Bk,0,RU,0
12,68,Выхода нет!,Ленінград,2,430492,264%,https://www.youtube.com/watch?v=FeIjDxbAZeM,0,RU,0
13,10,Диалоги тет-а-тет,ALEKS ATAMAN & FINIK,23,382406,6.20%,https://www.youtube.com/watch?v=GBs-vSwOTAE,0,RU,0
14,11,Федерико Феллини,Galibri & Mavik,43,348882,5.70%,https://www.youtube.com/watch?v=3-STCxyZhGE,0,RU,0
15,,Буде жити Україна!,Олег Винник,1,322279,,https://www.youtube.com/watch?v=t6AyOrBYucc,UA,0,0
16,14,showdown,Shadowraze,2,283799,-1.60%,https://www.youtube.com/watch?v=Oc5bIgsg1Iw,0,RU,0
17,,Zeit,Rammstein,1,270474,,https://www.youtube.com/watch?v=EbHGS_bVkXY,0,0,OTHER
18,,Кобра,Іслам Ітляшев,15,264125,,https://www.youtube.com/watch?v=5j5OsWpWl8M,0,RU,0
19,17,Бандерштатівські коломийки (Live),Кузьма Скрябин,3,261680,12.70%,https://www.youtube.com/watch?v=vRYtlT5pqTE,UA,0,0
20,16,Сльози на землі,Олег Винник,3,258752,0.90%,https://www.youtube.com/watch?v=9W4Wcoz2MOM,UA,0,0
21,19,Гармония,Artik & Asti,8,247052,17.30%,https://www.youtube.com/watch?v=I7-Djz-CBOY,0,RU,0
22,21,"Хто, як не ти?",Христина Соловій,25,246897,20%,https://www.youtube.com/watch?v=Lf6El9jHdGg,UA,0,0
23,13,Батько наш - Бандера,Romax,3,243808,-18.50%,https://www.youtube.com/watch?v=Ee-0C1kUp_g,UA,0,0
24,42,Я з україни,МЕРІ,3,242945,59.20%,https://www.youtube.com/watch?v=IcnxI5o9Qrs,UA,0,0
