Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,UA,RU,OTHER
1,1,Stefania,KALUSH & Kalush Orchestra,5,938991,41.30%,https://www.youtube.com/watch?v=Z8Z51no1TD0,UA,0,0
2,,"Прощай, элита!",Ленінград,1,754466,,https://www.youtube.com/watch?v=2WQIW7aK5Bk,0,RU,0
3,2,Малиновая лада,GAYAZOV$ BROTHER$,18,704676,21.30%,https://www.youtube.com/watch?v=TvEkldfa3T0,0,RU,0
4,5,ДОБРОГО ВЕЧОРА (WHERE ARE YOU FROM?),PROBASS ∆ HARDI,4,669696,95%,https://www.youtube.com/watch?v=W2S_ayZ-Eso,UA,0,0
5,,Oy U Luzi Chervona Kalyna (Remix) (feat. Бумбокс),The Kiffness,1,569159,,https://www.youtube.com/watch?v=lu8m5FA2nL8,UA,0,0
6,13,Браття українці,Шабля,2,565707,202.60%,https://www.youtube.com/watch?v=q_f2rlEsb8A,UA,0,0
7,4,СОЛНЦЕ МОНАКО,Люся Чеботіна,19,451299,11%,https://www.youtube.com/watch?v=sfd2xj9xtN0,0,RU,0
8,3,Не твоя війна,Океан Ельзи,2,433584,6.10%,https://www.youtube.com/watch?v=eOtEC4wCA40,UA,0,0
9,6,Додому (feat. Skofka),KALUSH,42,431839,34.90%,https://www.youtube.com/watch?v=OF7bh0Y3vyo,UA,0,0
10,10,Диалоги тет-а-тет,ALEKS ATAMAN & FINIK,22,360214,23.30%,https://www.youtube.com/watch?v=GBs-vSwOTAE,0,RU,0
11,9,Федерико Феллини,Galibri & Mavik,42,329981,10.50%,https://www.youtube.com/watch?v=3-STCxyZhGE,0,RU,0
12,,Cumback,Nekoglai,1,328294,,https://www.youtube.com/watch?v=N7QHOb5ZYVk,0,RU,0
13,8,Батько наш - Бандера,Romax,2,299274,0.10%,https://www.youtube.com/watch?v=Ee-0C1kUp_g,UA,0,0
14,,showdown,Shadowraze,1,288364,,https://www.youtube.com/watch?v=Oc5bIgsg1Iw,0,RU,0
15,7,Головы на завтрак,Компот,8,277064,-12.80%,https://www.youtube.com/watch?v=ymQE6qvJC_c,0,RU,0
16,,Сльози на землі,Олег Винник,2,256488,,https://www.youtube.com/watch?v=9W4Wcoz2MOM,UA,0,0
17,32,Бандерштатівські коломийки (Live),Кузьма Скрябин,2,232260,78.30%,https://www.youtube.com/watch?v=vRYtlT5pqTE,UA,0,0
18,12,Обійми,Океан Ельзи,2,231331,15.50%,https://www.youtube.com/watch?v=--Wokwe4-i0,UA,0,0
19,20,Гармония,Artik & Asti,7,210587,38.60%,https://www.youtube.com/watch?v=I7-Djz-CBOY,0,RU,0
20,15,My ADIDAS,Minelli,46,206389,23.70%,https://www.youtube.com/watch?v=XqgYj8atJqo,0,0,OTHER
21,39,"Хто, як не ти?",Христина Соловій,24,205808,75.20%,https://www.youtube.com/watch?v=Lf6El9jHdGg,UA,0,0
22,24,Baby mama,Скриптоніт & Райда,38,196867,35.70%,https://www.youtube.com/watch?v=eXLSBdxm_cs,0,RU,0
23,14,Девочка бандитка,ALEKS ATAMAN & FINIK,3,190566,5.30%,https://www.youtube.com/watch?v=0RuYJrdnvTw,0,RU,0
24,19,Феникс,ANNA ASTI,8,189793,24.60%,https://www.youtube.com/watch?v=Expq6fmXLUM,0,RU,0
25,11,Putin,Cypis,2,185687,-16.90%,https://www.youtube.com/watch?v=dBqBJ6C5Mkw,0,0,OTHER
26,30,Патрон,Miyagi & Andy Panda,49,181852,36.60%,https://www.youtube.com/watch?v=E18h8GB98Is,0,RU,0
27,22,Зараза (Live),Григорій Лепс,20,179735,21.90%,https://www.youtube.com/watch?v=n1Rfi8BzNOY,0,RU,0
28,17,Воины света,Ляпис Трубецкой,2,175289,9.50%,https://www.youtube.com/watch?v=71QQU6awLU4,0,0,OTHER
29,,Я ненавиджу війну,Віталій Білоножко (Молодший),1,170608,,https://www.youtube.com/watch?v=QZlX3MSsKgA,UA,0,0
30,28,первое свидание,Альона Швець,4,170485,23%,https://www.youtube.com/watch?v=zkyop2jy8ak,0,RU,0
31,,Зорі,KALUSH,25,170223,,https://www.youtube.com/watch?v=5p-IJhnyQMM,UA,0,0
32,34,Птичка (Ptichka),HammAli & Navai,43,169417,33.70%,https://www.youtube.com/watch?v=7T82Z7BwYfM,0,RU,0
33,54,Люди,Бумбокс,2,167992,75.90%,https://www.youtube.com/watch?v=AVu5wl8U_a4,UA,0,0
34,33,Стоп музыка,Ислам Мальсуйгенов & Зульфия Чотчаева,41,166708,29.60%,https://www.youtube.com/watch?v=dBAv8n-Nnyg,0,RU,0
35,18,astral step,Shadowraze,8,163482,6.80%,https://www.youtube.com/watch?v=89yDiQ8WkNg,0,RU,0
36,,Браття Українці (Live),Шабля,1,162624,,https://www.youtube.com/watch?v=LtcMASV9h7k,UA,0,0
37,27,Без бою,Океан Ельзи,2,155470,11.40%,https://www.youtube.com/watch?v=bbkEVJgrBUs,UA,0,0
38,,Мовчати,Святослав Вакарчук & --,1,155288,,https://www.youtube.com/watch?v=16SvsYbbcgA,UA,0,0
39,21,Дискотанцы,Хабиб & Galibri & Mavik,16,154083,1.80%,https://www.youtube.com/watch?v=9tdpHG3M3II,0,RU,0
40,37,99 Problems,Єгор Ракітін & KIZARU,20,153431,24%,https://www.youtube.com/watch?v=LbmGZWQG6eM,0,RU,0
