Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,UA,RU,OTHER
1,30,Bloody Mary,Lady Gaga,2,1286054,347.60%,https://www.youtube.com/watch?v=VFwmKL5OL-Q,0,0,OTHER
2,1,Чути гімн,Skofka,19,911111,-4.20%,https://www.youtube.com/watch?v=ia50r3fa67s,UA,0,0
3,2,Там у тополі,Артем Пивоваров & NK,4,594957,-5%,https://www.youtube.com/watch?v=m0u7iM6Xwxw,UA,0,0
4,3,ДИКЕ ПОЛЕ (feat. Алиса),YARMAK,31,524618,-1.60%,https://www.youtube.com/watch?v=mOOClonYKmc,UA,0,0
5,6,Вечорниці (Добрий день Everybody),100лиця & SKYLERR,21,520711,5%,https://www.youtube.com/watch?v=qqrLTNqAfWs,UA,0,0
6,5,Stefania,KALUSH & Kalush Orchestra,44,514347,3.30%,https://www.youtube.com/watch?v=Z8Z51no1TD0,UA,0,0
7,4,думи,Артем Пивоваров & Дорофеєва Надія,27,509618,-2.30%,https://www.youtube.com/watch?v=dZzfjLPC-Rk,UA,0,0
8,8,Полярная звезда,MOSOVICH & Batrai,3,495856,6.10%,https://www.youtube.com/watch?v=mZGb_R_dmeA,0,RU,0
9,10,Ластівки,Qatoshi & Chico,25,459773,3.80%,https://www.youtube.com/watch?v=vCNmvFIFQ-I,UA,0,0
10,12,Ванька-Встанька,Маша Краш,21,442954,6.60%,https://www.youtube.com/watch?v=lV9q901vS6o,UA,0,0
11,7,Не забудем і не пробачим,Skofka,31,433948,-9.30%,https://www.youtube.com/watch?v=b9EJWtj5ZjI,UA,0,0
12,,Нумо Козаки (feat. KOZAK SIROMAHA),Kalush Orchestra & KALUSH,1,428628,,https://www.youtube.com/watch?v=5CvzbWXn7_U,UA,0,0
13,13,Враже,ANGY KREYDA,24,416519,1.20%,https://www.youtube.com/watch?v=cdEEffF7_rU,UA,0,0
14,11,Цей сон (Live),Степан Гіга,27,404793,-3.80%,https://www.youtube.com/watch?v=2eqMmPBvXQo,UA,0,0
15,9,In The Shadows Of Ukraine,KALUSH & Kalush Orchestra,7,389576,-14.90%,https://www.youtube.com/watch?v=R0ebIzABQm0,UA,0,0
16,18,По барам,ANNA ASTI,26,377800,6%,https://www.youtube.com/watch?v=Cf2ASJCa_Iw,0,RU,0
17,14,Ой на горі,Артем Пивоваров,22,376467,-8.10%,https://www.youtube.com/watch?v=vRQUhObXDGU,UA,0,0
18,19,Україна переможе!,"Олександр Валерійович Пономарьов, Михайло Хома, Тарас Тополя, --, -- & Петро Чорний",34,364714,3.20%,https://www.youtube.com/watch?v=fRuiEv3JRDQ,UA,0,0
19,16,Моя хулиганка,Xolidayboy,6,357600,-3.90%,https://www.youtube.com/watch?v=u-gaETffwYM,0,RU,0
20,15,Біля тополі,SHUMEI,35,357036,-4.80%,https://www.youtube.com/watch?v=OdgBmb8LXKM,UA,0,0
21,46,ЗА ДЕНЬГИ ДА,Instasamka,2,353179,55.90%,https://www.youtube.com/watch?v=iZEca2A3tS4,0,RU,0
22,27,Калуські вечорниці (feat. Tember Blanche),KALUSH,51,328594,9.10%,https://www.youtube.com/watch?v=doSD_dKBUF4,UA,0,0
23,23,Гарно так,Cheev,24,315391,-2.80%,https://www.youtube.com/watch?v=1gxLVS3erwM,UA,0,0
24,29,Чорне і біле,ZOZULYA,35,306298,3.90%,https://www.youtube.com/watch?v=he1v2LSai5U,UA,0,0
25,,WHEN GOD SHUT THE DOOR,Jerry Heil,1,304732,,https://www.youtube.com/watch?v=aZyUuZisXk0,UA,0,0
26,21,Unholy,Sam Smith & Ким Петрас,11,303523,-7.80%,https://www.youtube.com/watch?v=Uq9gPaIzbe8,0,0,OTHER
27,25,Голова,Канги & Galust,10,297895,-7.60%,https://www.youtube.com/watch?v=3j6Vm_4-w-Y,0,RU,0
28,20,Силуети,SadSvit & СТРУКТУРА ЩАСТЯ,6,294071,-14.20%,https://www.youtube.com/watch?v=NjDMzkRbSZI,UA,0,0
29,28,Another Love,Том Оделл,36,284514,-4.20%,https://www.youtube.com/watch?v=MwpMEbgC7DA,0,0,OTHER
30,31,Незламна,ЛЮСЯ КАВА,25,281610,2.50%,https://www.youtube.com/watch?v=-ZuCAA_93wc,UA,0,0
31,,Доча,Jah Khalib,1,273170,,https://www.youtube.com/watch?v=ME-29s54CE0,0,RU,0
32,40,Погляд (feat. SOBOL),YAKTAK,7,258491,8.80%,https://www.youtube.com/watch?v=WHQygkIG8xs,UA,0,0
33,61,Зай (Shnaps Remix),Трінчер Анна Леонідівна,2,251366,45.30%,https://www.youtube.com/watch?v=e-jIn17iTIg,UA,0,0
34,32,Біля серця,KOLA,12,244756,-10.40%,https://www.youtube.com/watch?v=A3iPwFeleY8,UA,0,0
35,35,МОЯ КРАЇНА (feat. TOF),YARMAK,16,240436,-2.20%,https://www.youtube.com/watch?v=wtuVa-mOknA,UA,0,0
36,22,#КОЗАЦЬКОМУ_РОДУ,Jerry Heil,3,238601,-27.20%,https://www.youtube.com/watch?v=OhKEUfSuRws,UA,0,0
37,,Думав вона янгол,Колін,1,237171,,https://www.youtube.com/watch?v=F9mMnWcYXQ0,UA,0,0
38,44,В дорогу,Skofka,40,236249,2.80%,https://www.youtube.com/watch?v=1j4qxGVxxhg,UA,0,0
39,43,Лист до мами,BARABANDA,7,231629,-0.30%,https://www.youtube.com/watch?v=FB66mdrur5g,UA,0,0
40,45,Марiчка,PATSYKI Z FRANEKA,38,227963,0.10%,https://www.youtube.com/watch?v=rHaw1MpOIzg,UA,0,0
41,42,ЛП,Milana Hametova & Milana Star,12,227124,-2.60%,https://www.youtube.com/watch?v=eN7mWKv-TQE,0,RU,0
42,24,Меня Два,--,2,227059,-29.70%,https://www.youtube.com/watch?v=URc7JSaQzxQ,0,RU,0
43,37,Азовсталь десь там під зорями,Delamer,19,223550,-8%,https://www.youtube.com/watch?v=0jqNI9F8n-I,UA,0,0
44,50,Позвони,DJ Smash & NIVESTA,12,216567,2.50%,https://www.youtube.com/watch?v=ByVPVWCQVV8,0,RU,0
45,39,Как любовь твою понять?,JONY & ANNA ASTI,3,216423,-9.90%,https://www.youtube.com/watch?v=otKysx-M64k,0,RU,0
46,48,У мене немає дому,Один в каное,40,216347,0.40%,https://www.youtube.com/watch?v=gw2nclcoFNE,UA,0,0
47,26,Зай,Трінчер Анна Леонідівна,4,214804,-32.60%,https://www.youtube.com/watch?v=ZzvbP0dYSAI,UA,0,0
48,52,Ночью на кухне,ANNA ASTI,7,214206,6.90%,https://www.youtube.com/watch?v=zY5KWvwZ7bY,0,RU,0
49,38,Некуда бежать,NЮ,13,213806,-11.20%,https://www.youtube.com/watch?v=CdsqxF1wiMI,0,RU,0
50,49,Mockingbird,Eminem,8,212626,-0.70%,https://www.youtube.com/watch?v=S9bCLPwzSC0,0,0,OTHER
51,34,Який ти козак,Трінчер Анна Леонідівна & POSITIFF,8,209843,-15.20%,https://www.youtube.com/watch?v=abqLDv5LlHE,UA,0,0
52,63,Superman (feat. Дина Рей),Eminem,12,197919,18.40%,https://www.youtube.com/watch?v=8kYkciD9VjU,0,0,OTHER
53,51,Чисто папа,84 & Lookbuffalo,12,197676,-4.70%,https://www.youtube.com/watch?v=VzBvZYIDAWQ,0,RU,0
54,71,Last Christmas,Wham!,21,185806,22.10%,https://www.youtube.com/watch?v=E8gmARGvPlI,0,0,OTHER
55,55,ВЕДМЕДІ-БАЛАЛАЙКИ,Маша Кондратенко & MASHUKOVSKY,9,185365,-2.50%,https://www.youtube.com/watch?v=7L1Xt1y4-6I,UA,0,0
56,36,Два незнайомці,LOBODA,3,184628,-24.30%,https://www.youtube.com/watch?v=mYbi1RAr7Ok,0,RU,0
57,89,Зачекай,ОЧІ В ОЧІ,4,179111,37%,https://www.youtube.com/watch?v=fFZBJOlhJpY,UA,0,0
