Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,UA,RU,OTHER
1,1,Ластівки,Qatoshi & Chico,3,1917177,8.10%,https://www.youtube.com/watch?v=vCNmvFIFQ-I,UA,0,0
2,2,Stefania,KALUSH & Kalush Orchestra,22,1451833,-0.20%,https://www.youtube.com/watch?v=Z8Z51no1TD0,UA,0,0
3,3,думи,Артем Пивоваров & Дорофеєва Надія,5,1237212,3.40%,https://www.youtube.com/watch?v=dZzfjLPC-Rk,UA,0,0
4,4,Україна переможе!,"Олександр Валерійович Пономарьов, Михайло Хома, Тарас Тополя, --, -- & Петро Чорний",12,866784,-5.70%,https://www.youtube.com/watch?v=fRuiEv3JRDQ,UA,0,0
5,5,Цей сон (Live),Степан Гіга,5,743967,-5.20%,https://www.youtube.com/watch?v=2eqMmPBvXQo,UA,0,0
6,13,ДИКЕ ПОЛЕ (feat. Алиса),YARMAK,9,740968,39%,https://www.youtube.com/watch?v=mOOClonYKmc,UA,0,0
7,11,По барам,ANNA ASTI,4,705282,24.40%,https://www.youtube.com/watch?v=Cf2ASJCa_Iw,0,RU,0
8,7,Не забудем і не пробачим,Skofka,9,674663,1.10%,https://www.youtube.com/watch?v=b9EJWtj5ZjI,UA,0,0
9,9,Марiчка,PATSYKI Z FRANEKA,16,652109,0.60%,https://www.youtube.com/watch?v=rHaw1MpOIzg,UA,0,0
10,8,Файна (feat. Skofka),KALUSH,37,645391,-1.90%,https://www.youtube.com/watch?v=CdYDZnWTHHM,UA,0,0
11,10,ДОБРОГО ВЕЧОРА (WHERE ARE YOU FROM?),PROBASS ∆ HARDI,21,572336,-3.50%,https://www.youtube.com/watch?v=W2S_ayZ-Eso,UA,0,0
12,12,Чи разом?,KOLA,5,542048,1%,https://www.youtube.com/watch?v=lP6zTfUn3nc,UA,0,0
13,76,Гарно так,Cheev,2,511970,187.70%,https://www.youtube.com/watch?v=1gxLVS3erwM,UA,0,0
14,6,Допоможе ЗСУ,Chico & Qatoshi,10,502283,-27.30%,https://www.youtube.com/watch?v=B7BkkiytsKY,UA,0,0
15,,Пробач,SHUMEI,1,500339,,https://www.youtube.com/watch?v=pCz2kLV_pqw,UA,0,0
16,15,#МРІЯ,Jerry Heil,6,488848,2.10%,https://www.youtube.com/watch?v=YujzhGdUIFE,UA,0,0
17,,KUPALA,"alyona alyona, Jerry Heil & ela.",1,441363,,https://www.youtube.com/watch?v=CU-1ugD-ceg,UA,0,0
18,18,У мене немає дому,Один в каное,18,440683,-1.30%,https://www.youtube.com/watch?v=gw2nclcoFNE,UA,0,0
19,16,2step (feat. Lil Baby),Ed Sheeran,10,440119,-7%,https://www.youtube.com/watch?v=Z_MvkyuOJgk,0,0,OTHER
20,,Dodomu (feat. Mariia Dovgauk & Skofka),KALUSH,2,424616,,https://www.youtube.com/watch?v=dow0OD6T5PI,UA,0,0
21,37,Welcome to Ukraine,JKLN,2,419759,37.90%,https://www.youtube.com/watch?v=ujdTL9eIgPk,UA,0,0
22,22,Малиновая лада,GAYAZOV$ BROTHER$,35,417586,-2.80%,https://www.youtube.com/watch?v=TvEkldfa3T0,0,RU,0
23,19,Вишнi,Wellboy,36,417505,-5.60%,https://www.youtube.com/watch?v=X6eFKOSeICU,UA,0,0
24,20,Калуські вечорниці (feat. Tember Blanche),KALUSH,29,411032,-6.90%,https://www.youtube.com/watch?v=doSD_dKBUF4,UA,0,0
25,21,Ай-яй-яй (Дикая),Іслам Ітляшев,5,410911,-5.60%,https://www.youtube.com/watch?v=bkVc4GDpWK8,0,RU,0
26,23,Браття українці,Шабля,19,388830,-8.20%,https://www.youtube.com/watch?v=q_f2rlEsb8A,UA,0,0
27,34,Біля тополі,SHUMEI,13,388343,19.20%,https://www.youtube.com/watch?v=OdgBmb8LXKM,UA,0,0
28,17,Свой дом,Макс Корж,5,372775,-18.20%,https://www.youtube.com/watch?v=XPVIWPap7X0,0,RU,0
29,28,Крузак,Skofka,38,371864,3.80%,https://www.youtube.com/watch?v=F_7oaYzQB_c,UA,0,0
30,27,Місто весни,Океан Ельзи & Один в каное,39,346779,-3.60%,https://www.youtube.com/watch?v=pmoYP_QvGsM,UA,0,0
31,31,Хобби,ANNA ASTI & Филип Кіркоров,10,342766,-1.60%,https://www.youtube.com/watch?v=QZ4pPd8MRQ8,0,RU,0
32,50,Враже,ANGY KREYDA,2,337245,26.10%,https://www.youtube.com/watch?v=cdEEffF7_rU,UA,0,0
33,29,Рідні мої,alyona alyona & Jerry Heil,11,331295,-5.60%,https://www.youtube.com/watch?v=eZslMJsyKdw,UA,0,0
34,30,Гуси,Wellboy,45,326510,-6.90%,https://www.youtube.com/watch?v=7-5v5ltkWU4,UA,0,0
35,33,В дорогу,Skofka,18,323820,-1.50%,https://www.youtube.com/watch?v=1j4qxGVxxhg,UA,0,0
