Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,UA,RU,OTHER
1,1,Чути гімн,Skofka,9,1795354,2.90%,https://www.youtube.com/watch?v=ia50r3fa67s,UA,0,0
2,,Unholy,Sam Smith & Ким Петрас,1,1058760,,https://www.youtube.com/watch?v=Uq9gPaIzbe8,0,0,OTHER
3,2,думи,Артем Пивоваров & Дорофеєва Надія,17,997824,-7.20%,https://www.youtube.com/watch?v=dZzfjLPC-Rk,UA,0,0
4,3,Ластівки,Qatoshi & Chico,15,975191,-4.40%,https://www.youtube.com/watch?v=vCNmvFIFQ-I,UA,0,0
5,4,Вечорниці (Добрий день Everybody),100лиця & SKYLERR,11,974406,-3%,https://www.youtube.com/watch?v=qqrLTNqAfWs,UA,0,0
6,5,Ванька-Встанька,Маша Краш,11,848939,-5.80%,https://www.youtube.com/watch?v=lV9q901vS6o,UA,0,0
7,6,Stefania,KALUSH & Kalush Orchestra,34,842302,-1.70%,https://www.youtube.com/watch?v=Z8Z51no1TD0,UA,0,0
8,7,ДИКЕ ПОЛЕ (feat. Алиса),YARMAK,21,804332,2.40%,https://www.youtube.com/watch?v=mOOClonYKmc,UA,0,0
9,,Лише ти і я,Трінчер Анна Леонідівна & Voloshyn,1,772551,,https://www.youtube.com/watch?v=e2vfVcLpC70,UA,0,0
10,8,Не забудем і не пробачим,Skofka,21,726199,-5.80%,https://www.youtube.com/watch?v=b9EJWtj5ZjI,UA,0,0
11,10,По барам,ANNA ASTI,16,622056,-6.90%,https://www.youtube.com/watch?v=Cf2ASJCa_Iw,0,RU,0
12,14,Враже,ANGY KREYDA,14,596501,8.20%,https://www.youtube.com/watch?v=cdEEffF7_rU,UA,0,0
13,11,Україна переможе!,"Олександр Валерійович Пономарьов, Михайло Хома, Тарас Тополя, --, -- & Петро Чорний",24,580791,-3.10%,https://www.youtube.com/watch?v=fRuiEv3JRDQ,UA,0,0
14,15,Гарно так,Cheev,14,561170,6%,https://www.youtube.com/watch?v=1gxLVS3erwM,UA,0,0
15,13,Біля тополі,SHUMEI,25,554632,-0.40%,https://www.youtube.com/watch?v=OdgBmb8LXKM,UA,0,0
16,39,Біля серця,KOLA,2,519711,74.40%,https://www.youtube.com/watch?v=A3iPwFeleY8,UA,0,0
17,72,ЛП,Milana Hametova & Milana Star,2,498607,168.60%,https://www.youtube.com/watch?v=eN7mWKv-TQE,0,RU,0
18,9,ОЙДА,Oxxxymiron,2,483650,-27.70%,https://www.youtube.com/watch?v=pYymRbfjKv8,0,RU,0
19,12,Некуда бежать,NЮ,3,472588,-17.60%,https://www.youtube.com/watch?v=CdsqxF1wiMI,0,RU,0
20,20,POPSTAR,Instasamka,2,468649,8.40%,https://www.youtube.com/watch?v=ABNDnLv5yUY,0,RU,0
21,16,МОЯ КРАЇНА (feat. TOF),YARMAK,6,458720,-7.80%,https://www.youtube.com/watch?v=wtuVa-mOknA,UA,0,0
22,21,Чорне і біле,ZOZULYA,25,453853,5.10%,https://www.youtube.com/watch?v=he1v2LSai5U,UA,0,0
23,18,Незламна,ЛЮСЯ КАВА,15,447154,-1.30%,https://www.youtube.com/watch?v=-ZuCAA_93wc,UA,0,0
24,19,Калуські вечорниці (feat. Tember Blanche),KALUSH,41,433917,-3.10%,https://www.youtube.com/watch?v=doSD_dKBUF4,UA,0,0
25,23,інша любов,ENLEO,11,429489,5.60%,https://www.youtube.com/watch?v=0o0iK-ufovM,UA,0,0
26,24,В дорогу,Skofka,30,409286,3.90%,https://www.youtube.com/watch?v=1j4qxGVxxhg,UA,0,0
27,26,Марiчка,PATSYKI Z FRANEKA,28,374451,-0.20%,https://www.youtube.com/watch?v=rHaw1MpOIzg,UA,0,0
28,27,Welcome to Ukraine,JKLN,14,362013,-2.80%,https://www.youtube.com/watch?v=ujdTL9eIgPk,UA,0,0
29,35,Another Love,Том Оделл,26,358210,8.50%,https://www.youtube.com/watch?v=MwpMEbgC7DA,0,0,OTHER
30,28,У мене немає дому,Один в каное,30,358045,-1.60%,https://www.youtube.com/watch?v=gw2nclcoFNE,UA,0,0
31,,BUGATTI,Arut & MORGENSHTERN,2,352871,,https://www.youtube.com/watch?v=FVlSjitljSg,0,RU,0
32,17,#НЕСЕСТРИ,Jerry Heil & Людмила Шемаєва,3,348061,-23.50%,https://www.youtube.com/watch?v=paMlNnxMuGQ,UA,0,0
