Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,UA,RU,OTHER
1,4,Чути гімн,Skofka,23,1167905,16.40%,https://www.youtube.com/watch?v=ia50r3fa67s,UA,0,0
2,3,ЗА ДЕНЬГИ ДА,Instasamka,6,1136782,11.20%,https://www.youtube.com/watch?v=iZEca2A3tS4,0,RU,0
3,1,Провела екскурсію,Parfeniuk,4,1133651,0%,https://www.youtube.com/watch?v=Ryfm-7ZrL-Y,UA,0,0
4,5,Щоб не було,Дорофеєва Надія,4,1000968,4.90%,https://www.youtube.com/watch?v=024jiVWdPqA,UA,0,0
5,2,Батьківщина,Skofka & KALUSH,3,999997,-11.70%,https://www.youtube.com/watch?v=CSoCoSHyU5Y,UA,0,0
6,6,Монро,Slavik Pogosov,3,964879,3.80%,https://www.youtube.com/watch?v=62MxX43jHXs,0,RU,0
7,7,Там у тополі,Артем Пивоваров & NK,8,906682,17.80%,https://www.youtube.com/watch?v=m0u7iM6Xwxw,UA,0,0
8,16,Bloody Mary,Lady Gaga,5,830936,71.50%,https://www.youtube.com/watch?v=VFwmKL5OL-Q,0,0,OTHER
9,8,Stefania,KALUSH & Kalush Orchestra,48,771946,19%,https://www.youtube.com/watch?v=Z8Z51no1TD0,UA,0,0
10,10,"Ти щаслива будеш (Гай, зелений гай)",Dima Prokopov,5,760681,31.50%,https://www.youtube.com/watch?v=w9l7hWlRJ5w,UA,0,0
11,12,думи,Артем Пивоваров & Дорофеєва Надія,31,738956,30.40%,https://www.youtube.com/watch?v=dZzfjLPC-Rk,UA,0,0
12,13,Вечорниці (Добрий день Everybody),100лиця & SKYLERR,25,709788,27.30%,https://www.youtube.com/watch?v=qqrLTNqAfWs,UA,0,0
13,39,Чекає вдома,YAKTAK,2,688266,137.20%,https://www.youtube.com/watch?v=ed0aLnuNw_U,UA,0,0
14,14,Ластівки,Qatoshi & Chico,29,682387,24.40%,https://www.youtube.com/watch?v=vCNmvFIFQ-I,UA,0,0
15,31,Додому,Wellboy,3,665841,107.80%,https://www.youtube.com/watch?v=-BaUkgUgyEE,UA,0,0
16,9,ДИКЕ ПОЛЕ (feat. Алиса),YARMAK,35,658397,6.80%,https://www.youtube.com/watch?v=mOOClonYKmc,UA,0,0
17,15,Ой на горі,Артем Пивоваров,26,604000,24.70%,https://www.youtube.com/watch?v=vRQUhObXDGU,UA,0,0
18,17,По барам,ANNA ASTI,30,596771,26.50%,https://www.youtube.com/watch?v=Cf2ASJCa_Iw,0,RU,0
19,21,Цей сон (Live),Степан Гіга,31,573128,33.20%,https://www.youtube.com/watch?v=2eqMmPBvXQo,UA,0,0
20,20,Ванька-Встанька,Маша Краш,25,547534,25.60%,https://www.youtube.com/watch?v=lV9q901vS6o,UA,0,0
21,18,Враже,ANGY KREYDA,28,532114,18.60%,https://www.youtube.com/watch?v=cdEEffF7_rU,UA,0,0
22,19,Не забудем і не пробачим,Skofka,35,503936,13%,https://www.youtube.com/watch?v=b9EJWtj5ZjI,UA,0,0
23,11,Ты так красива,Quest Pistols,4,502352,-12.10%,https://www.youtube.com/watch?v=mYcl6p3oiCc,UA,0,0
24,27,Україна переможе!,"Олександр Валерійович Пономарьов, Михайло Хома, Тарас Тополя, --, -- & Петро Чорний",38,469132,27.50%,https://www.youtube.com/watch?v=fRuiEv3JRDQ,UA,0,0
