Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,UA,RU,OTHER
1,2,ДОБРОГО ВЕЧОРА (WHERE ARE YOU FROM?),PROBASS ∆ HARDI,6,1104174,14.80%,https://www.youtube.com/watch?v=W2S_ayZ-Eso,UA,0,0
2,3,Stefania,KALUSH & Kalush Orchestra,7,1081141,15.80%,https://www.youtube.com/watch?v=Z8Z51no1TD0,UA,0,0
3,4,Малиновая лада,GAYAZOV$ BROTHER$,20,771482,1.50%,https://www.youtube.com/watch?v=TvEkldfa3T0,0,RU,0
4,1,12,MORGENSHTERN,2,763643,-62.10%,https://www.youtube.com/watch?v=lX0TPbCSAbM,0,RU,0
5,6,Додому (feat. Skofka),KALUSH,44,721595,26.90%,https://www.youtube.com/watch?v=OF7bh0Y3vyo,UA,0,0
6,5,Oy U Luzi Chervona Kalyna (Remix) (feat. Бумбокс),The Kiffness,3,589269,-15.90%,https://www.youtube.com/watch?v=lu8m5FA2nL8,UA,0,0
7,7,Браття українці,Шабля,4,561595,-1.20%,https://www.youtube.com/watch?v=q_f2rlEsb8A,UA,0,0
8,9,Не твоя війна,Океан Ельзи,4,531683,9%,https://www.youtube.com/watch?v=eOtEC4wCA40,UA,0,0
9,10,СОЛНЦЕ МОНАКО,Люся Чеботіна,21,442865,0%,https://www.youtube.com/watch?v=sfd2xj9xtN0,0,RU,0
10,13,Диалоги тет-а-тет,ALEKS ATAMAN & FINIK,24,414423,8.40%,https://www.youtube.com/watch?v=GBs-vSwOTAE,0,RU,0
11,,Козаки йдуть,PROBASS ∆ HARDI,1,375855,,https://www.youtube.com/watch?v=ooJsW-RnSl8,UA,0,0
12,,А у олигархата,Ленінград,1,354267,,https://www.youtube.com/watch?v=8bEcmq8GPk8,0,RU,0
13,,Ой на ой,Skofka,1,350615,,https://www.youtube.com/watch?v=PcaCISyT-X0,UA,0,0
14,,Я - Україна,NK,1,347866,,https://www.youtube.com/watch?v=ofspgP0cKbE,UA,0,0
15,14,Федерико Феллини,Galibri & Mavik,44,340094,-2.50%,https://www.youtube.com/watch?v=3-STCxyZhGE,0,RU,0
16,18,Кобра,Іслам Ітляшев,16,318889,20.70%,https://www.youtube.com/watch?v=5j5OsWpWl8M,0,RU,0
17,24,Я з україни,МЕРІ,4,313464,29%,https://www.youtube.com/watch?v=IcnxI5o9Qrs,UA,0,0
18,30,У мене немає дому,Один в каное,3,305335,41.90%,https://www.youtube.com/watch?v=gw2nclcoFNE,UA,0,0
19,23,Батько наш - Бандера,Romax,4,302044,23.90%,https://www.youtube.com/watch?v=Ee-0C1kUp_g,UA,0,0
20,11,"Прощай, элита!",Ленінград,3,296238,-32.40%,https://www.youtube.com/watch?v=2WQIW7aK5Bk,0,RU,0
21,22,"Хто, як не ти?",Христина Соловій,26,292440,18.40%,https://www.youtube.com/watch?v=Lf6El9jHdGg,UA,0,0
22,16,showdown,Shadowraze,3,268556,-5.40%,https://www.youtube.com/watch?v=Oc5bIgsg1Iw,0,RU,0
23,21,Гармония,Artik & Asti,9,267071,8.10%,https://www.youtube.com/watch?v=I7-Djz-CBOY,0,RU,0
24,33,Люди,Бумбокс,4,263999,27.90%,https://www.youtube.com/watch?v=AVu5wl8U_a4,UA,0,0
25,25,Обійми,Океан Ельзи,4,259436,7.30%,https://www.youtube.com/watch?v=--Wokwe4-i0,UA,0,0
26,19,Бандерштатівські коломийки (Live),Кузьма Скрябин,4,258019,-1.40%,https://www.youtube.com/watch?v=vRYtlT5pqTE,UA,0,0
27,,Kalyna,Go_A,1,257708,,https://www.youtube.com/watch?v=5gOia6qznyQ,UA,0,0
28,35,Човен,Один в каное,9,255986,26.60%,https://www.youtube.com/watch?v=lUdbxJXBuig,UA,0,0
29,27,My ADIDAS,Minelli,48,255348,10.50%,https://www.youtube.com/watch?v=XqgYj8atJqo,0,0,OTHER
30,28,Феникс,ANNA ASTI,10,253975,12%,https://www.youtube.com/watch?v=Expq6fmXLUM,0,RU,0
31,44,Арта,Пирятин,4,253321,49.50%,https://www.youtube.com/watch?v=0YCmjyRtNEc,UA,0,0
32,31,Птичка (Ptichka),HammAli & Navai,45,249281,18.80%,https://www.youtube.com/watch?v=7T82Z7BwYfM,0,RU,0
33,15,Буде жити Україна!,Олег Винник,2,249145,-22.70%,https://www.youtube.com/watch?v=t6AyOrBYucc,UA,0,0
