Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,UA,RU,OTHER
1,1,Малиновая лада,GAYAZOV$ BROTHER$,15,1719688,12.90%,https://www.youtube.com/watch?v=TvEkldfa3T0,0,RU,0
2,,Nozzy Bossy,Wellboy,1,1554525,,https://www.youtube.com/watch?v=vs1ktEjnLP8,UA,0,0
3,2,СОЛНЦЕ МОНАКО,Люся Чеботіна,16,1236110,-5.50%,https://www.youtube.com/watch?v=sfd2xj9xtN0,0,RU,0
4,,Отпускаю,Егор Крид & МакSим,1,984926,,https://www.youtube.com/watch?v=EYVX6VVB_Vc,0,RU,0
5,3,Гармония,Artik & Asti,4,925141,-6.10%,https://www.youtube.com/watch?v=I7-Djz-CBOY,0,RU,0
6,14,Stefania,KALUSH & Kalush Orchestra,2,922497,84.90%,https://www.youtube.com/watch?v=Z8Z51no1TD0,UA,0,0
7,4,Феникс,ANNA ASTI,5,922451,-3.20%,https://www.youtube.com/watch?v=Expq6fmXLUM,0,RU,0
8,6,Зараза (Live),Григорій Лепс,17,709374,-3.60%,https://www.youtube.com/watch?v=n1Rfi8BzNOY,0,RU,0
9,8,Диалоги тет-а-тет,ALEKS ATAMAN & FINIK,19,707262,10.30%,https://www.youtube.com/watch?v=GBs-vSwOTAE,0,RU,0
10,7,Федерико Феллини,Galibri & Mavik,39,665557,-5.90%,https://www.youtube.com/watch?v=3-STCxyZhGE,0,RU,0
11,13,Додому (feat. Skofka),KALUSH,39,625097,24.40%,https://www.youtube.com/watch?v=OF7bh0Y3vyo,UA,0,0
12,9,My ADIDAS,Minelli,43,559748,-2.90%,https://www.youtube.com/watch?v=XqgYj8atJqo,0,0,OTHER
13,10,Никто,NЮ,15,511698,-9.40%,https://www.youtube.com/watch?v=MLzKepDXBc0,0,RU,0
14,12,Птичка (Ptichka),HammAli & Navai,40,501435,-5.20%,https://www.youtube.com/watch?v=7T82Z7BwYfM,0,RU,0
15,32,Материк,Артем Качер & Ані Лорак,3,494668,39.30%,https://www.youtube.com/watch?v=OB-WR2MyKmw,0,RU,0
16,11,ЗанесLo,LOBODA,10,488482,-10.10%,https://www.youtube.com/watch?v=q8ZJ-mprbnA,0,RU,0
17,15,Baby mama,Скриптоніт & Райда,35,479034,-1%,https://www.youtube.com/watch?v=eXLSBdxm_cs,0,RU,0
18,19,Родной,LOBODA,50,463732,1.60%,https://www.youtube.com/watch?v=EYtDfwfpr74,0,RU,0
19,18,Головы на завтрак,Компот,5,446080,-3.10%,https://www.youtube.com/watch?v=ymQE6qvJC_c,0,RU,0
20,17,Міраж,Артем Пивоваров,14,443901,-4.40%,https://www.youtube.com/watch?v=wRfUBcbqPsg,UA,0,0
21,36,Вишнi,Wellboy,17,423247,22.70%,https://www.youtube.com/watch?v=X6eFKOSeICU,UA,0,0
22,20,Снежинки,ALEKS ATAMAN & FINIK,10,420767,-3.20%,https://www.youtube.com/watch?v=YDWy-MumsA0,0,RU,0
23,26,Стоп музыка,Ислам Мальсуйгенов & Зульфия Чотчаева,38,404652,-1%,https://www.youtube.com/watch?v=dBAv8n-Nnyg,0,RU,0
24,24,Патрон,Miyagi & Andy Panda,46,398129,-3.60%,https://www.youtube.com/watch?v=E18h8GB98Is,0,RU,0
25,16,Хочешь,Ревва Олександр Володимирович & Клава Кока,8,397763,-17.20%,https://www.youtube.com/watch?v=MNbM4tA_MmU,0,RU,0
26,23,Потеряли пацана,Tanir,16,383774,-8.50%,https://www.youtube.com/watch?v=XyTxj7DFy_0,0,RU,0
27,27,Красное Вино,NK,39,377334,-5.10%,https://www.youtube.com/watch?v=cxx7hrnKxqg,UA,0,0
28,35,Как ты там,Kamazz,2,370797,5.40%,https://www.youtube.com/watch?v=9pDrV_OnMsA,0,RU,0
29,,В дорогу,Skofka,1,353430,,https://www.youtube.com/watch?v=1j4qxGVxxhg,UA,0,0
30,29,Marmalade (feat. Mav D),Miyagi & Andy Panda,13,348113,-8.60%,https://www.youtube.com/watch?v=ygWr2Vu28Nw,0,RU,0
31,28,99 Problems,Єгор Ракітін & KIZARU,17,341916,-10.50%,https://www.youtube.com/watch?v=LbmGZWQG6eM,0,RU,0
32,31,Americano,LOBODA,20,339094,-6.60%,https://www.youtube.com/watch?v=SqAxWiqBB2g,0,RU,0
33,38,Любовь после тебя,Artik & Asti,30,333041,-1.90%,https://www.youtube.com/watch?v=wNeCPHA8WLI,0,RU,0
34,30,Эскизы,Xcho,10,332365,-9.70%,https://www.youtube.com/watch?v=9E5YJkP8x0w,0,RU,0
35,,LIPSI HA,Instasamka,21,319064,,https://www.youtube.com/watch?v=BMdcG7m0gCo,0,RU,0
36,39,Дискотанцы,Хабиб & Galibri & Mavik,13,318714,-4%,https://www.youtube.com/watch?v=9tdpHG3M3II,0,RU,0
37,41,На часах ноль-ноль,Dabro,39,316117,-3%,https://www.youtube.com/watch?v=RK4_D2D2KZs,0,RU,0
38,46,По-другому,Лолита & Коста Лакоста,13,315839,4.50%,https://www.youtube.com/watch?v=VOLqsrDGRcM,0,RU,0
39,37,Буревестник,Miyagi & Andy Panda,6,309672,-9%,https://www.youtube.com/watch?v=cmlZhoiJljM,0,RU,0
40,22,Я никому не верю,БИ-2,2,302428,-29.10%,https://www.youtube.com/watch?v=tsbg0eiKU1I,0,RU,0
41,34,Наверно ты меня не помнишь,JONY & HammAli,16,301153,-14.50%,https://www.youtube.com/watch?v=Xl08OlVMpI0,0,RU,0
42,48,ПОШЛА ЖАРА,GAYAZOV$ BROTHER$ & Filatov & Karas,32,299915,0.80%,https://www.youtube.com/watch?v=TBRIZRD2bYE,0,RU,0
43,45,Рандеву,Артем Пивоваров,44,298790,-1.50%,https://www.youtube.com/watch?v=doM429wT_dM,UA,0,0
44,40,Холодно,Chris Yank,8,295464,-9.40%,https://www.youtube.com/watch?v=vYnisdEaPYU,0,RU,0
45,55,astral step,Shadowraze,5,292501,17.40%,https://www.youtube.com/watch?v=89yDiQ8WkNg,0,RU,0
46,43,Братик,Bittuev,22,285646,-9.30%,https://www.youtube.com/watch?v=wD3-6EP48x8,0,RU,0
47,49,ЛА ЛА ЛА,Клава Кока,17,285030,-2.90%,https://www.youtube.com/watch?v=X4j8xUiOOwM,0,RU,0
48,33,ПОЧЕМУ?,MORGENSHTERN,5,276962,-22%,https://www.youtube.com/watch?v=2IGwkJDcIk8,0,RU,0
49,51,Седьмой лепесток,Антон Токарев,3,275972,-2.90%,https://www.youtube.com/watch?v=xiyrXO2j08E,0,RU,0
50,44,Барбисайз,дора & МЭЙБИ БЭЙБИ,8,274585,-12.50%,https://www.youtube.com/watch?v=UBsVaSjgTIs,0,RU,0
51,42,"Боже, как завидую","HammAli, Navai & Jah Khalib",14,271716,-13.80%,https://www.youtube.com/watch?v=Dxc5BVV7kzs,0,RU,0
52,50,Вот такой пацан,TalanT,5,266871,-6.60%,https://www.youtube.com/watch?v=JUjIxGqiP5o,0,RU,0
53,53,Выпей меня,Kambulat,2,265110,-4%,https://www.youtube.com/watch?v=eZK5Lsoawck,0,RU,0
54,64,Калуські вечорниці (feat. Tember Blanche),KALUSH,9,263517,22.40%,https://www.youtube.com/watch?v=doSD_dKBUF4,UA,0,0
55,59,За всех,MACAN,2,262117,13%,https://www.youtube.com/watch?v=q2s2KyqwoHs,0,RU,0
56,,Давай начистоту (feat. Skofka),KALUSH,22,250805,,https://www.youtube.com/watch?v=sr-GqKwhihE,UA,0,0
57,47,Три Дня Любви,ZIVERT,7,246566,-17.30%,https://www.youtube.com/watch?v=Fag3P9D1IPM,0,RU,0
58,21,#ПОШТА,Jerry Heil,2,233165,-46.20%,https://www.youtube.com/watch?v=-tQueWDJTvk,UA,0,0
59,57,Sonyachna (feat. Сальто Назад & Skofka),KALUSH,3,232621,-5%,https://www.youtube.com/watch?v=WConm-ljSew,UA,0,0
60,,Angels,Niletto,1,227885,,https://www.youtube.com/watch?v=E0ygYKo7ysU,0,RU,0
61,,Файна (feat. Skofka),KALUSH,21,227347,,https://www.youtube.com/watch?v=CdYDZnWTHHM,UA,0,0
62,,ДОБРОГО ВЕЧОРА (WHERE ARE YOU FROM?),PROBASS ∆ HARDI,1,225410,,https://www.youtube.com/watch?v=W2S_ayZ-Eso,UA,0,0
63,,Летит патруль,RAIKAHO,1,219502,,https://www.youtube.com/watch?v=emGsOlB7NY8,0,RU,0
64,77,Тіні Забутих Предків (Live),Alina Pash,2,211896,15.60%,https://www.youtube.com/watch?v=rz6aQLKyBHc,UA,0,0
65,,Є пропозиція,Андрій Михайлович Данилко,1,211038,,https://www.youtube.com/watch?v=YvCt5d1kWNM,UA,0,0
66,67,Я твоя не первая,Дорофеєва Надія,12,210309,1.20%,https://www.youtube.com/watch?v=EIzNGs_djv0,UA,0,0
67,,первое свидание,Альона Швець,1,209778,,https://www.youtube.com/watch?v=zkyop2jy8ak,0,RU,0
68,56,Плакала,Льоша Свік,6,205552,-16.10%,https://www.youtube.com/watch?v=avgGSm1ofAw,0,RU,0
69,60,Bandana,Єгор Ракітін & KIZARU,17,203441,-9.40%,https://www.youtube.com/watch?v=0j6ABOp_6nc,0,RU,0
70,61,UP,INNA,9,201688,-7.20%,https://www.youtube.com/watch?v=8Fl6d_fSRNs,0,0,OTHER
71,63,Между нами ничего нет,Mujeva,9,199560,-7.40%,https://www.youtube.com/watch?v=3seMPxY9TKI,0,RU,0
72,54,Enemy (feat. JID),Imagine Dragons,14,197941,-27.80%,https://www.youtube.com/watch?v=D9G1VOjN_84,0,0,OTHER
