Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,UA,RU,OTHER
1,1,Ластівки,Qatoshi & Chico,5,1685189,-10%,https://www.youtube.com/watch?v=vCNmvFIFQ-I,UA,0,0
2,2,Stefania,KALUSH & Kalush Orchestra,24,1369467,-8.90%,https://www.youtube.com/watch?v=Z8Z51no1TD0,UA,0,0
3,3,думи,Артем Пивоваров & Дорофеєва Надія,7,1335739,-3.40%,https://www.youtube.com/watch?v=dZzfjLPC-Rk,UA,0,0
4,,Вечорниці (Добрий день Everybody),100лиця & SKYLERR,1,1060164,,https://www.youtube.com/watch?v=qqrLTNqAfWs,UA,0,0
5,5,KUPALA,"alyona alyona, Jerry Heil & ela.",3,943532,-28.60%,https://www.youtube.com/watch?v=CU-1ugD-ceg,UA,0,0
6,8,Гарно так,Cheev,4,792423,1%,https://www.youtube.com/watch?v=1gxLVS3erwM,UA,0,0
7,9,ДИКЕ ПОЛЕ (feat. Алиса),YARMAK,11,785824,5.60%,https://www.youtube.com/watch?v=mOOClonYKmc,UA,0,0
8,6,Україна переможе!,"Олександр Валерійович Пономарьов, Михайло Хома, Тарас Тополя, --, -- & Петро Чорний",14,759573,-11.80%,https://www.youtube.com/watch?v=fRuiEv3JRDQ,UA,0,0
9,10,По барам,ANNA ASTI,6,697744,-1.30%,https://www.youtube.com/watch?v=Cf2ASJCa_Iw,0,RU,0
10,11,Марiчка,PATSYKI Z FRANEKA,18,646976,-5.90%,https://www.youtube.com/watch?v=rHaw1MpOIzg,UA,0,0
11,12,Не забудем і не пробачим,Skofka,11,635703,-7.40%,https://www.youtube.com/watch?v=b9EJWtj5ZjI,UA,0,0
12,,Ванька-Встанька,Маша Краш,1,633242,,https://www.youtube.com/watch?v=lV9q901vS6o,UA,0,0
13,18,Добрий день Everybody (feat. VASIA CHARISMA),Мюслі UA,2,601250,12.20%,https://www.youtube.com/watch?v=mfkiyoY8WRk,UA,0,0
14,14,Файна (feat. Skofka),KALUSH,39,573622,-6.70%,https://www.youtube.com/watch?v=CdYDZnWTHHM,UA,0,0
15,7,Ой на горі,Артем Пивоваров,2,563100,-32.50%,https://www.youtube.com/watch?v=vRQUhObXDGU,UA,0,0
16,13,Цей сон (Live),Степан Гіга,7,543054,-16%,https://www.youtube.com/watch?v=2eqMmPBvXQo,UA,0,0
17,20,Welcome to Ukraine,JKLN,4,538925,3.80%,https://www.youtube.com/watch?v=ujdTL9eIgPk,UA,0,0
18,63,Ти робив мені каву,Трінчер Анна Леонідівна & MBreeze,2,533327,118.50%,https://www.youtube.com/watch?v=9Q7kfx5HS2c,UA,0,0
19,17,Чи разом?,KOLA,7,519887,-5.50%,https://www.youtube.com/watch?v=lP6zTfUn3nc,UA,0,0
20,21,У мене немає дому,Один в каное,20,512364,1.90%,https://www.youtube.com/watch?v=gw2nclcoFNE,UA,0,0
21,19,ДОБРОГО ВЕЧОРА (WHERE ARE YOU FROM?),PROBASS ∆ HARDI,23,484621,-8.70%,https://www.youtube.com/watch?v=W2S_ayZ-Eso,UA,0,0
22,24,Біля тополі,SHUMEI,15,476737,6.50%,https://www.youtube.com/watch?v=OdgBmb8LXKM,UA,0,0
23,,інша любов,ENLEO,1,461992,,https://www.youtube.com/watch?v=0o0iK-ufovM,UA,0,0
24,31,Враже,ANGY KREYDA,4,443102,12.50%,https://www.youtube.com/watch?v=cdEEffF7_rU,UA,0,0
25,28,Калуські вечорниці (feat. Tember Blanche),KALUSH,31,440319,6%,https://www.youtube.com/watch?v=doSD_dKBUF4,UA,0,0
26,32,Чорне і біле,ZOZULYA,15,409085,4.20%,https://www.youtube.com/watch?v=he1v2LSai5U,UA,0,0
27,,Ворогів на ножі,Wellboy,1,404855,,https://www.youtube.com/watch?v=nQ-7ZLX3oyM,UA,0,0
28,22,#МРІЯ,Jerry Heil,8,396588,-15.70%,https://www.youtube.com/watch?v=YujzhGdUIFE,UA,0,0
29,47,Шёлковая простынь,O.G EzzY,2,391023,27.40%,https://www.youtube.com/watch?v=bVHhx7Y5EUQ,0,RU,0
30,25,Допоможе ЗСУ,Chico & Qatoshi,12,390732,-11.60%,https://www.youtube.com/watch?v=B7BkkiytsKY,UA,0,0
31,27,Вишнi,Wellboy,38,385440,-8.80%,https://www.youtube.com/watch?v=X6eFKOSeICU,UA,0,0
32,29,Малиновая лада,GAYAZOV$ BROTHER$,37,382953,-7.30%,https://www.youtube.com/watch?v=TvEkldfa3T0,0,RU,0
33,26,2step (feat. Lil Baby),Ed Sheeran,12,380282,-10.70%,https://www.youtube.com/watch?v=Z_MvkyuOJgk,0,0,OTHER
34,30,Ай-яй-яй (Дикая),Іслам Ітляшев,7,376671,-8.20%,https://www.youtube.com/watch?v=bkVc4GDpWK8,0,RU,0
35,33,Браття українці,Шабля,21,366171,-5.40%,https://www.youtube.com/watch?v=q_f2rlEsb8A,UA,0,0
36,36,Крузак,Skofka,40,351378,-1.60%,https://www.youtube.com/watch?v=F_7oaYzQB_c,UA,0,0
37,23,Пробач,SHUMEI,3,348594,-22.70%,https://www.youtube.com/watch?v=pCz2kLV_pqw,UA,0,0
38,34,Місто весни,Океан Ельзи & Один в каное,41,348480,-5.40%,https://www.youtube.com/watch?v=pmoYP_QvGsM,UA,0,0
39,,MONEYKEN LOVE,Instasamka,1,334974,,https://www.youtube.com/watch?v=VrbVxtx7TFc,0,RU,0
40,35,Гуси,Wellboy,47,317452,-12.30%,https://www.youtube.com/watch?v=7-5v5ltkWU4,UA,0,0
41,38,Гори (feat. alyona alyona),KALUSH,30,308027,-4.90%,https://www.youtube.com/watch?v=tXJ2-PgeLVg,UA,0,0
42,41,Тіпок,KALUSH,10,304494,-4.10%,https://www.youtube.com/watch?v=lyEgjIts-wc,UA,0,0
43,42,Незламна,ЛЮСЯ КАВА,5,304269,-3%,https://www.youtube.com/watch?v=-ZuCAA_93wc,UA,0,0
44,44,Ой на ой,Skofka,18,303427,-2.10%,https://www.youtube.com/watch?v=PcaCISyT-X0,UA,0,0
45,37,Міраж,Артем Пивоваров,28,299404,-8.50%,https://www.youtube.com/watch?v=wRfUBcbqPsg,UA,0,0
46,,After Dark Slowed,Hà Lê,11,298583,,https://www.youtube.com/watch?v=VAtuQj19T2k,0,0,OTHER
47,15,DALEKO,MORGENSHTERN & Aarne,2,295961,-49.70%,https://www.youtube.com/watch?v=e5Vr2PHFehg,0,RU,0
48,39,СОЛНЦЕ МОНАКО,Люся Чеботіна,38,293301,-9.10%,https://www.youtube.com/watch?v=sfd2xj9xtN0,0,RU,0
49,53,Не залишай,Трінчер Анна Леонідівна,13,293061,8.20%,https://www.youtube.com/watch?v=_kGN2OJ7BHA,UA,0,0
50,43,Хобби,ANNA ASTI & Филип Кіркоров,12,288069,-7.40%,https://www.youtube.com/watch?v=QZ4pPd8MRQ8,0,RU,0
51,46,Свой дом,Макс Корж,7,287766,-6.40%,https://www.youtube.com/watch?v=XPVIWPap7X0,0,RU,0
52,40,В дорогу,Skofka,20,285278,-11.20%,https://www.youtube.com/watch?v=1j4qxGVxxhg,UA,0,0
53,50,VasЯ OMG,PATSYKI Z FRANEKA,3,284418,0.60%,https://www.youtube.com/watch?v=OC62zWk28QA,UA,0,0
54,72,Sweater Weather,The Neighbourhood,9,281289,37.70%,https://www.youtube.com/watch?v=GCdwKhTtNNw,0,0,OTHER
55,45,Рідні мої,alyona alyona & Jerry Heil,13,271794,-12%,https://www.youtube.com/watch?v=eZslMJsyKdw,UA,0,0
56,51,Соколи,Mirami,15,266291,-5.30%,https://www.youtube.com/watch?v=TMuKsFeqFv4,UA,0,0
57,,Береги её,Макс Корж,1,264678,,https://www.youtube.com/watch?v=nW2GDjXxKoU,0,RU,0
58,60,Oy U Luzi Chervona Kalyna (Remix) (feat. Бумбокс),The Kiffness,20,259648,4.90%,https://www.youtube.com/watch?v=lu8m5FA2nL8,UA,0,0
59,61,Суета,V $ X V PRiNCE,8,249205,1.80%,https://www.youtube.com/watch?v=JJ9y3aWBaxw,0,RU,0
60,59,А лето цвета,Юрій Шатунов,5,245675,-2.80%,https://www.youtube.com/watch?v=-7MW3hc33cI,0,RU,0
61,56,"Вова, їбаш їх блять",Мюслі UA,16,238413,-9.80%,https://www.youtube.com/watch?v=64qSNiUmaAk,UA,0,0
62,54,Козаки йдуть,PROBASS ∆ HARDI,18,235968,-11.50%,https://www.youtube.com/watch?v=ooJsW-RnSl8,UA,0,0
63,65,Геть з України,LAZANOVSKYI I RIDNYI,2,225589,-0.60%,https://www.youtube.com/watch?v=m_9feagdxkQ,UA,0,0
64,75,Спи собі сама,Кузьма Скрябин,16,224585,16.40%,https://www.youtube.com/watch?v=eiobemTEDU8,UA,0,0
