Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,UA,RU,OTHER
1,,Україна переможе!,"Олександр Валерійович Пономарьов, Михайло Хома, Тарас Тополя, --, -- & Петро Чорний",1,2311416,,https://www.youtube.com/watch?v=fRuiEv3JRDQ,UA,0,0
2,7,#МОСКАЛЬ_НЕКРАСІВИЙ (ГЕТЬ З УКРАЇНИ) (feat. Андрій Михайлович Данилко),Jerry Heil,2,1624609,61.70%,https://www.youtube.com/watch?v=s8-h21rk0Co,UA,0,0
3,4,Додому (feat. Skofka),KALUSH,48,1465662,21.30%,https://www.youtube.com/watch?v=OF7bh0Y3vyo,UA,0,0
4,2,Ой у лузі червона калина (Live),Наталія Могилевська,3,1323256,-20.10%,https://www.youtube.com/watch?v=EV_vT0Vud5Q,UA,0,0
5,6,Stefania,KALUSH & Kalush Orchestra,11,1045417,-2.10%,https://www.youtube.com/watch?v=Z8Z51no1TD0,UA,0,0
6,5,ДОБРОГО ВЕЧОРА (WHERE ARE YOU FROM?),PROBASS ∆ HARDI,10,1027014,-8.30%,https://www.youtube.com/watch?v=W2S_ayZ-Eso,UA,0,0
7,3,Розстріляна весна (БУЧА),Ірина Федишин,2,725771,-44.50%,https://www.youtube.com/watch?v=42m6YNW5XAQ,UA,0,0
8,11,У мене немає дому,Один в каное,7,637727,9.80%,https://www.youtube.com/watch?v=gw2nclcoFNE,UA,0,0
9,10,"Вова, їбаш їх блять",Мюслі UA,3,619673,-16.80%,https://www.youtube.com/watch?v=64qSNiUmaAk,UA,0,0
10,12,Малиновая лада,GAYAZOV$ BROTHER$,24,568928,-0.60%,https://www.youtube.com/watch?v=TvEkldfa3T0,0,RU,0
11,13,Браття українці,Шабля,8,564341,2.20%,https://www.youtube.com/watch?v=q_f2rlEsb8A,UA,0,0
12,14,Козаки йдуть,PROBASS ∆ HARDI,5,495356,0%,https://www.youtube.com/watch?v=ooJsW-RnSl8,UA,0,0
13,15,Буде весна,Макс Барських,6,492639,0.60%,https://www.youtube.com/watch?v=6CrwyBT7MiU,UA,0,0
14,20,Як ти?,The Hardkiss,2,485290,27.60%,https://www.youtube.com/watch?v=0P8QJ-x68PI,UA,0,0
15,1,Hey Hey Rise Up (feat. Andriy Khlyvnyuk),Pink Floyd,3,477430,-71.20%,https://www.youtube.com/watch?v=saEpkcVi1d4,UA,0,0
16,16,Українська лють,Христина Соловій,4,442161,-6.80%,https://www.youtube.com/watch?v=PqVCQEthhOU,UA,0,0
17,8,Селяви,MORGENSHTERN,2,414232,-55.10%,https://www.youtube.com/watch?v=zdUIpi3WC5s,0,RU,0
18,31,Гуси,Wellboy,34,402018,31.30%,https://www.youtube.com/watch?v=7-5v5ltkWU4,UA,0,0
19,25,Батько наш - Бандера,Romax,8,389721,7.40%,https://www.youtube.com/watch?v=Ee-0C1kUp_g,UA,0,0
20,21,Диалоги тет-а-тет,ALEKS ATAMAN & FINIK,28,381656,1.80%,https://www.youtube.com/watch?v=GBs-vSwOTAE,0,RU,0
21,9,Oy U Luzi Chervona Kalyna (Remix) (feat. Бумбокс),The Kiffness,7,377998,-55%,https://www.youtube.com/watch?v=lu8m5FA2nL8,UA,0,0
22,18,Не твоя війна,Океан Ельзи,8,376322,-7.40%,https://www.youtube.com/watch?v=eOtEC4wCA40,UA,0,0
23,19,СОЛНЦЕ МОНАКО,Люся Чеботіна,25,375918,-3.50%,https://www.youtube.com/watch?v=sfd2xj9xtN0,0,RU,0
24,28,Місто весни,Океан Ельзи & Один в каное,28,362686,9.10%,https://www.youtube.com/watch?v=pmoYP_QvGsM,UA,0,0
25,22,Ой на ой,Skofka,5,356760,-4.30%,https://www.youtube.com/watch?v=PcaCISyT-X0,UA,0,0
26,39,"Русский военный корабль, иди нахуй!",Bakun,3,345692,33.70%,https://www.youtube.com/watch?v=n6OT79TGqqA,UA,0,0
27,32,Біля тополі,SHUMEI,2,333314,10.50%,https://www.youtube.com/watch?v=OdgBmb8LXKM,UA,0,0
28,,Поколение z,Ногу звело!,1,332533,,https://www.youtube.com/watch?v=_HNyl-Thqik,0,RU,0
29,29,Люди,Бумбокс,8,324903,-1.60%,https://www.youtube.com/watch?v=AVu5wl8U_a4,UA,0,0
30,,Чорнобаївка,Діти Фрістайла,1,324550,,https://www.youtube.com/watch?v=qpL8kmigodA,UA,0,0
31,27,Федерико Феллини,Galibri & Mavik,48,323175,-3.90%,https://www.youtube.com/watch?v=3-STCxyZhGE,0,RU,0
32,33,Човен,Один в каное,13,301562,3.50%,https://www.youtube.com/watch?v=lUdbxJXBuig,UA,0,0
33,37,Калуські вечорниці (feat. Tember Blanche),KALUSH,18,297356,10.60%,https://www.youtube.com/watch?v=doSD_dKBUF4,UA,0,0
34,43,Вишнi,Wellboy,25,289591,17.40%,https://www.youtube.com/watch?v=X6eFKOSeICU,UA,0,0
35,52,Руський корабль,BURLA,2,285863,28.10%,https://www.youtube.com/watch?v=JpqPtmn9BA4,UA,0,0
36,38,Кобра,Іслам Ітляшев,20,281926,5%,https://www.youtube.com/watch?v=5j5OsWpWl8M,0,RU,0
37,40,My ADIDAS,Filatov & Karas & Minelli,52,280154,10.50%,https://www.youtube.com/watch?v=XqgYj8atJqo,0,RU,0
38,34,Непереможна Україна,"Дмитро Яремчук, Михайло Грицкан, Віктор Франкович Павлік, Іво Бобул, Оксана Білозір,  Ірина Білик, Aurica Rotaru, Ірина Зінковська, Катерина Бужинська, Павло Зібров, Назарій ЯРЕМЧУК молодший, Петро Чорний, --, Оксана Пекун, Тетяна Піскарьова, Ольга СУМСЬКА, Наталія Бучинська, Гарік Кричевський & Володимир Будейчук",2,278675,-3.20%,https://www.youtube.com/watch?v=aRSlCW3OlkM,UA,0,0
39,41,Птичка (Ptichka),HammAli & Navai,49,267966,6.40%,https://www.youtube.com/watch?v=7T82Z7BwYfM,0,RU,0
40,,Файна (feat. Skofka),KALUSH,26,265832,,https://www.youtube.com/watch?v=CdYDZnWTHHM,UA,0,0
41,58,В дорогу,Skofka,7,262791,22%,https://www.youtube.com/watch?v=1j4qxGVxxhg,UA,0,0
42,35,Putin,Cypis,8,260352,-8.20%,https://www.youtube.com/watch?v=dBqBJ6C5Mkw,0,0,OTHER
43,36,"Хто, як не ти?",Христина Соловій,30,258725,-6.60%,https://www.youtube.com/watch?v=Lf6El9jHdGg,UA,0,0
44,46,RAVE,Dxrk ダーク,2,258514,9.40%,https://www.youtube.com/watch?v=PTZgxW_3LIQ,0,0,OTHER
45,,Ми будем стояти,Наталія Могилевська,1,253227,,https://www.youtube.com/watch?v=7durKpMCTWA,UA,0,0
46,26,12,MORGENSHTERN,6,252604,-28.50%,https://www.youtube.com/watch?v=lX0TPbCSAbM,0,RU,0
47,48,Давай начистоту (feat. Skofka),KALUSH,30,249622,8.60%,https://www.youtube.com/watch?v=sr-GqKwhihE,UA,0,0
48,45,Another Love,Том Оделл,14,244152,1.10%,https://www.youtube.com/watch?v=MwpMEbgC7DA,0,0,OTHER
49,93,Чому?,"Олександр Валерійович Пономарьов, DZIDZIO, Артем Пивоваров & Алєксєєв Микита Володимирович",24,242845,66.70%,https://www.youtube.com/watch?v=dBIp-Zdu6PI,UA,0,0
