rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
1,spotify:track:2uNrriUaePhbbmsXT8HQJU,INSTASAMKA,POPSTAR,NaMneCash Music,1,-1,1,189319,0,RU,0
2,spotify:track:4Yzlz45QgjUKZmN2KrK4AP,Skofka,Чути гімн,Columbia Local,1,1,8,137881,UA,0,0
3,spotify:track:4oHEJ5KPf9hW1pDyQYIRIw,"Aarne, BUSHIDO ZHO, ANIKV",Тесно,AA Team,1,2,7,120492,0,RU,0
4,spotify:track:6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Kordhell,3,3,23,119236,0,0,OTHER
5,spotify:track:21LIoC4ZxT3F8xq9gidNbX,xxxmanera,Never Broke Again,steezy,1,5,14,109975,0,RU,0
6,spotify:track:5Sk39LuvdwuvL84jD01Dum,"MUPP, Sadfriendd",vendetta!,Sadfriendd x MUPP,3,8,17,105710,0,RU,0
7,spotify:track:7kKTYTHULdERuHGCkVyLVD,"KALUSH, Skofka",Додому (feat. Skofka),Columbia Local,2,6,65,102179,UA,0,0
8,spotify:track:5ZNmRNEc0i3o8sP9NKqsvQ,jockii druce,боі стули пельку,3761125 Records DK,2,4,7,99004,UA,0,0
9,spotify:track:3pzr7iKQpV9QjLGcLcd2ic,"uglystephan, Scally Milano",Заберу,Mansion Music,1,7,8,98208,0,RU,0
10,spotify:track:24s8SuDR01re1GxkELG7d0,ENLEO,інша любов,SADNESS RCRDS,6,9,10,90508,UA,0,0
11,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,10,10,19,86910,0,0,OTHER
12,spotify:track:3Hff4mCaUFKzrq05w78tEn,Clonnex,Ya Lyublyu,CLONNEX,6,11,5,85465,UA,0,0
13,spotify:track:01kfSdF9zfcDLri5sSWEoL,Dxrk ダーク,RAVE,Dxrk,5,12,25,84695,0,0,OTHER
14,spotify:track:0wGbyS1tExQSwOYu6UceyE,"ONIMXRU, SMITHMANE",SHADOW,ONIMXRU x SMITHMANE,14,15,6,84230,0,RU,0
15,spotify:track:0vLdm3rMRElZDkxtzDHepr,Oxxxymiron,ОЙДА,Oxxxymiron,15,-1,1,82876,0,RU,0
16,spotify:track:2WzAAerBvZvvFXgUpSwHZ9,"PLAYAMANE, Nateki",MIDNIGHT,PLAYAMANE,6,14,19,81599,0,0,OTHER
17,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,14,18,53,78308,0,0,OTHER
18,spotify:track:2vHzOWRKYPLu8umRPIFuOq,"KALUSH, Kalush Orchestra",Stefania (Kalush Orchestra),Columbia Local,1,16,32,77515,UA,0,0
19,spotify:track:3EkGH0yreaWUFAXBil8rmH,"KALUSH, Skofka",Файна (feat. Skofka),Columbia Local,13,13,29,76676,UA,0,0
20,spotify:track:7IRfUFRIarTp8a8Yxa83Nl,KOLA,Чи разом?,BEST MUSIC,13,21,16,75039,UA,0,0
21,spotify:track:5mGns7qagKDzP4L2YC5ea2,"Chico, Qatoshi",Допоможе ЗСУ,Naprocente music,5,17,21,73685,UA,0,0
22,spotify:track:7gRFDGEzF9UkBV233yv2dc,BLACKPINK,Shut Down,YG Entertainment/Interscope Records,22,-1,1,73325,0,0,OTHER
23,spotify:track:0iUrxveyNUBfj0cqjYEijt,MoonDeity,NEON BLADE,MoonDeity,14,19,16,72362,0,0,OTHER
24,spotify:track:6KQz9Xgc82clHGWzGUA5xw,БРЕДИШЬ,Социум,Союз Мьюзик,24,26,2,71129,0,RU,0
25,spotify:track:5CYeR5CKXHYsiTQclSp7rw,Clonnex,Codeinoslav,CLONNEX,10,24,9,70127,UA,0,0
26,spotify:track:64Qnw6jO2dnkjV9una5peq,"100лиця, SKYLERR",Вечорниці - Добрий день Everybody,Moon Vinyl s.r.o.,19,23,10,69608,UA,0,0
27,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,27,38,103,68704,0,0,OTHER
28,spotify:track:0zCgWGmDF0aih5qexATyBn,Mr.Kitty,After Dark,Juggernaut Music Group,12,29,100,68014,0,0,OTHER
29,spotify:track:489WGIBYPf4nallnJOHpK6,"Chico, Qatoshi",Ластівки,Naprocente music,7,22,14,67568,UA,0,0
30,spotify:track:4jvw60Iw8LpSRJwy1sOmoB,Шайни,Yeyo!,Mansion Music,7,25,32,67057,0,RU,0
31,spotify:track:5zwwW9Oq7ubSxoCGyW1nbY,BLACKPINK,Pink Venom,YG Entertainment/Interscope Records,17,44,5,66965,0,0,OTHER
32,spotify:track:2ksyzVfU0WJoBpu8otr4pz,INTERWORLD,METAMORPHOSIS,INTERWORLD,32,49,10,66494,0,0,OTHER
33,spotify:track:6keRNvHKCOhmySQa1jCX8P,"KALUSH, Tember Blanche",Калуські вечорниці (feat. Tember Blanche),Columbia Local,5,28,40,65302,UA,0,0
34,spotify:track:3MqaB8TndvgRZ1QSQXH7J7,SHUMEI,Біля тополі,Art Sound Media,25,31,12,64835,UA,0,0
35,spotify:track:2DHX9faMGUQQTwD1Ot4ch2,INSTASAMKA,MONEYKEN LOVE,NaMneCash Music,5,40,11,64742,0,RU,0
36,spotify:track:1x8o2E70kQnWm6pHW5ApOw,uglystephan archive,ahh,Mansion Music,10,41,10,64624,0,RU,0
37,spotify:track:4ikCWgaaGLKgb724CUNnqZ,Кореш,глаза не врут,cplus,3,30,17,64484,0,RU,0
38,spotify:track:3NjAwkM75GH3cvfV9zRtv8,BUSHIDO ZHO,vodila,cplus,1,27,12,62656,0,RU,0
39,spotify:track:6CgFrA9qNPFMlnL40LQ8qJ,Clonnex,Dripoholic,CLONNEX,39,52,5,62561,UA,0,0
40,spotify:track:7g9brrz6mR8dm1kwYFwnRx,"YARMAK, ALISA",ДИКЕ ПОЛЕ,Yarmak music,35,35,17,61281,UA,0,0
41,spotify:track:6KvQKU21c1ZGEoOajKfim0,Skofka,Не забудем і не пробачим,Columbia Local,34,39,13,60615,UA,0,0
42,spotify:track:0fLampmh4qsOLGitXM171a,PLOHOYPAREN,Таблетка,И.С.Б,26,33,34,60529,0,RU,0
43,spotify:track:2kWuVqpxPnj131Z53vxF98,"alyona alyona, Jerry Heil, ela.",KUPALA,Columbia Local,4,32,11,59029,UA,0,0
44,spotify:track:7wdwIaXUuzlu1grzWMFRJm,Ghost,Mary On A Cross,UME - Global Clearing House,34,34,6,58185,0,0,OTHER
45,spotify:track:48fzAdCxamFYCHNXXLk6zn,shadowraze,showdown,Союз Мьюзик,1,36,29,57996,0,RU,0
46,spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,45,45,9,56941,0,0,OTHER
47,spotify:track:5BvKkMNYoZYYeTGVFhjlRv,Jerry Heil,Кохайтеся Чорнобриві,Universal Music Polska Sp. Z.o.o (Ukraine Distribution Deals),30,51,6,56333,UA,0,0
48,spotify:track:1xHs6PLjlvqihewyitoP3A,Wellboy,Вишнi,Юрий Бардаш,18,43,31,56084,UA,0,0
49,spotify:track:4MQmxIxM5CXKjdq4IrCWhd,SadSvit,Касета,Independent,22,71,23,55760,UA,0,0
50,spotify:track:11EG8OCCFflxDVkVXQF2p7,анастимоза,Проси пробачення,анастимоза,47,47,3,54349,UA,0,0
51,spotify:track:73HVRUpTeY48oFcc1RMfVs,Skofka,Ой на ой,Columbia Local,41,42,9,54009,UA,0,0
52,spotify:track:3CLSHJv5aUROAN2vfOyCOh,DVRST,Close Eyes,DVRST,6,48,67,53993,0,RU,0
53,spotify:track:4rirIXfDRE3G9buCYVuk2V,ScurtDae,Back to Life (Birthdae),Too Lost,37,37,5,53307,0,0,OTHER
54,spotify:track:5TK74MJYRmwU5NIAjGRvRq,"Scally Milano, uglystephan",Я хочу тебя трахать,AMC MUSIC,27,50,25,53151,0,RU,0
55,spotify:track:0VGLb6IeeG5ZqonN5EavDu,КАКАЯ РАЗНИЦА,Рассвет,Какая Разница,29,59,40,52601,0,RU,0
56,spotify:track:3bKxhUuoRvSRwIdyZfQa3F,"Artem Pivovarov, DOROFEEVA",Думи,MOЗGI Entertainment,51,54,16,49949,UA,0,0
57,spotify:track:6CAdXhq9d2XqtNaIsHDiQm,хейтспіч,Я вб'ю всіх богів,хейтспіч,57,57,3,48877,UA,0,0
58,spotify:track:42loxtj7bufLsPgZSl47I9,H8.HOOD,PHANTOM,H8.HOOD,16,46,8,48728,0,RU,0
