rank,track_name,artist_names,streams,URL,,,,UA,RU,OTHER
1,showdown,shadowraze,221582,https://open.spotify.com/track/48fzAdCxamFYCHNXXLk6zn,,,,0,RU,0
2,astral step,shadowraze,138071,https://open.spotify.com/track/47iHvzU9Po0e6raFlgLBOF,,,,0,RU,0
3,12,MORGENSHTERN,112908,https://open.spotify.com/track/2B9N1fCinwxEo89GcDGB5I,,,,0,RU,0
4,Stefania (Kalush Orchestra),KALUSH,112466,https://open.spotify.com/track/2vHzOWRKYPLu8umRPIFuOq,,,,UA,0,0
5,adaptive strike,shadowraze,91912,https://open.spotify.com/track/5jXocrsUwpKwWyI5BZLKFA,,,,0,RU,0
6,Лёд,WENARO,87394,https://open.spotify.com/track/7D8k995g6jdie4NF1E7Tpu,,,,0,RU,0
7,Putin,Cypis,83761,https://open.spotify.com/track/3lCZxajTCSYR5OnHPEfa2v,,,,0,0,OTHER
8,never enough,zxcursed,79648,https://open.spotify.com/track/48jRCynldeK3WQbvd3jr73,,,,0,RU,0
9,Додому (feat. Skofka),KALUSH,78757,https://open.spotify.com/track/7kKTYTHULdERuHGCkVyLVD,,,,UA,0,0
10,shadowfiend,shadowraze,73817,https://open.spotify.com/track/0xEET0hVtwAEI5iVMWmD5C,,,,0,RU,0
11,Фотографирую закат,fem.love,72567,https://open.spotify.com/track/1ghdJUMhmLEpUitNwyNMWH,,,,0,RU,0
12,ярче звёзд,ПОЛМАТЕРИ,72420,https://open.spotify.com/track/4CK9NEdPWB6rJ8N6BU20pN,,,,0,RU,0
13,шо ви браття,jockii druce,72273,https://open.spotify.com/track/0cCXLN9eUn6dmAgDPpZaJV,,,,UA,0,0
14,ЛАБИРИНТ,FACE,71944,https://open.spotify.com/track/7biChppM3c8q7qcVl7ceb2,,,,0,RU,0
15,juggernaut (Prod. by PLVSTIC),shadowraze,70785,https://open.spotify.com/track/57V0VhEg1CAkPXeaCLikNW,,,,0,RU,0
16,Халливуд Хоус,PHARAOH,68872,https://open.spotify.com/track/24OKb78jzb0IEUKlNWnfcR,,,,0,RU,0
17,Another Love,Tom Odell,63926,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ,,,,0,0,OTHER
18,плачь,rizza,62832,https://open.spotify.com/track/3yCKABoZU3FVFuyVBc5VlM,,,,0,RU,0
19,psiblades,shadowraze,62755,https://open.spotify.com/track/3auzaPW4fXa8oI4KbTalAU,,,,0,RU,0
20,Aomine Daiki,quiizzzmeow,60141,https://open.spotify.com/track/5X1FYw7MXEgnPmQAYwAa0q,,,,0,RU,0
21,Yeyo!,Шайни,60119,https://open.spotify.com/track/4jvw60Iw8LpSRJwy1sOmoB,,,,0,RU,0
22,Домино,FACE,58917,https://open.spotify.com/track/6GyZQ9o0dBU9V0NIjGPz2r,,,,0,RU,0
23,Доброго вечора - Where Are You From,PROBASS ∆ HARDI,57868,https://open.spotify.com/track/0O3TZYgwaRadNprRONZ7iX,,,,UA,0,0
24,1000-7,shadowraze,57487,https://open.spotify.com/track/2IMrzJTRHGndoUbM39QIJ7,,,,0,RU,0
25,ТОЛПЫ КРИЧАТ,uniqe,55493,https://open.spotify.com/track/3mcw4dkjfzj5B4Ago9NSmN,,,,0,RU,0
26,99 Problems,Big Baby Tape,55436,https://open.spotify.com/track/0r9fpWPI6z3V3YZXIiVaNC,,,,0,RU,0
27,Close Eyes,DVRST,53159,https://open.spotify.com/track/3CLSHJv5aUROAN2vfOyCOh,,,,0,RU,0
28,Не твоя війна,Okean Elzy,52424,https://open.spotify.com/track/0H2ZDRzULQ8tIUvxUuTlqF,,,,UA,0,0
29,Bandana,Big Baby Tape,52395,https://open.spotify.com/track/16AzcbKli3UQsxj491hJLQ,,,,0,RU,0
30,Калуські вечорниці (feat. Tember Blanche),KALUSH,52088,https://open.spotify.com/track/6keRNvHKCOhmySQa1jCX8P,,,,UA,0,0
31,Million,Big Baby Tape,50741,https://open.spotify.com/track/4umjgYILQbHyV41ZmaemQm,,,,0,RU,0
32,Тримай,Khrystyna Soloviy,50083,https://open.spotify.com/track/4LKfJMumpW7HyBT05uXYUx,,,,UA,0,0
33,MIDDLE OF THE NIGHT,Elley Duhé,48361,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,,,,0,0,OTHER
34,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,45383,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o,,,,0,0,OTHER
35,Зелёный глаз,Минин,44621,https://open.spotify.com/track/4ZOjdqmXLuwHDQUn9WWoFR,,,,0,RU,0
36,Жальменiна,Go_A,44510,https://open.spotify.com/track/4WDasHtnmPeZr17S2OvFKH,,,,UA,0,0
37,Рассвет,КАКАЯ РАЗНИЦА,43558,https://open.spotify.com/track/0VGLb6IeeG5ZqonN5EavDu,,,,0,RU,0
38,МАЛИНОВАЯ ЛАДА,GAYAZOV$ BROTHER$,42498,https://open.spotify.com/track/77B4S4jkrAkL3Ng5hEHoUU,,,,0,RU,0
39,Oy U Luzi Chervona Kalyna - Army Remix,The Kiffness,42094,https://open.spotify.com/track/6nl2T8YjOdFFnQ4xBHXfdm,,,,UA,0,0
40,кладбище,вышел покурить,42094,https://open.spotify.com/track/1xASDcZcb869OkSu86Wbw8,,,,0,RU,0
41,After Dark,Mr.Kitty,41093,https://open.spotify.com/track/0zCgWGmDF0aih5qexATyBn,,,,0,0,OTHER
42,ЖМУРКИ,163ONMYNECK,39927,https://open.spotify.com/track/6fiQEMbqzE6CMrcHeukmGc,,,,0,RU,0
43,Кожура,ZAPOMNI,39896,https://open.spotify.com/track/1OeGvzNcGC2s6F41lmCdjA,,,,0,RU,0
44,У мене немає дому,Odyn v Kanoe,39576,https://open.spotify.com/track/4GC6tlXcAsyp4pNrlyo1pb,,,,UA,0,0
45,первое свидание,алёна швец.,39482,https://open.spotify.com/track/4tPB6H0QcK4bDib8iauE28,,,,0,RU,0
46,ВЛЮБИЛАСЬ,Big Baby Tape,39421,https://open.spotify.com/track/3bbkkPpf8AdRU6DurnvoC4,,,,0,RU,0
47,ЮМОРИСТ - Original Motion Picture Soundtrack,FACE,39369,https://open.spotify.com/track/571md1FedFYFaYUMUktYaF,,,,0,RU,0
48,Днями-ночами,pyrokinesis,39093,https://open.spotify.com/track/04gmklgYhNhZxRnAvSofoE,,,,0,RU,0
49,Зорi,KALUSH,38779,https://open.spotify.com/track/7mXxcF1nFQvcvANuYwdrv2,,,,UA,0,0
50,Дежавю,kizaru,38314,https://open.spotify.com/track/1GOiMxQXZUzjzH0Sxpck0B,,,,0,RU,0
51,Heat Waves,Glass Animals,38266,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,,,,0,0,OTHER
52,СПАСАТЕЛЬНЫЙ КРУГ,FACE,38079,https://open.spotify.com/track/08pVm2BCyMSevBLXYLysqi,,,,0,RU,0
