rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
1,spotify:track:61BaxM1NIcadLu3gtWm2uT,"SadSvit, СТРУКТУРА ЩАСТЯ",Силуети,Svit music,1,1,2,244275,UA,0,0
2,spotify:track:3XOcTnIA8aGpil8h76eH7N,zxcursed,mana break,A+,2,7,4,137903,0,RU,0
3,spotify:track:3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),EMI,1,2,7,134362,0,0,OTHER
4,spotify:track:4Yzlz45QgjUKZmN2KrK4AP,Skofka,Чути гімн,Columbia Local,1,3,15,129994,UA,0,0
5,spotify:track:6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Kordhell,3,6,30,117163,0,0,OTHER
6,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Aftermath,2,4,4,109096,0,0,OTHER
7,spotify:track:52oUDxzoJlMcSx2mIQ7JnJ,"Nikitata, FindMyName",ESCORT,Goost Music,7,-1,1,98482,0,RU,0
8,spotify:track:4oHEJ5KPf9hW1pDyQYIRIw,"Aarne, BUSHIDO ZHO, ANIKV",Тесно,AA Team,1,9,14,95649,0,RU,0
9,spotify:track:21LIoC4ZxT3F8xq9gidNbX,xxxmanera,Never Broke Again,steezy,1,11,21,95306,0,RU,0
10,spotify:track:4s1vFYAbvaSsy0gIjuqPuf,SOSKA 69,Басы долбят,KISS KOALA,10,38,2,95160,0,RU,0
11,spotify:track:5dSOtyf70O6fG1xm4xFeTD,"KALUSH, Kalush Orchestra, The Rasmus",In The Shadows Of Ukraine (feat. The Rasmus),Columbia Local,8,8,3,93083,UA,0,0
12,spotify:track:7bvl0wSkJ7AzfbXwRGJDSy,"LIL KRYSTALLL, Лоя (5sta Family)",Я БУДУ,LIL KRYSTALLL,6,14,3,90110,0,RU,0
13,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,8,12,26,86329,0,0,OTHER
