rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
1,spotify:track:4PGzoH4hL1vORGOTxHdWjB,INSTASAMKA,ЗА ДЕНЬГИ ДА,NaMneCash Music,1,1,7,181647,0,RU,0
2,spotify:track:61BaxM1NIcadLu3gtWm2uT,"SadSvit, СТРУКТУРА ЩАСТЯ",Силуети,Svit music,1,2,11,164090,UA,0,0
3,spotify:track:1N8TTK1Uoy7UvQNUazfUt5,ThxSoMch,SPIT IN MY FACE!,Elektra (NEK),1,3,9,147550,0,0,OTHER
4,spotify:track:3h9XZd7ZON6LubTC3AqwzT,Parfeniuk,Провела екскурсію,ShowTime Music,4,4,5,120268,UA,0,0
5,spotify:track:0R848ny5sEpVuR1tMXZNFr,INSTASAMKA,КАК MOMMY,NaMneCash Music,5,7,3,119026,0,RU,0
6,spotify:track:2ksyzVfU0WJoBpu8otr4pz,INTERWORLD,METAMORPHOSIS,INTERWORLD,5,5,26,118211,0,0,OTHER
7,spotify:track:6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Kordhell,3,8,39,105855,0,0,OTHER
8,spotify:track:4Yzlz45QgjUKZmN2KrK4AP,Skofka,Чути гімн,Columbia Local,1,6,24,99718,UA,0,0
9,spotify:track:0ePYZtHRuP9NZqlkEDCaC4,"Scally Milano, 163ONMYNECK, MAYOT",Йупи Йо,Scally Milano,4,10,4,98972,0,RU,0
10,spotify:track:3XOcTnIA8aGpil8h76eH7N,zxcursed,mana break,A+,2,9,13,81594,0,RU,0
11,spotify:track:4MQmxIxM5CXKjdq4IrCWhd,SadSvit,Касета,Independent,11,12,39,79064,UA,0,0
12,spotify:track:5BY094QwLvZFh737Ytvgpy,Big Baby Tape,Like A G6,Effective Records,6,11,4,78565,0,RU,0
13,spotify:track:3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),EMI,1,13,16,77482,0,0,OTHER
14,spotify:track:37F7E7BKEw2E4O2L7u0IEp,Freddie Dredd,Limbo,Doomshop Records/RCA Records,8,15,11,74534,0,0,OTHER
15,spotify:track:7mLWNwcvwRdEviz6SfYp8A,g3ox_em,GigaChad Theme - Phonk House Version,g3ox_em,15,18,12,74312,0,0,OTHER
16,spotify:track:21LIoC4ZxT3F8xq9gidNbX,xxxmanera,Never Broke Again,steezy,1,17,30,70674,0,RU,0
17,spotify:track:5Zlb01Jcn0Ld49zazzZJSB,"TWISTED, Oliver Tree",WORTH NOTHING - Fast & Furious: Drift Tape/Phonk Vol 1,Artist Partner Group – FF10,11,19,11,69289,0,0,OTHER
18,spotify:track:7kKTYTHULdERuHGCkVyLVD,"KALUSH, Skofka",Додому (feat. Skofka),Columbia Local,2,16,81,68065,UA,0,0
19,spotify:track:11BKm0j4eYoCPPpCONAVwA,Lady Gaga,Bloody Mary,Interscope,3,14,7,67865,0,0,OTHER
20,spotify:track:5Sk39LuvdwuvL84jD01Dum,"MUPP, Sadfriendd",vendetta!,Sadfriendd x MUPP,3,20,33,67582,0,RU,0
21,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Aftermath,2,23,13,67570,0,0,OTHER
22,spotify:track:7krNeHssTmY3ijTox4OBbD,DOROFEEVA,Щоб не було,MOЗGI Entertainment,11,29,5,65296,UA,0,0
23,spotify:track:5FkJHVudUByVjanCqFXRql,Mr.Kitty,After Dark,Juggernaut Music Group,12,32,116,64787,0,0,OTHER
24,spotify:track:7itGrDB969S4fJc4GDodiA,INSTASAMKA,POPSTAR,NaMneCash Music,1,22,17,62651,0,RU,0
25,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,8,34,35,62349,0,0,OTHER
26,spotify:track:72iyEnh9p6PoyJoEnAJDjO,"SCXR SOUL, Sx1nxwy",DEMONS IN MY SOUL,SCXR SOUL,26,35,14,61724,UA,0,0
27,spotify:track:2kLmAwQCBSlvtcptioAoTv,LOVV66,5IVE,LOVV66,27,95,3,61218,0,RU,0
28,spotify:track:01kfSdF9zfcDLri5sSWEoL,Dxrk ダーク,RAVE,Dxrk,5,33,41,61002,0,0,OTHER
29,spotify:track:4oHEJ5KPf9hW1pDyQYIRIw,"Aarne, BUSHIDO ZHO, ANIKV",Тесно,AA Team,1,27,23,60925,0,RU,0
30,spotify:track:6JrGELYUIbZvBV74j4Q5LN,ENLEO,інша любов,SADNESS RCRDS,6,25,26,60212,UA,0,0
31,spotify:track:0wGbyS1tExQSwOYu6UceyE,"ONIMXRU, SMITHMANE",SHADOW,ONIMXRU x SMITHMANE,13,38,22,60041,0,RU,0
32,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,16,39,119,59954,0,0,OTHER
33,spotify:track:2vHzOWRKYPLu8umRPIFuOq,"KALUSH, Kalush Orchestra",Stefania (Kalush Orchestra),Columbia Local,1,28,48,59382,UA,0,0
34,spotify:track:3gVhsZtseYtY1fMuyYq06F,Rammstein,Sonne,Vertigo Berlin,26,31,18,59036,0,0,OTHER
35,spotify:track:2BH3j05ZXWr5PR30sW079d,Isolate.exe,Crystals,Isolate.exe,30,30,19,56822,0,0,OTHER
36,spotify:track:64epifHS5CvRUVgKEDbRJm,ПОЛМАТЕРИ,маша,"Streaming club, under exclusive license to Rhymes Music Inc.",36,56,3,56788,0,RU,0
37,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,14,42,69,56317,0,0,OTHER
38,spotify:track:3EkGH0yreaWUFAXBil8rmH,"KALUSH, Skofka",Файна (feat. Skofka),Columbia Local,13,37,45,55970,UA,0,0
39,spotify:track:6yeVk9XbjCQOAGg6t0k7j7,"Clonnex, Semmyx",Pitbull,Clonnex & Semmyx,13,24,4,55773,UA,0,0
40,spotify:track:7g9brrz6mR8dm1kwYFwnRx,"YARMAK, ALISA",ДИКЕ ПОЛЕ,Yarmak music,29,41,33,55765,UA,0,0
41,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,Revenge,Bad Vibes Forever / EMPIRE,34,47,46,54802,0,0,OTHER
42,spotify:track:5sQpS3fyw6VBpPioNlrCn1,Slavik Pogosov,Монро,Союз Мьюзик,34,66,3,54129,0,RU,0
43,spotify:track:3bKxhUuoRvSRwIdyZfQa3F,"Artem Pivovarov, DOROFEEVA",Думи,MOЗGI Entertainment,35,61,32,53460,UA,0,0
44,spotify:track:64Qnw6jO2dnkjV9una5peq,"100лиця, SKYLERR",Вечорниці - Добрий день Everybody,Moon Vinyl s.r.o.,19,49,26,52241,UA,0,0
45,spotify:track:4uLe9sk4nymENqN4RHbFIQ,"phonk.me, KIIXSHI",GHOST!,Phonk Workshop,45,89,2,52090,UA,0,0
46,spotify:track:3MqaB8TndvgRZ1QSQXH7J7,SHUMEI,Біля тополі,Art Sound Media,24,43,28,52083,UA,0,0
