rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
1,spotify:track:3NjAwkM75GH3cvfV9zRtv8,BUSHIDO ZHO,vodila,cplus,1,1,2,146949,0,RU,0
2,spotify:track:21LIoC4ZxT3F8xq9gidNbX,xxxmanera,Never Broke Again,CandyFlip Music,2,13,4,134708,0,RU,0
3,spotify:track:17SiOJ50b7dQU1ZSFtAXVc,"MORGENSHTERN, Aarne",DALEKO,Bugatti Music,3,-1,1,124596,0,RU,0
4,spotify:track:2vHzOWRKYPLu8umRPIFuOq,KALUSH,Stefania (Kalush Orchestra),Columbia Local,1,2,22,114383,UA,0,0
5,spotify:track:2kWuVqpxPnj131Z53vxF98,"alyona alyona, Jerry Heil, ela.",KUPALA,Columbia Local,5,-1,1,94411,UA,0,0
6,spotify:track:7kKTYTHULdERuHGCkVyLVD,"KALUSH, Skofka",Додому (feat. Skofka),Columbia Local,2,4,55,89072,UA,0,0
7,spotify:track:48fzAdCxamFYCHNXXLk6zn,shadowraze,showdown,Союз Мьюзик,1,5,19,82525,0,RU,0
8,spotify:track:5mGns7qagKDzP4L2YC5ea2,"Chico, Qatoshi",Допоможе ЗСУ,Naprocente music,5,8,11,81280,UA,0,0
9,spotify:track:1OhtcX8IP2mQ2s5yEZ3jSN,"Arut, Big Baby Tape",VLAGA,Bugatti Music,2,3,4,79019,0,RU,0
10,spotify:track:2WzAAerBvZvvFXgUpSwHZ9,"PLAYAMANE, Nateki",MIDNIGHT,PLAYAMANE,6,14,9,79018,0,0,OTHER
11,spotify:track:0IjCnXqJTlPElz8HmIiO9p,"The Limba, MORGENSHTERN",Известным,Bugatti Music,10,15,3,77585,0,RU,0
12,spotify:track:489WGIBYPf4nallnJOHpK6,"Chico, Qatoshi",Ластівки,Naprocente music,7,9,4,77058,UA,0,0
13,spotify:track:6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Kordhell,13,26,13,75259,0,0,OTHER
14,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Parlophone UK,12,16,7,73970,0,0,OTHER
15,spotify:track:01kfSdF9zfcDLri5sSWEoL,Dxrk ???,RAVE,Dxrk,5,17,15,72209,0,0,OTHER
16,spotify:track:0iUrxveyNUBfj0cqjYEijt,MoonDeity,NEON BLADE,MoonDeity,16,31,6,71012,0,0,OTHER
17,spotify:track:6keRNvHKCOhmySQa1jCX8P,"KALUSH, Tember Blanche",Калуські вечорниці (feat. Tember Blanche),Columbia Local,5,22,30,70697,UA,0,0
18,spotify:track:0xY3mc3o0NJ3CetKAV8ma3,"Poshlaya Molly, Молодой Платон",ШКОЛЬНИК,DROPBLED,18,37,3,70622,0,RU,0
19,spotify:track:4jvw60Iw8LpSRJwy1sOmoB,Шайни,Yeyo!,Mansion Music,7,21,22,69420,0,RU,0
20,spotify:track:4m0ELYovhweZYdw4cCqVv0,INSTASAMKA,RARARA,NaMneCash Music,20,43,3,67858,0,RU,0
21,spotify:track:0zCgWGmDF0aih5qexATyBn,Mr.Kitty,After Dark,Juggernaut Music Group,12,24,90,67564,0,0,OTHER
22,spotify:track:4tEr9oykqAlnLnaltbjoDe,To Eternity,Несмачний Мед,To Eternity,3,11,4,65829,UA,0,0
23,spotify:track:47iHvzU9Po0e6raFlgLBOF,shadowraze,astral step,Союз Мьюзик,1,25,37,64813,0,RU,0
24,spotify:track:1K2ORdYBMvi5h4FvQn5hpX,Мюслі UA,"Вова, їбаш їх блять",мюслі UA,2,23,15,62495,UA,0,0
25,spotify:track:1zdbpQXkC4oHNiYiuLrbQZ,дипинс,Этажи,дипинс,25,-1,1,62097,0,RU,0
26,spotify:track:4ikCWgaaGLKgb724CUNnqZ,Кореш,глаза не врут,cplus,3,28,7,61887,0,RU,0
27,spotify:track:5Sk39LuvdwuvL84jD01Dum,"MUPP, Sadfriendd",vendetta!,Sadfriendd x MUPP,27,34,7,60131,0,RU,0
28,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,14,30,43,59540,0,0,OTHER
29,spotify:track:7IRfUFRIarTp8a8Yxa83Nl,KOLA,Чи разом?,BEST MUSIC,13,29,6,57453,UA,0,0
30,spotify:track:3EkGH0yreaWUFAXBil8rmH,"KALUSH, Skofka",Файна (feat. Skofka),Columbia Local,13,33,19,57269,UA,0,0
31,spotify:track:1xHs6PLjlvqihewyitoP3A,Wellboy,Вишнi,Юрий Бардаш,18,32,21,56892,UA,0,0
32,spotify:track:3JtqmQTqsJBt6bd6iVtlaI,Epolets,Зраджуй,Epolets,25,36,4,54981,UA,0,0
33,spotify:track:3CLSHJv5aUROAN2vfOyCOh,DVRST,Close Eyes,DVRST,6,40,57,52824,0,RU,0
34,spotify:track:5IHRFEEHSVd8Ks1joLjZDq,"nkeeei, uniqe, ARTEM SHILOVETS, MAYOT",У У У,Flame Generation,34,106,3,52698,0,RU,0
35,spotify:track:7mXxcF1nFQvcvANuYwdrv2,KALUSH,Зорi,Columbia Local,10,39,72,51590,UA,0,0
36,spotify:track:58HvfVOeJY7lUuCqF0m3ly,Elley Duh?,MIDDLE OF THE NIGHT,Not Fit For Society/RCA Records,22,42,38,50516,0,0,OTHER
37,spotify:track:3yRDM5tBS7H8HG64y3x9kw,CHEEV,Гарно так,UMPG MUSIC,37,52,2,50496,UA,0,0
38,spotify:track:5HfA6KNvluQJSbrgrv3gh3,"Ed Sheeran, Antytila",2step (feat. Antytila),Atlantic Records UK,4,38,11,50114,UA,0,0
39,spotify:track:0fLampmh4qsOLGitXM171a,PLOHOYPAREN,Таблетка,И.С.Б,39,54,24,49613,0,RU,0
40,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,39,46,93,49203,0,0,OTHER
41,spotify:track:7D8k995g6jdie4NF1E7Tpu,"WENARO, LXNER",Лёд,SAVAGE$TATION,2,45,47,49126,0,RU,0
42,spotify:track:6RmlamfS2Supq8wARlY0QQ,"10AGE, Ramil'",Ау,Rhymes Music Inc.,26,47,60,48293,0,RU,0
43,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,32,48,15,47842,0,0,OTHER
44,spotify:track:5TK74MJYRmwU5NIAjGRvRq,"Scally Milano, uglystephan",Я хочу тебя трахать,AMC MUSIC,27,49,15,46703,0,RU,0
45,spotify:track:0VGLb6IeeG5ZqonN5EavDu,КАКАЯ РАЗНИЦА,Рассвет,Какая Разница,29,56,30,46428,0,RU,0
46,spotify:track:0r9fpWPI6z3V3YZXIiVaNC,"Big Baby Tape, kizaru",99 Problems,Sony Music Entertainment,1,44,38,45468,0,RU,0
47,spotify:track:1U5HTINVvE7oSSscuD3Gjm,kizaru,Train Wreck,HAUNTED FAMILY,6,6,2,44919,0,RU,0
48,spotify:track:66P9j5bWiRBotkxJN9ZsyV,KALUSH,Тіпок,Columbia Local,48,101,8,44018,UA,0,0
49,spotify:track:4O32TwoybFtp2hLJI58adX,Patsyki Z Franeka,Vasya OMG,FFK REKORDZ,49,152,2,43985,UA,0,0
50,spotify:track:4umjgYILQbHyV41ZmaemQm,"Big Baby Tape, kizaru",Million,Sony Music Entertainment,2,50,38,43507,0,RU,0
51,spotify:track:03TPcM9vWUmc8y6LkJAzwJ,АДЛИН,No Love,Союз Мьюзик,31,66,37,43245,0,RU,0
52,spotify:track:6ovBMbqpAA8N1FtN1fa0Vq,Max Korzh,Свой дом,Макс Корж,2,41,6,43151,0,RU,0
53,spotify:track:3yCKABoZU3FVFuyVBc5VlM,"rizza, Sqwore",плачь,Adam Music,6,60,40,42389,0,RU,0
54,spotify:track:3mcw4dkjfzj5B4Ago9NSmN,"uniqe, nkeeei, ARTEM SHILOVETS",ТОЛПЫ КРИЧАТ,steezy,1,63,42,42204,0,RU,0
55,spotify:track:7biChppM3c8q7qcVl7ceb2,FACE,ЛАБИРИНТ,Face,8,70,34,41597,0,RU,0
56,spotify:track:16AzcbKli3UQsxj491hJLQ,"Big Baby Tape, kizaru",Bandana,Sony Music Entertainment,1,51,38,41091,0,RU,0
57,spotify:track:4LKfJMumpW7HyBT05uXYUx,Khrystyna Soloviy,Тримай,"ТОВ ""Суперсиметрія""",8,55,21,40952,UA,0,0
58,spotify:track:3CIyK1V4JEJkg02E4EJnDl,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,Kid Ina Korner / Interscope,6,53,37,40811,0,0,OTHER
59,spotify:track:48jRCynldeK3WQbvd3jr73,zxcursed,never enough,A+,4,57,18,40802,0,RU,0
60,spotify:track:1ghdJUMhmLEpUitNwyNMWH,fem.love,Фотографирую закат,A+,2,64,67,40510,0,RU,0
61,spotify:track:1GOiMxQXZUzjzH0Sxpck0B,kizaru,Дежавю,Sony Music Entertainment,1,58,105,40459,0,RU,0
62,spotify:track:5jXocrsUwpKwWyI5BZLKFA,"shadowraze, LXNER, quiizzzmeow",adaptive strike,SAVAGE$TATION,2,61,22,39819,0,RU,0
63,spotify:track:5FX30idriKlEIRYTxpNf65,KUTE,AVOID ME,KUTE,63,78,9,39494,0,0,OTHER
64,spotify:track:1qDqswcqJ7QxtbVlDv5P6W,"Taras Chubay, Плач Єремії",Вона,Comp Music Ltd,44,62,17,39281,UA,0,0
65,spotify:track:2DHX9faMGUQQTwD1Ot4ch2,INSTASAMKA,MONEYKEN LOVE,NaMneCash Music,65,-1,1,39232,0,RU,0
66,spotify:track:7lcYieV34n9gHmW9wRweI2,kizaru,No Stop,HAUNTED FAMILY,7,7,2,38852,0,RU,0
67,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,Revenge,Bad Vibes Forever / EMPIRE,39,74,20,38626,0,0,OTHER
68,spotify:track:5Txeau6Fi96zS4THXUJ4w7,VISXGE,IMMACULATE,VISXGE,68,-1,1,38585,UA,0,0
69,spotify:track:5X1FYw7MXEgnPmQAYwAa0q,quiizzzmeow,Aomine Daiki,SAVAGE$TATION,1,71,41,38424,0,RU,0
