rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
1,spotify:track:61BaxM1NIcadLu3gtWm2uT,"SadSvit, СТРУКТУРА ЩАСТЯ",Силуети,Svit music,1,1,14,178893,UA,0,0
2,spotify:track:0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,Columbia,2,2,3,151758,0,0,OTHER
3,spotify:track:4g22x3fIQVUlY39ICUBB7Z,"Big Baby Tape, Aarne",HOODAK MP3,Effective Records,3,-1,1,131614,0,RU,0
4,spotify:track:1N8TTK1Uoy7UvQNUazfUt5,ThxSoMch,SPIT IN MY FACE!,Elektra (NEK),1,4,12,130092,0,0,OTHER
5,spotify:track:4PGzoH4hL1vORGOTxHdWjB,INSTASAMKA,ЗА ДЕНЬГИ ДА,NaMneCash Music,1,3,10,123665,0,RU,0
6,spotify:track:3h9XZd7ZON6LubTC3AqwzT,Parfeniuk,Провела екскурсію,ShowTime Music,4,6,8,122382,UA,0,0
7,spotify:track:2ksyzVfU0WJoBpu8otr4pz,INTERWORLD,METAMORPHOSIS,INTERWORLD,5,5,29,115282,0,0,OTHER
8,spotify:track:4Yzlz45QgjUKZmN2KrK4AP,Skofka,Чути гімн,Columbia Local,1,7,27,101205,UA,0,0
9,spotify:track:4MQmxIxM5CXKjdq4IrCWhd,SadSvit,Касета,Independent,9,10,42,94404,UA,0,0
10,spotify:track:6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Kordhell,3,8,42,93165,0,0,OTHER
11,spotify:track:7krNeHssTmY3ijTox4OBbD,DOROFEEVA,Щоб не було,MOЗGI Entertainment,11,17,8,79779,UA,0,0
12,spotify:track:30IlQpX7dVokqnMeuf31Wj,Clonnex,Sidnytseїd,CLONNEX,12,-1,1,79520,UA,0,0
13,spotify:track:3RKjTYlQrtLXCq5ncswBPp,Baby Tate,"Hey, Mickey!",Yung Baby Tate,13,14,3,79337,0,0,OTHER
14,spotify:track:0R848ny5sEpVuR1tMXZNFr,INSTASAMKA,КАК MOMMY,NaMneCash Music,5,9,6,77543,0,RU,0
15,spotify:track:7iGdK8FeeKfWiLR3Ax6phw,DOROFEEVA,вотсап,MOЗGI Entertainment,15,-1,1,76203,UA,0,0
16,spotify:track:0NZPBYD5qbEWRs3PrGiRkT,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),EMI,1,12,19,74138,0,0,OTHER
17,spotify:track:0ePYZtHRuP9NZqlkEDCaC4,"Scally Milano, 163ONMYNECK, MAYOT",Йупи Йо,Scally Milano,4,13,7,73536,0,RU,0
18,spotify:track:7mLWNwcvwRdEviz6SfYp8A,g3ox_em,GigaChad Theme - Phonk House Version,g3ox_em,11,11,15,72965,0,0,OTHER
19,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,8,23,38,70388,0,0,OTHER
20,spotify:track:3TzPVU3jj6YdTunVdKimiQ,"phonk.me, KIIXSHI",GHOST!,phonk.me x KIIXSHI,16,16,5,69434,UA,0,0
21,spotify:track:21LIoC4ZxT3F8xq9gidNbX,xxxmanera,Never Broke Again,steezy,1,22,33,67951,0,RU,0
22,spotify:track:37F7E7BKEw2E4O2L7u0IEp,Freddie Dredd,Limbo,Doomshop Records/RCA Records,8,15,14,66691,0,0,OTHER
