rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
61,spotify:track:2kWuVqpxPnj131Z53vxF98,"alyona alyona, Jerry Heil, ela.",KUPALA,Columbia Local,4,54,24,45040,UA,0,0
62,spotify:track:4vfedO2VTJR0JSniz23y1o,T-Fest,Дай мені звикнути,Lemniskata LLC,62,-1,1,44962,UA,0,0
63,spotify:track:5ZNmRNEc0i3o8sP9NKqsvQ,jockii druce,боі стули пельку,3761125 Records DK,2,59,20,44128,UA,0,0
64,spotify:track:6keRNvHKCOhmySQa1jCX8P,"KALUSH, Tember Blanche",Калуські вечорниці (feat. Tember Blanche),Columbia Local,5,57,53,43966,UA,0,0
65,spotify:track:0VGLb6IeeG5ZqonN5EavDu,КАКАЯ РАЗНИЦА,Рассвет,Какая Разница,29,55,53,43125,0,RU,0
66,spotify:track:3CLSHJv5aUROAN2vfOyCOh,DVRST,Close Eyes,DVRST,6,60,80,43106,0,RU,0
67,spotify:track:48fzAdCxamFYCHNXXLk6zn,shadowraze,showdown,Союз Мьюзик,1,61,42,42743,0,RU,0
68,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,67,67,3,42576,0,0,OTHER
69,spotify:track:4LVrOvwpUuJFP2JsIGTptg,KOLA,Чи разом,BEST MUSIC,13,62,29,41685,UA,0,0
70,spotify:track:3QCAlpFtKHG9boarQDZnar,Мосты,Морозы,Most Label,70,-1,1,41457,UA,0,0
71,spotify:track:7vQbuQcyTflfCIOu3Uzzya,Bobby Helms,Jingle Bell Rock,Geffen,8,104,13,40773,0,0,OTHER
72,spotify:track:6nqdgUTiWt4JbABDurkxMI,Hensonn,Sahara,Hensonn,47,70,57,40387,UA,0,0
73,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,25,63,16,40367,0,0,OTHER
74,spotify:track:2DHX9faMGUQQTwD1Ot4ch2,INSTASAMKA,MONEYKEN LOVE,NaMneCash Music,5,74,24,39629,0,RU,0
75,spotify:track:7vsAZNP2BZiHK8RHyTh7lC,"Килджо, shadowraze",Chronosphere,Союз Мьюзик,28,48,4,39558,0,RU,0
76,spotify:track:3tAQNhm1o0kzldsI5QkrB1,Aerosmith,Dream On,Aerosmith P&D - Sony,48,65,7,39453,0,0,OTHER
77,spotify:track:0mMhLFrpgvnMRbKaBJpuJk,Scally Milano,Двигай Жопой,Scally Milano,77,-1,1,39348,0,RU,0
78,spotify:track:34lfu3S4fIcKZRNXzbdbo7,Kordhell,Live Another Day,Kordhell,66,75,41,39208,0,0,OTHER
79,spotify:track:6yeVk9XbjCQOAGg6t0k7j7,"Clonnex, Semmyx",Pitbull,Clonnex & Semmyx,79,-1,1,39143,UA,0,0
80,spotify:track:7biChppM3c8q7qcVl7ceb2,FACE,ЛАБИРИНТ,Face,8,83,53,38996,0,RU,0
81,spotify:track:1qDqswcqJ7QxtbVlDv5P6W,"Taras Chubay, Плач Єремії",Вона,Comp Music Ltd,44,69,40,38567,UA,0,0
82,spotify:track:73vIOb4Q7YN6HeJTbscRx5,"Oliver Tree, Robin Schulz",Miss You,Atlantic Records,50,64,12,38453,0,0,OTHER
83,spotify:track:0wpkj8A7T1CjIul0XQtkqK,SadSvit,Молодість,Independent,56,73,34,38376,UA,0,0
84,spotify:track:4LKfJMumpW7HyBT05uXYUx,Khrystyna Soloviy,Тримай,"ТОВ ""Суперсиметрія""",8,71,44,38226,UA,0,0
85,spotify:track:7uHFrsclJjAhONLcc8grZU,"VovaZiLvova, Morphom",Шукав тебе. Знайшов тебе,Hitwonder,54,76,31,38164,UA,0,0
86,spotify:track:4ikCWgaaGLKgb724CUNnqZ,Кореш,глаза не врут,cplus,3,68,30,38045,0,RU,0
87,spotify:track:5FX30idriKlEIRYTxpNf65,KUTE,AVOID ME,KUTE,61,88,32,37738,0,0,OTHER
88,spotify:track:1I08Gc6g5fK9zEWNZASQzq,kizaru,Мне это не нужно,Effective Records / Haunted Family,4,53,5,37509,0,RU,0
89,spotify:track:26yvlxKTtN2u3mpbl6AIeI,FACE,Антидепрессант,Face,74,86,40,37494,0,RU,0
90,spotify:track:5RBOcBpJXaNnHCGViJmYhh,Mareux,The Perfect Girl,Revolution Records,79,79,10,37436,0,0,OTHER
91,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,Columbia,10,111,14,36908,0,0,OTHER
92,spotify:track:0EPK3XVvgbe8q0KrS7nEiY,АДЛИН,Dead Inside,Союз Мьюзик,17,80,22,36507,0,RU,0
93,spotify:track:0olubSy8HbZBrCJlSHV7ex,Кишлак,Я уёбываю в джаз,KISS KOALA,61,84,28,36462,0,RU,0
94,spotify:track:4GC6tlXcAsyp4pNrlyo1pb,Odyn v Kanoe,У мене немає дому,Kanoemusic,37,72,41,36353,UA,0,0
95,spotify:track:0gucTLf7trAf37Ua1uAyAu,Nirvana,Smells Like Teen Spirit,Geffen,76,87,103,36113,0,0,OTHER
96,spotify:track:1xHs6PLjlvqihewyitoP3A,Wellboy,Вишнi,Юрий Бардаш,18,89,44,36109,UA,0,0
97,spotify:track:7dpget8s2QN51jYbNqVYtG,Quest Pistols Official,Ти неймовірна,Quest Pistols,97,-1,1,35935,UA,0,0
98,spotify:track:7uoFMmxln0GPXQ0AcCBXRq,Sia,Snowman,Monkey Puzzle/Atlantic,42,109,10,35917,0,0,OTHER
99,spotify:track:1P9oRiZJWnxe2pZmYUZ5eC,Skryptonite,Это любовь,Gazgolder Records,78,97,93,35916,0,RU,0
100,spotify:track:2zHLOJoeSs3OpW8aR19AuS,uglystephan,Хэллоу Китти,Mansion Music,23,51,5,35797,0,RU,0
101,spotify:track:6NePBUCeIGqfnIQag5crC0,Jerry Heil,КОЗАЦЬКОМУ_РОДУ,Jerry Heil,85,85,4,35608,UA,0,0
102,spotify:track:6BfnNid8w0UyZqzR2mx1HB,"Молодой Платон, Poshlaya Molly, Yanix","DON'T PLAY, BAE",Zion Music,21,77,14,35539,0,RU,0
103,spotify:track:1cbf0juRBwdJctd0xTotgt,Scally Milano,Телеграм,Scally Milano,103,-1,1,35425,0,RU,0
104,spotify:track:7BcKwEsuXDY1jG6pDN2AIj,SLAVA MARLOW,Я в деле,SLAVA MARLOW,104,-1,1,35397,0,RU,0
105,spotify:track:38sNsooZ7WRWAZkQnpHZcG,Wellboy,Ворогів на ножі,Wellboy,76,103,23,35360,UA,0,0
106,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,87,91,18,35136,0,0,OTHER
107,spotify:track:1aXV8GrmQLvgoFtBPERP7E,Eyedress,Jealous,Lex Records,77,78,44,35106,0,0,OTHER
108,spotify:track:059YaYSppRHOPojr4Rejdn,MORGENSHTERN,SHEIKH,Bugatti Music,1,81,9,35027,0,RU,0
109,spotify:track:6tXFD3NkrngI9JHjDdjAjZ,KRBK,Художник,Most Label,109,121,5,34931,UA,0,0
110,spotify:track:2EjXfH91m7f8HiJN1yQg97,Brenda Lee,Rockin' Around The Christmas Tree,MCA Nashville,9,154,13,34867,0,0,OTHER
111,spotify:track:6Ox1rvlwEpB49drasQm6RF,Lil Peep,Star Shopping,Lil Peep,53,99,126,34814,0,0,OTHER
112,spotify:track:47iHvzU9Po0e6raFlgLBOF,shadowraze,astral step,Союз Мьюзик,1,90,60,34790,0,RU,0
113,spotify:track:3NjAwkM75GH3cvfV9zRtv8,BUSHIDO ZHO,vodila,cplus,1,95,25,34679,0,RU,0
114,spotify:track:6HMk2bFT4VkIWwIAmDCqHj,"Poshlaya Molly, HOFMANNITA",#HABIBATI,DROPBLED,8,94,11,34650,0,RU,0
115,spotify:track:7bvl0wSkJ7AzfbXwRGJDSy,"LIL KRYSTALLL, Лоя (5sta Family)",Я БУДУ,LIL KRYSTALLL,6,96,9,34531,0,RU,0
116,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,32,82,38,34283,0,0,OTHER
117,spotify:track:7HTg62Q8pSIO5QRxvCDc0X,"Golubenko, Clonnex",Мила,BEST MUSIC,64,116,7,34210,UA,0,0
118,spotify:track:5azkCMYWwZNKU1F5hGDIQS,Scally Milano,ДЕНЬГИ В КЛУБЕ,Scally Milano,118,-1,1,34203,0,RU,0
119,spotify:track:0fLampmh4qsOLGitXM171a,PLOHOYPAREN,Таблетка,И.С.Б,26,112,47,34035,0,RU,0
120,spotify:track:2PqtiIAHQhZfOH5GTAonYt,MamaRika,Kava,MamaRika,77,93,34,33976,UA,0,0
121,spotify:track:09NXCjWIBMQDQLOv6AMyDN,MBreeze,Окупанту,A-post,104,136,11,33976,UA,0,0
