rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
1,spotify:track:61BaxM1NIcadLu3gtWm2uT,"SadSvit, СТРУКТУРА ЩАСТЯ",Силуети,Svit music,1,1,15,189626,UA,0,0
2,spotify:track:1N8TTK1Uoy7UvQNUazfUt5,ThxSoMch,SPIT IN MY FACE!,Elektra (NEK),1,4,13,137585,0,0,OTHER
3,spotify:track:4g22x3fIQVUlY39ICUBB7Z,"Big Baby Tape, Aarne",HOODAK MP3,Effective Records,3,3,2,133012,0,RU,0
4,spotify:track:4PGzoH4hL1vORGOTxHdWjB,INSTASAMKA,ЗА ДЕНЬГИ ДА,NaMneCash Music,1,5,11,128028,0,RU,0
5,spotify:track:2ksyzVfU0WJoBpu8otr4pz,INTERWORLD,METAMORPHOSIS,INTERWORLD,5,7,30,125997,0,0,OTHER
6,spotify:track:0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,Columbia,2,2,4,120705,0,0,OTHER
7,spotify:track:3h9XZd7ZON6LubTC3AqwzT,Parfeniuk,Провела екскурсію,ShowTime Music,4,6,9,118555,UA,0,0
8,spotify:track:6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Kordhell,3,10,43,103418,0,0,OTHER
9,spotify:track:4Yzlz45QgjUKZmN2KrK4AP,Skofka,Чути гімн,Columbia Local,1,8,28,101911,UA,0,0
10,spotify:track:0NZPBYD5qbEWRs3PrGiRkT,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),EMI,1,16,20,101806,0,0,OTHER
11,spotify:track:4MQmxIxM5CXKjdq4IrCWhd,SadSvit,Касета,Independent,9,9,43,96479,UA,0,0
12,spotify:track:21LIoC4ZxT3F8xq9gidNbX,xxxmanera,Never Broke Again,steezy,1,21,34,79606,0,RU,0
13,spotify:track:7mLWNwcvwRdEviz6SfYp8A,g3ox_em,GigaChad Theme - Phonk House Version,g3ox_em,11,18,16,79121,0,0,OTHER
14,spotify:track:0R848ny5sEpVuR1tMXZNFr,INSTASAMKA,КАК MOMMY,NaMneCash Music,5,14,7,77075,0,RU,0
15,spotify:track:7krNeHssTmY3ijTox4OBbD,DOROFEEVA,Щоб не було,MOЗGI Entertainment,11,11,9,75018,UA,0,0
16,spotify:track:37F7E7BKEw2E4O2L7u0IEp,Freddie Dredd,Limbo,Doomshop Records/RCA Records,8,22,15,73663,0,0,OTHER
17,spotify:track:0ePYZtHRuP9NZqlkEDCaC4,"Scally Milano, 163ONMYNECK, MAYOT",Йупи Йо,Scally Milano,4,17,8,73084,0,RU,0
18,spotify:track:7iGdK8FeeKfWiLR3Ax6phw,DOROFEEVA,вотсап,MOЗGI Entertainment,15,15,2,72642,UA,0,0
19,spotify:track:3TzPVU3jj6YdTunVdKimiQ,"phonk.me, KIIXSHI",GHOST!,phonk.me x KIIXSHI,16,20,6,71966,UA,0,0
20,spotify:track:30IlQpX7dVokqnMeuf31Wj,Clonnex,Sidnytseїd,CLONNEX,12,12,2,71432,UA,0,0
21,spotify:track:6JrGELYUIbZvBV74j4Q5LN,ENLEO,інша любов,SADNESS RCRDS,6,24,30,71210,UA,0,0
22,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,8,19,39,71113,0,0,OTHER
23,spotify:track:5FkJHVudUByVjanCqFXRql,Mr.Kitty,After Dark,Juggernaut Music Group,12,23,120,67324,0,0,OTHER
24,spotify:track:5Zlb01Jcn0Ld49zazzZJSB,"TWISTED, Oliver Tree",WORTH NOTHING - Fast & Furious: Drift Tape/Phonk Vol 1,APG Inc – FF10,11,29,15,66217,0,0,OTHER
25,spotify:track:5Sk39LuvdwuvL84jD01Dum,"MUPP, Sadfriendd",vendetta!,Sadfriendd x MUPP,3,31,37,64244,0,RU,0
26,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Aftermath,2,26,17,63531,0,0,OTHER
27,spotify:track:3hzelPptWzx0OrSDTyIuuy,Hensonn,Flare,Hensonn,20,30,5,63521,UA,0,0
28,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,16,34,123,63411,0,0,OTHER
29,spotify:track:7g9brrz6mR8dm1kwYFwnRx,"YARMAK, ALISA",ДИКЕ ПОЛЕ,Yarmak music,29,42,37,63013,UA,0,0
30,spotify:track:7kKTYTHULdERuHGCkVyLVD,"KALUSH, Skofka",Додому (feat. Skofka),Columbia Local,2,25,85,62757,UA,0,0
31,spotify:track:3RKjTYlQrtLXCq5ncswBPp,Baby Tate,"Hey, Mickey!",Yung Baby Tate,13,13,4,62169,0,0,OTHER
32,spotify:track:7nnMUJP7WE9Fg1yoO9jg89,"SadSvit, ARCHEZ",Твоя душа,Svit music,21,27,3,61678,UA,0,0
33,spotify:track:0wGbyS1tExQSwOYu6UceyE,"ONIMXRU, SMITHMANE",SHADOW,ONIMXRU x SMITHMANE,13,39,26,60945,0,RU,0
34,spotify:track:3gVhsZtseYtY1fMuyYq06F,Rammstein,Sonne,Vertigo Berlin,26,33,22,60792,0,0,OTHER
35,spotify:track:20SSuP71R4A88qHQu4BKY6,KOLA,Біля серця,Universal Music Polska Sp. Z.o.o (Ukraine Distribution Deals),13,37,21,60394,UA,0,0
36,spotify:track:4oHEJ5KPf9hW1pDyQYIRIw,"Aarne, BUSHIDO ZHO, ANIKV",Тесно,AA Team,1,46,27,58676,0,RU,0
37,spotify:track:2kLmAwQCBSlvtcptioAoTv,LOVV66,5IVE,LOVV66,15,36,7,58407,0,RU,0
38,spotify:track:2BH3j05ZXWr5PR30sW079d,Isolate.exe,Crystals,Isolate.exe,30,48,23,58034,0,0,OTHER
39,spotify:track:01kfSdF9zfcDLri5sSWEoL,Dxrk ダーク,RAVE,Dxrk,5,43,45,57969,0,0,OTHER
40,spotify:track:3XOcTnIA8aGpil8h76eH7N,zxcursed,mana break,zxcursed,2,35,17,57742,0,RU,0
41,spotify:track:7uHFrsclJjAhONLcc8grZU,"VovaZiLvova, Morphom",Шукав тебе. Знайшов тебе,Hitwonder,41,69,38,57408,UA,0,0
42,spotify:track:3IuQWB6BsGFc55IOCOGzBK,SadSvit,Персонажі,Independent,42,50,16,56763,UA,0,0
43,spotify:track:3bKxhUuoRvSRwIdyZfQa3F,"Artem Pivovarov, DOROFEEVA",Думи,MOЗGI Entertainment,32,32,36,56754,UA,0,0
44,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,25,45,23,56263,0,0,OTHER
45,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,Revenge,Bad Vibes Forever / EMPIRE,34,55,50,55747,0,0,OTHER
46,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,14,44,73,55583,0,0,OTHER
47,spotify:track:4NgherJDfCXWBZBYheM4jK,Kxllswxtch,WASTE,KILL! / EMPIRE,23,53,15,55546,0,0,OTHER
48,spotify:track:2vHzOWRKYPLu8umRPIFuOq,"KALUSH, Kalush Orchestra",Stefania (Kalush Orchestra),Columbia Local,1,38,52,55081,UA,0,0
49,spotify:track:4LKfJMumpW7HyBT05uXYUx,Khrystyna Soloviy,Тримай,"ТОВ ""Суперсиметрія""",8,58,51,55079,UA,0,0
50,spotify:track:6bCLkzoE3agC7Ws9NxVxIn,KRBK,Крепче,KRBK,50,143,7,54696,UA,0,0
51,spotify:track:4N822HhhcRrVKuX3Ni9L0T,100лиця,Чорнобрива,Moon Vinyl s.r.o.,30,57,18,53687,UA,0,0
52,spotify:track:5BY094QwLvZFh737Ytvgpy,Big Baby Tape,Like A G6,Effective Records,6,28,8,53385,0,RU,0
53,spotify:track:0iUrxveyNUBfj0cqjYEijt,MoonDeity,NEON BLADE,MoonDeity,14,52,36,53141,0,0,OTHER
54,spotify:track:72iyEnh9p6PoyJoEnAJDjO,"SCXR SOUL, Sx1nxwy",DEMONS IN MY SOUL,SCXR SOUL,26,54,18,52391,UA,0,0
55,spotify:track:0olubSy8HbZBrCJlSHV7ex,Кишлак,Я уёбываю в джаз,KISS KOALA,55,61,35,51821,0,RU,0
56,spotify:track:3EkGH0yreaWUFAXBil8rmH,"KALUSH, Skofka",Файна (feat. Skofka),Columbia Local,13,47,49,51410,UA,0,0
57,spotify:track:7dpget8s2QN51jYbNqVYtG,Quest Pistols,Ти неймовірна,PAPA MUSIC,48,51,8,50125,UA,0,0
58,spotify:track:3pube0HS3OSWDVIpQfU0Q0,100лиця,Троянди,Naprocente music,58,94,3,49995,UA,0,0
59,spotify:track:5TJmu6WB8JNMNTt8XumcP1,SODA LUV,ЯЛРС,CPLUS,59,91,3,49805,0,RU,0
60,spotify:track:09NXCjWIBMQDQLOv6AMyDN,MBreeze,Окупанту,A-post,60,146,18,49496,UA,0,0
61,spotify:track:2WzAAerBvZvvFXgUpSwHZ9,"PLAYAMANE, Nateki",MIDNIGHT,PLAYAMANE,6,66,39,49449,0,0,OTHER
62,spotify:track:6gtK39SLszESqJFu2SkId3,Wellboy,Додому,PAPA MUSIC,62,68,6,49331,UA,0,0
63,spotify:track:26yvlxKTtN2u3mpbl6AIeI,FACE,Антидепрессант,Face,63,71,47,48976,0,RU,0
64,spotify:track:11BKm0j4eYoCPPpCONAVwA,Lady Gaga,Bloody Mary,Interscope,3,49,11,48495,0,0,OTHER
65,spotify:track:0pWMr82unREASQGFJrrI5S,Artem Pivovarov,Маніфест,BEST MUSIC,40,40,6,48232,UA,0,0
66,spotify:track:6RmlamfS2Supq8wARlY0QQ,"10AGE, Ramil'",Ау,Rhymes Music Inc.,26,65,90,48047,0,RU,0
67,spotify:track:0VGLb6IeeG5ZqonN5EavDu,КАКАЯ РАЗНИЦА,Рассвет,Какая Разница,29,89,60,47268,0,RU,0
68,spotify:track:7KmbiagSkUbepU88x7NWjb,Kordhell,Scopin,Kordhell,68,88,8,47143,0,0,OTHER
69,spotify:track:33s2G0h9EOdyaKlKr15ngE,"Skofka, KALUSH",Батьківщина,Columbia Local,18,67,8,46822,UA,0,0
70,spotify:track:7itGrDB969S4fJc4GDodiA,INSTASAMKA,POPSTAR,NaMneCash Music,1,72,21,46763,0,RU,0
71,spotify:track:1NMcQpg1J5RaUxPTLifSnq,SHUMEI,Біля тополі,Art Sound Media,24,159,32,46628,UA,0,0
72,spotify:track:3CLSHJv5aUROAN2vfOyCOh,DVRST,Close Eyes,DVRST,6,75,87,46568,0,RU,0
73,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,54,64,10,46550,0,0,OTHER
74,spotify:track:5mGns7qagKDzP4L2YC5ea2,"Chico, Qatoshi",Допоможе ЗСУ,Naprocente music,5,62,41,46408,UA,0,0
75,spotify:track:1KEv0es8xWsrPU7VSFiZym,"Lumi Athena, jnhygs",SMOKE IT OFF!,25/7 Records LLC.,11,80,5,46368,0,0,OTHER
76,spotify:track:7HTg62Q8pSIO5QRxvCDc0X,"Golubenko, Clonnex",Мила,BEST MUSIC,64,78,14,46114,UA,0,0
77,spotify:track:0wpkj8A7T1CjIul0XQtkqK,SadSvit,Молодість,Independent,56,70,41,45921,UA,0,0
78,spotify:track:2kWuVqpxPnj131Z53vxF98,"alyona alyona, Jerry Heil, ela.",KUPALA,Columbia Local,4,59,31,45904,UA,0,0
79,spotify:track:1qC93FzhcsGUFG2ZvcQzrT,Valentin Strykalo,Так гріє,Валентин Стрыкало,34,82,47,45610,UA,0,0
80,spotify:track:2PqtiIAHQhZfOH5GTAonYt,MamaRika,Kava,MamaRika,77,85,41,45608,UA,0,0
81,spotify:track:1qDqswcqJ7QxtbVlDv5P6W,"Taras Chubay, Плач Єремії",Вона,Comp Music Ltd,44,74,47,45435,UA,0,0
82,spotify:track:7giM1afPSppWJMFLtXriGC,"Big Baby Tape, kizaru",Bandana,KISS KOALA,1,186,65,45429,0,RU,0
83,spotify:track:5Z8YDahqRCzMQRwKZPk5dC,"Big Baby Tape, kizaru",Million,KISS KOALA,2,139,68,45105,0,RU,0
84,spotify:track:7mCemRaeeezaB97MPPkhfG,BALKON,Відьми,BALKON,37,63,8,44846,UA,0,0
85,spotify:track:5u6TLP2prHSvtKi0SPUKFI,SKYLERR,Хвилями,FoxLab,85,133,3,44749,UA,0,0
86,spotify:track:0SzgZTPTdQyBzDKvrq8VlR,ENLEO,веди мене в храм,SADNESS RCRDS,72,77,11,44676,UA,0,0
87,spotify:track:714gZqwzaj9MrjyDGPWq1c,YAKTAK,Вродлива,YAKTAK,87,150,3,44177,UA,0,0
88,spotify:track:1aXV8GrmQLvgoFtBPERP7E,Eyedress,Jealous,Lex Records,77,108,51,43803,0,0,OTHER
89,spotify:track:0gucTLf7trAf37Ua1uAyAu,Nirvana,Smells Like Teen Spirit,Geffen,76,97,110,43660,0,0,OTHER
90,spotify:track:4ZhLYdmhWdPTZcnAy9SZZO,ПОЛМАТЕРИ,ярче звёзд,"Streaming Club, under exclusive license to Rhymes Music Inc.",12,121,40,43626,0,RU,0
91,spotify:track:6keRNvHKCOhmySQa1jCX8P,"KALUSH, Tember Blanche",Калуські вечорниці (feat. Tember Blanche),Columbia Local,5,86,60,43529,UA,0,0
92,spotify:track:64epifHS5CvRUVgKEDbRJm,ПОЛМАТЕРИ,маша,"Streaming club, under exclusive license to Rhymes Music Inc.",36,73,7,43385,0,RU,0
93,spotify:track:1n7AVWNbLx5OUhItzDTj4A,Jerry Heil,#ПОШТА,Secret Service Digital & Publishing LTD,34,87,45,43286,UA,0,0
94,spotify:track:1T4999j2QjggEXFbOlQ67P,"uglystephan, Scally Milano",Заберу,Mansion Music,1,103,28,43116,0,RU,0
95,spotify:track:67FofomixTvg50qMzivHOq,"Artem Pivovarov, NK",Там у тополі,BEST MUSIC,95,95,12,42746,UA,0,0
96,spotify:track:4woTEX1wYOTGDqNXuavlRC,"Eminem, Dina Rae",Superman,Aftermath,38,81,26,42693,0,0,OTHER
97,spotify:track:48fzAdCxamFYCHNXXLk6zn,shadowraze,showdown,Союз Мьюзик,1,104,49,42522,0,RU,0
98,spotify:track:5F9CLUvuRyku0ZdT4ljPQt,"YAKTAK, DOVI",Чекає вдома (feat. DOVI),YAKTAK,90,90,5,42518,UA,0,0
99,spotify:track:44FopWyaddRoiuNrD8hlUw,Antytila,Фортеця Бахмут,ANTYTILA,99,-1,1,42224,UA,0,0
100,spotify:track:6MlIIJwO4FxnOlrpOrS4hU,INTERWORLD,METAMORPHOSIS - Sped Up,INTERWORLD,100,111,13,42173,0,0,OTHER
101,spotify:track:34lfu3S4fIcKZRNXzbdbo7,Kordhell,Live Another Day,Kordhell,66,102,48,42042,0,0,OTHER
102,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,87,96,25,41870,0,0,OTHER
103,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,32,99,45,41835,0,0,OTHER
104,spotify:track:7wCmS9TTVUcIhRalDYFgPy,Pixies,Where Is My Mind? - Remastered,4AD,104,117,21,41798,0,0,OTHER
105,spotify:track:0K5arhAxYWj7QxFhpKJe6z,ooes,последнее лето,rabstvo,105,182,7,41765,0,RU,0
106,spotify:track:2c1LybaNhIwsNVNrr4wjLG,Папин Олимпос,Официантка,"Streaming Club, under exclusive license to Rhymes Music Inc.",90,93,6,41599,0,RU,0
107,spotify:track:4jvw60Iw8LpSRJwy1sOmoB,Шайни,Yeyo!,Mansion Music,7,116,52,40931,0,RU,0
108,spotify:track:7biChppM3c8q7qcVl7ceb2,FACE,ЛАБИРИНТ,Face,8,79,60,40888,0,RU,0
