rank,track_name,artist_names,streams,URL,,,,UA,RU,OTHER
1,astral step,shadowraze,271931,https://open.spotify.com/track/47iHvzU9Po0e6raFlgLBOF,,,,0,RU,0
2,МАЛИНОВАЯ ЛАДА,GAYAZOV$ BROTHER$,170813,https://open.spotify.com/track/77B4S4jkrAkL3Ng5hEHoUU,,,,0,RU,0
3,Лёд,WENARO,164063,https://open.spotify.com/track/7D8k995g6jdie4NF1E7Tpu,,,,0,RU,0
4,Фотографирую закат,fem.love,160356,https://open.spotify.com/track/1ghdJUMhmLEpUitNwyNMWH,,,,0,RU,0
5,shadowfiend,shadowraze,129188,https://open.spotify.com/track/0xEET0hVtwAEI5iVMWmD5C,,,,0,RU,0
6,ТОЛПЫ КРИЧАТ,uniqe,122368,https://open.spotify.com/track/3mcw4dkjfzj5B4Ago9NSmN,,,,0,RU,0
7,juggernaut (Prod. by PLVSTIC),shadowraze,122239,https://open.spotify.com/track/57V0VhEg1CAkPXeaCLikNW,,,,0,RU,0
8,плачь,rizza,119954,https://open.spotify.com/track/3yCKABoZU3FVFuyVBc5VlM,,,,0,RU,0
9,99 Problems,Big Baby Tape,119819,https://open.spotify.com/track/0r9fpWPI6z3V3YZXIiVaNC,,,,0,RU,0
10,баночка с окурками,КОСМОНАВТОВ НЕТ,113320,https://open.spotify.com/track/7j6eSKC2Hv3lcElPyR1bP3,,,,0,RU,0
11,psiblades,shadowraze,109743,https://open.spotify.com/track/3auzaPW4fXa8oI4KbTalAU,,,,0,RU,0
12,Aomine Daiki,quiizzzmeow,108377,https://open.spotify.com/track/5X1FYw7MXEgnPmQAYwAa0q,,,,0,RU,0
13,Million,Big Baby Tape,107252,https://open.spotify.com/track/4umjgYILQbHyV41ZmaemQm,,,,0,RU,0
14,Bandana,Big Baby Tape,105175,https://open.spotify.com/track/16AzcbKli3UQsxj491hJLQ,,,,0,RU,0
15,1000-7,shadowraze,104111,https://open.spotify.com/track/2IMrzJTRHGndoUbM39QIJ7,,,,0,RU,0
16,Кожура,ZAPOMNI,101765,https://open.spotify.com/track/1OeGvzNcGC2s6F41lmCdjA,,,,0,RU,0
17,МЯТОЙ - remix 2010,КОСМОНАВТОВ НЕТ,93496,https://open.spotify.com/track/0ZGHCIFlJWqwB4TpG8LFbe,,,,0,RU,0
18,Лифон,uniqe,91811,https://open.spotify.com/track/1vLBDj2hhzAVskV5OUQ5d2,,,,0,RU,0
19,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,88531,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o,,,,0,0,OTHER
20,За всех,MACAN,88370,https://open.spotify.com/track/7uJlcGDXjx8Ha6t8kWFlxf,,,,0,RU,0
21,Я всё решу (Intro),ZAPOMNI,87082,https://open.spotify.com/track/3sRsr0TzQ1gMEEzJfWf9cW,,,,0,RU,0
22,Барбисайз,Дора,86899,https://open.spotify.com/track/1AMf9lmFOmLmb0e57QB78e,,,,0,RU,0
23,ВЛЮБИЛАСЬ,Big Baby Tape,83814,https://open.spotify.com/track/3bbkkPpf8AdRU6DurnvoC4,,,,0,RU,0
24,Marmalade,Miyagi & Andy Panda,82627,https://open.spotify.com/track/7rvEwAILTqxBpdIyUifkE8,,,,0,RU,0
25,Close Eyes,DVRST,82393,https://open.spotify.com/track/3CLSHJv5aUROAN2vfOyCOh,,,,0,RU,0
26,Baby mama,Skryptonite,76101,https://open.spotify.com/track/5X33A2X2OuQXUOKhawWCMm,,,,0,RU,0
27,Первый раз - remix nevroz,JojoHF,73241,https://open.spotify.com/track/1zE2dRkxtOLEOubAmqcHX3,,,,0,RU,0
28,ПОЧЕМУ?,MORGENSHTERN,72919,https://open.spotify.com/track/6TYmpWMxhqv0TVtiAIwzBW,,,,0,RU,0
