rank,track_name,artist_names,streams,URL,,,,UA,RU,OTHER
1,astral step,shadowraze,189464,https://open.spotify.com/track/47iHvzU9Po0e6raFlgLBOF,,,,0,RU,0
2,Кожура,ZAPOMNI,182215,https://open.spotify.com/track/1OeGvzNcGC2s6F41lmCdjA,,,,0,RU,0
3,баночка с окурками,КОСМОНАВТОВ НЕТ,138110,https://open.spotify.com/track/7j6eSKC2Hv3lcElPyR1bP3,,,,0,RU,0
4,99 Problems,Big Baby Tape,135602,https://open.spotify.com/track/0r9fpWPI6z3V3YZXIiVaNC,,,,0,RU,0
5,Million,Big Baby Tape,126688,https://open.spotify.com/track/4umjgYILQbHyV41ZmaemQm,,,,0,RU,0
6,Bandana,Big Baby Tape,118228,https://open.spotify.com/track/16AzcbKli3UQsxj491hJLQ,,,,0,RU,0
7,Лёд,WENARO,111237,https://open.spotify.com/track/7D8k995g6jdie4NF1E7Tpu,,,,0,RU,0
8,Лифон,uniqe,102316,https://open.spotify.com/track/1vLBDj2hhzAVskV5OUQ5d2,,,,0,RU,0
9,Буревестник,Miyagi & Andy Panda,102243,https://open.spotify.com/track/0YMRW5mlu9bUCWeRMZfB32,,,,0,RU,0
10,плачь,rizza,101184,https://open.spotify.com/track/3yCKABoZU3FVFuyVBc5VlM,,,,0,RU,0
11,Барбисайз,Дора,98527,https://open.spotify.com/track/1AMf9lmFOmLmb0e57QB78e,,,,0,RU,0
12,Marmalade,Miyagi & Andy Panda,95863,https://open.spotify.com/track/7rvEwAILTqxBpdIyUifkE8,,,,0,RU,0
13,ВЛЮБИЛАСЬ,Big Baby Tape,94828,https://open.spotify.com/track/3bbkkPpf8AdRU6DurnvoC4,,,,0,RU,0
14,Фотографирую закат,fem.love,93750,https://open.spotify.com/track/1ghdJUMhmLEpUitNwyNMWH,,,,0,RU,0
15,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,91610,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ,,,,0,0,OTHER
16,МЯТОЙ - remix 2010,КОСМОНАВТОВ НЕТ,86525,https://open.spotify.com/track/0ZGHCIFlJWqwB4TpG8LFbe,,,,0,RU,0
17,juggernaut (Prod. by PLVSTIC),shadowraze,84977,https://open.spotify.com/track/57V0VhEg1CAkPXeaCLikNW,,,,0,RU,0
18,ТОЛПЫ КРИЧАТ,uniqe,83333,https://open.spotify.com/track/3mcw4dkjfzj5B4Ago9NSmN,,,,0,RU,0
19,shadowfiend,shadowraze,82791,https://open.spotify.com/track/0xEET0hVtwAEI5iVMWmD5C,,,,0,RU,0
20,psiblades,shadowraze,77125,https://open.spotify.com/track/3auzaPW4fXa8oI4KbTalAU,,,,0,RU,0
21,Вина (feat. 17 SEVENTEEN),OG Buda,76134,https://open.spotify.com/track/1Kp2TF4fFYjJPqEMf1U0RK,,,,0,RU,0
22,Aomine Daiki,quiizzzmeow,74346,https://open.spotify.com/track/5X1FYw7MXEgnPmQAYwAa0q,,,,0,RU,0
23,Close Eyes,DVRST,73652,https://open.spotify.com/track/3CLSHJv5aUROAN2vfOyCOh,,,,0,RU,0
24,1000-7,shadowraze,72223,https://open.spotify.com/track/2IMrzJTRHGndoUbM39QIJ7,,,,0,RU,0
25,TRAXXXMANIA,GONE.Fludd,71454,https://open.spotify.com/track/2rowi7dF3AqhugMtAnvQmP,,,,0,RU,0
26,Baby mama,Skryptonite,70147,https://open.spotify.com/track/5X33A2X2OuQXUOKhawWCMm,,,,0,RU,0
27,STAY (with Justin Bieber),The Kid LAROI,69843,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,,,,0,0,OTHER
28,СОЛНЦЕ МОНАКО,Lusia Chebotina,67915,https://open.spotify.com/track/5YDBHDEIgWkfairCJgGApW,,,,0,RU,0
29,Sacrifice,The Weeknd,67631,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU,,,,0,0,OTHER
30,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,64888,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk,,,,0,0,OTHER
31,Jungle - Radio Edit,Emma Louise,64780,https://open.spotify.com/track/7CIcArZw3IdxTBWuXY484Q,,,,0,0,OTHER
