rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
1,spotify:track:2jkyPVk1nbpsZD0KAS98Zw,ThxSoMch,SPIT IN MY FACE!,Elektra (NEK),1,-1,2,241572,0,0,OTHER
2,spotify:track:61BaxM1NIcadLu3gtWm2uT,"SadSvit, СТРУКТУРА ЩАСТЯ",Силуети,Svit music,1,1,4,224173,UA,0,0
3,spotify:track:3XOcTnIA8aGpil8h76eH7N,zxcursed,mana break,A+,2,2,6,137713,0,RU,0
4,spotify:track:1I08Gc6g5fK9zEWNZASQzq,kizaru,Мне это не нужно,Effective Records / Haunted Family,4,-1,1,115013,0,RU,0
5,spotify:track:4Yzlz45QgjUKZmN2KrK4AP,Skofka,Чути гімн,Columbia Local,1,3,17,113542,UA,0,0
6,spotify:track:5m8AUjnKQ3F6beIY23HOj5,kizaru,Murder Rate,Effective Records / Haunted Family,6,-1,1,110717,0,RU,0
7,spotify:track:38Jz5IUEXhwvI8c9GKODQU,kizaru,Break Up,Effective Records / Haunted Family,7,-1,1,100016,0,RU,0
8,spotify:track:6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Kordhell,3,5,32,99238,0,0,OTHER
9,spotify:track:3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),EMI,1,4,9,98769,0,0,OTHER
10,spotify:track:4s1vFYAbvaSsy0gIjuqPuf,SOSKA 69,Басы долбят,KISS KOALA,6,6,4,89942,0,RU,0
11,spotify:track:2RLSglgOlte1k6VHGFJ9fx,kizaru,Jefe,Effective Records / Haunted Family,11,-1,1,83729,0,RU,0
12,spotify:track:37F7E7BKEw2E4O2L7u0IEp,Freddie Dredd,Limbo,Doomshop Records/RCA Records,12,18,4,81241,0,0,OTHER
13,spotify:track:2ksyzVfU0WJoBpu8otr4pz,INTERWORLD,METAMORPHOSIS,INTERWORLD,8,8,19,80099,0,0,OTHER
14,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Aftermath,2,9,6,78592,0,0,OTHER
15,spotify:track:21LIoC4ZxT3F8xq9gidNbX,xxxmanera,Never Broke Again,steezy,1,7,23,75151,0,RU,0
16,spotify:track:1960eLfa8hLUNq9jWFHe5V,kizaru,Serial Killa,Effective Records / Haunted Family,16,-1,1,74156,0,RU,0
17,spotify:track:5Zlb01Jcn0Ld49zazzZJSB,"TWISTED, Oliver Tree",WORTH NOTHING - Fast & Furious: Drift Tape/Phonk Vol 1,Artist Partner Group – FF10,13,13,4,70330,0,0,OTHER
18,spotify:track:7kKTYTHULdERuHGCkVyLVD,"KALUSH, Skofka",Додому (feat. Skofka),Columbia Local,2,11,74,69891,UA,0,0
19,spotify:track:1tGPI2ezxGY8pWqtrMlA8a,kizaru,If I Could Teach the World,Effective Records / Haunted Family,19,-1,1,69093,0,RU,0
20,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,8,12,28,68713,0,0,OTHER
21,spotify:track:4xr9KGCh5JgqkQ2fy1MWjy,kizaru,Как всё идёт,Effective Records / Haunted Family,21,-1,1,68511,0,RU,0
22,spotify:track:4oHEJ5KPf9hW1pDyQYIRIw,"Aarne, BUSHIDO ZHO, ANIKV",Тесно,AA Team,1,10,16,68270,0,RU,0
23,spotify:track:0DsodfNYCTLZR1KIijxX9R,kizaru,Ride Wid Me,Effective Records / Haunted Family,23,-1,1,68062,0,RU,0
24,spotify:track:6JrGELYUIbZvBV74j4Q5LN,ENLEO,інша любов,SADNESS RCRDS,6,17,19,65938,UA,0,0
25,spotify:track:6RvSXXR5TuAgeeUSxZAUBx,kizaru,Get Money Fuck Fame,Effective Records / Haunted Family,25,-1,1,65739,0,RU,0
26,spotify:track:16WlhschGG4VKhPQNY5dD9,kizaru,Тебя любят там где меня нет,Effective Records / Haunted Family,26,-1,1,65246,0,RU,0
27,spotify:track:5Sk39LuvdwuvL84jD01Dum,"MUPP, Sadfriendd",vendetta!,Sadfriendd x MUPP,3,16,26,64938,0,RU,0
28,spotify:track:5dSOtyf70O6fG1xm4xFeTD,"KALUSH, Kalush Orchestra, The Rasmus",In The Shadows Of Ukraine (feat. The Rasmus),Columbia Local,8,15,5,63451,UA,0,0
29,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,16,19,112,62570,0,0,OTHER
30,spotify:track:4NgherJDfCXWBZBYheM4jK,Kxllswxtch,WASTE,KILL! / EMPIRE,23,23,4,61650,0,0,OTHER
31,spotify:track:799MQETLJYrGiQANpKOsAi,"MORGENSHTERN, kizary",Double Cup,Bugatti Music,31,-1,1,61508,0,RU,0
32,spotify:track:5kN5giPfTSmMnajJ7Ytv4K,kizaru,Lu4she,Effective Records / Haunted Family,32,-1,1,61323,0,RU,0
33,spotify:track:4MQmxIxM5CXKjdq4IrCWhd,SadSvit,Касета,Independent,14,14,32,60852,UA,0,0
34,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,14,24,62,60771,0,0,OTHER
35,spotify:track:5FkJHVudUByVjanCqFXRql,Mr.Kitty,After Dark,Juggernaut Music Group,12,27,109,60436,0,0,OTHER
36,spotify:track:01kfSdF9zfcDLri5sSWEoL,Dxrk ???,RAVE,Dxrk,5,28,34,58006,0,0,OTHER
37,spotify:track:5BvKkMNYoZYYeTGVFhjlRv,Jerry Heil,Кохайтеся Чорнобриві,Universal Music Polska Sp. Z.o.o (Ukraine Distribution Deals),30,38,15,57670,UA,0,0
38,spotify:track:3gVhsZtseYtY1fMuyYq06F,Rammstein,Sonne,Vertigo Berlin,28,32,11,57616,0,0,OTHER
39,spotify:track:3MqaB8TndvgRZ1QSQXH7J7,SHUMEI,Біля тополі,Art Sound Media,24,26,21,55763,UA,0,0
40,spotify:track:059YaYSppRHOPojr4Rejdn,MORGENSHTERN,SHEIKH,Bugatti Music,1,20,5,55654,0,RU,0
41,spotify:track:3EkGH0yreaWUFAXBil8rmH,"KALUSH, Skofka",Файна (feat. Skofka),Columbia Local,13,21,38,55639,UA,0,0
42,spotify:track:2uNrriUaePhbbmsXT8HQJU,INSTASAMKA,POPSTAR,NaMneCash Music,1,22,10,55320,0,RU,0
43,spotify:track:5ABaMuQrxItEe5zv6cHR7u,kizaru,Ha Ha Ha,Effective Records / Haunted Family,43,-1,1,54520,0,RU,0
44,spotify:track:7g9brrz6mR8dm1kwYFwnRx,"YARMAK, ALISA",ДИКЕ ПОЛЕ,Yarmak music,29,29,26,54501,UA,0,0
45,spotify:track:2zHLOJoeSs3OpW8aR19AuS,uglystephan,Хэллоу Китти,Mansion Music,45,-1,1,54009,0,RU,0
46,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,Revenge,Bad Vibes Forever / EMPIRE,39,41,39,52791,0,0,OTHER
47,spotify:track:2vHzOWRKYPLu8umRPIFuOq,"KALUSH, Kalush Orchestra",Stefania (Kalush Orchestra),Columbia Local,1,34,41,52644,UA,0,0
48,spotify:track:0iUrxveyNUBfj0cqjYEijt,MoonDeity,NEON BLADE,MoonDeity,14,33,25,51223,0,0,OTHER
49,spotify:track:4N822HhhcRrVKuX3Ni9L0T,100лиця,Чорнобрива,Moon Vinyl s.r.o.,30,30,7,50641,UA,0,0
50,spotify:track:3bKxhUuoRvSRwIdyZfQa3F,"Artem Pivovarov, DOROFEEVA",Думи,MOЗGI Entertainment,36,39,25,50476,UA,0,0
51,spotify:track:64Qnw6jO2dnkjV9una5peq,"100лиця, SKYLERR",Вечорниці - Добрий день Everybody,Moon Vinyl s.r.o.,19,44,19,50292,UA,0,0
52,spotify:track:3pzr7iKQpV9QjLGcLcd2ic,"uglystephan, Scally Milano",Заберу,Mansion Music,1,36,17,50153,0,RU,0
53,spotify:track:0wGbyS1tExQSwOYu6UceyE,"ONIMXRU, SMITHMANE",SHADOW,ONIMXRU x SMITHMANE,13,40,15,50134,0,RU,0
54,spotify:track:2WzAAerBvZvvFXgUpSwHZ9,"PLAYAMANE, Nateki",MIDNIGHT,PLAYAMANE,6,43,28,49746,0,0,OTHER
55,spotify:track:0KlLTyELkOCPsPkNLCdNyn,PHARAOH,Соната Ей,Dead Dynasty,55,-1,1,49361,0,RU,0
56,spotify:track:20SSuP71R4A88qHQu4BKY6,KOLA,Біля серця,Universal Music Polska Sp. Z.o.o (Ukraine Distribution Deals),13,37,10,49299,UA,0,0
57,spotify:track:6KvQKU21c1ZGEoOajKfim0,Skofka,Не забудем і не пробачим,Columbia Local,32,46,22,47972,UA,0,0
58,spotify:track:52oUDxzoJlMcSx2mIQ7JnJ,"Nikitata, FindMyName",ESCORT,Goost Music,7,25,3,47681,0,RU,0
59,spotify:track:73vIOb4Q7YN6HeJTbscRx5,"Oliver Tree, Robin Schulz",Miss You,Atlantic Records,50,50,8,47372,0,0,OTHER
60,spotify:track:5mGns7qagKDzP4L2YC5ea2,"Chico, Qatoshi",Допоможе ЗСУ,Naprocente music,5,49,30,46689,UA,0,0
61,spotify:track:7bvl0wSkJ7AzfbXwRGJDSy,"LIL KRYSTALLL, Лоя (5sta Family)",Я БУДУ,LIL KRYSTALLL,6,31,5,46424,0,RU,0
62,spotify:track:3tAQNhm1o0kzldsI5QkrB1,Aerosmith,Dream On,Aerosmith P&D - Sony,62,110,3,46237,0,0,OTHER
63,spotify:track:489WGIBYPf4nallnJOHpK6,"Chico, Qatoshi",Ластівки,Naprocente music,7,47,23,45442,UA,0,0
64,spotify:track:0VGLb6IeeG5ZqonN5EavDu,КАКАЯ РАЗНИЦА,Рассвет,Какая Разница,29,42,49,45287,0,RU,0
65,spotify:track:7mLWNwcvwRdEviz6SfYp8A,g3ox_em,GigaChad Theme - Phonk House Version,g3ox_em,55,55,5,44426,0,0,OTHER
66,spotify:track:6HMk2bFT4VkIWwIAmDCqHj,"Poshlaya Molly, HOFMANNITA",#HABIBATI,DROPBLED,8,35,7,43971,0,RU,0
67,spotify:track:4woTEX1wYOTGDqNXuavlRC,"Eminem, Dina Rae",Superman,Aftermath,38,52,15,43650,0,0,OTHER
68,spotify:track:72iyEnh9p6PoyJoEnAJDjO,"SCXR SOUL, Sx1nxwy",DEMONS IN MY SOUL,SCXR SOUL,68,69,7,43521,UA,0,0
69,spotify:track:6BfnNid8w0UyZqzR2mx1HB,"Молодой Платон, Poshlaya Molly, Yanix","DON'T PLAY, BAE",Zion Music,21,45,10,43462,0,RU,0
70,spotify:track:73HVRUpTeY48oFcc1RMfVs,Skofka,Ой на ой,Columbia Local,41,71,18,42653,UA,0,0
71,spotify:track:5ZNmRNEc0i3o8sP9NKqsvQ,jockii druce,боі стули пельку,3761125 Records DK,2,48,16,42623,UA,0,0
72,spotify:track:0EPK3XVvgbe8q0KrS7nEiY,АДЛИН,Dead Inside,Союз Мьюзик,17,53,18,42498,0,RU,0
73,spotify:track:3CLSHJv5aUROAN2vfOyCOh,DVRST,Close Eyes,DVRST,6,57,76,42174,0,RU,0
74,spotify:track:48fzAdCxamFYCHNXXLk6zn,shadowraze,showdown,Союз Мьюзик,1,58,38,41938,0,RU,0
75,spotify:track:7kXNWZbHd8ojf6H08XMdtC,IVOXYGEN,Young Kid,Red Cross,75,173,7,41875,0,0,OTHER
76,spotify:track:7HTg62Q8pSIO5QRxvCDc0X,"Golubenko, Clonnex",Мила,BEST MUSIC,64,64,3,41206,UA,0,0
77,spotify:track:2BH3j05ZXWr5PR30sW079d,Isolate.exe,Crystals,Isolate.exe,72,73,12,41143,0,0,OTHER
78,spotify:track:2kWuVqpxPnj131Z53vxF98,"alyona alyona, Jerry Heil, ela.",KUPALA,Columbia Local,4,59,20,40529,UA,0,0
79,spotify:track:4LVrOvwpUuJFP2JsIGTptg,KOLA,Чи разом,BEST MUSIC,13,56,25,40091,UA,0,0
80,spotify:track:4ikCWgaaGLKgb724CUNnqZ,Кореш,глаза не врут,cplus,3,79,26,39556,0,RU,0
81,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,25,72,12,39442,0,0,OTHER
82,spotify:track:5Iuwed4U0EhaQTKDTmCTWI,zxcursed,never enough,A+,4,66,37,38290,0,RU,0
83,spotify:track:38sNsooZ7WRWAZkQnpHZcG,Wellboy,Ворогів на ножі,Wellboy,76,76,19,38244,UA,0,0
84,spotify:track:6keRNvHKCOhmySQa1jCX8P,"KALUSH, Tember Blanche",Калуські вечорниці (feat. Tember Blanche),Columbia Local,5,63,49,38189,UA,0,0
85,spotify:track:3NjAwkM75GH3cvfV9zRtv8,BUSHIDO ZHO,vodila,cplus,1,68,21,37901,0,RU,0
86,spotify:track:5waJ2AZCEWt9mJPFBwvZp2,Xolidayboy,Моя хулиганка,Banana Music,61,61,3,37724,0,RU,0
87,spotify:track:7uHFrsclJjAhONLcc8grZU,"VovaZiLvova, Morphom",Шукав тебе. Знайшов тебе,Hitwonder,54,54,27,37502,UA,0,0
88,spotify:track:1qDqswcqJ7QxtbVlDv5P6W,"Taras Chubay, Плач Єремії",Вона,Comp Music Ltd,44,62,36,36799,UA,0,0
89,spotify:track:6nqdgUTiWt4JbABDurkxMI,Hensonn,Sahara,Hensonn,47,84,53,36140,UA,0,0
90,spotify:track:1aXV8GrmQLvgoFtBPERP7E,Eyedress,Jealous,Lex Records,89,89,40,36111,0,0,OTHER
91,spotify:track:5Z8YDahqRCzMQRwKZPk5dC,"Big Baby Tape, kizaru",Million,KISS KOALA,2,60,57,35436,0,RU,0
92,spotify:track:0gucTLf7trAf37Ua1uAyAu,Nirvana,Smells Like Teen Spirit,Geffen,76,78,99,35312,0,0,OTHER
93,spotify:track:0wpkj8A7T1CjIul0XQtkqK,SadSvit,Молодість,Independent,56,87,30,35149,UA,0,0
94,spotify:track:0fLampmh4qsOLGitXM171a,PLOHOYPAREN,Таблетка,И.С.Б,26,67,43,35033,0,RU,0
95,spotify:track:34lfu3S4fIcKZRNXzbdbo7,Kordhell,Live Another Day,Kordhell,66,83,37,34906,0,0,OTHER
96,spotify:track:4GC6tlXcAsyp4pNrlyo1pb,Odyn v Kanoe,У мене немає дому,Kanoemusic,37,82,37,34792,UA,0,0
97,spotify:track:67FofomixTvg50qMzivHOq,"Artem Pivovarov, NK",Там у тополі,BEST MUSIC,97,114,2,34785,UA,0,0
98,spotify:track:1P9oRiZJWnxe2pZmYUZ5eC,Skryptonite,Это любовь,Gazgolder Records,78,93,89,34784,0,RU,0
99,spotify:track:6Ox1rvlwEpB49drasQm6RF,Lil Peep,Star Shopping,Lil Peep,53,86,122,34657,0,0,OTHER
100,spotify:track:47iHvzU9Po0e6raFlgLBOF,shadowraze,astral step,Союз Мьюзик,1,77,56,34552,0,RU,0
101,spotify:track:5FX30idriKlEIRYTxpNf65,KUTE,AVOID ME,KUTE,61,91,28,34509,0,0,OTHER
102,spotify:track:7DbdUf8aHSYoliSjO6LZv6,Beach Weather,"Sex, Drugs, Etc.",8123 / Arista Records,101,122,18,33962,0,0,OTHER
103,spotify:track:1bDbXMyjaUIooNwFE9wn0N,"Drake, 21 Savage",Rich Flex,OVO / Republic Records,74,74,3,33562,0,0,OTHER
104,spotify:track:09NXCjWIBMQDQLOv6AMyDN,MBreeze,Окупанту,A-post,104,132,7,33406,UA,0,0
105,spotify:track:4jvw60Iw8LpSRJwy1sOmoB,Шайни,Yeyo!,Mansion Music,7,70,41,33310,0,RU,0
106,spotify:track:26yvlxKTtN2u3mpbl6AIeI,FACE,Антидепрессант,Face,74,99,36,33299,0,RU,0
107,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,87,90,14,33136,0,0,OTHER
108,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Without Me,Aftermath,94,101,25,32982,0,0,OTHER
109,spotify:track:5TK74MJYRmwU5NIAjGRvRq,"Scally Milano, uglystephan",Я хочу тебя трахать,AMC MUSIC,27,98,34,32780,0,RU,0
110,spotify:track:5JkALM9RiMKLvQNWqUiMBP,kizaru,Дежавю,KISS KOALA,1,92,124,32392,0,RU,0
111,spotify:track:1imDwppkVEsjqrAFQiyqen,MORGENSHTERN,TEASER,Bugatti Music,4,65,5,32143,0,RU,0
112,spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,45,100,18,32116,0,0,OTHER
113,spotify:track:5h1GPYuiHnhE8rO7vUWmkx,BUSHIDO ZHO,HALLOWEEN,CPLUS,50,108,4,32031,0,RU,0
114,spotify:track:2PqtiIAHQhZfOH5GTAonYt,MamaRika,Kava,MamaRika,77,85,30,31779,UA,0,0
115,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,32,107,34,31773,0,0,OTHER
116,spotify:track:6eQT52cT6wudWnOIPnv1OD,PHARAOH,Я Потратил Ночь На Поиск,Dead Dynasty,116,-1,1,31593,0,RU,0
117,spotify:track:2DHX9faMGUQQTwD1Ot4ch2,INSTASAMKA,MONEYKEN LOVE,NaMneCash Music,5,81,20,31452,0,RU,0
118,spotify:track:0JqA8n5VF8GzM36YPyeKPE,Boombox,Люди,"\""melomania\"" Llc",76,123,33,31351,UA,0,0
119,spotify:track:0o9zmvc5f3EFApU52PPIyW,Fujii Kaze,Shinunoga E-Wa,Universal Music LLC,70,80,4,31334,0,0,OTHER
120,spotify:track:1RDvyOk4WtPCtoqciJwVn8,"Jung Kook, BTS, FIFA Sound",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC,120,-1,1,31326,0,0,OTHER
121,spotify:track:7EkWXAI1wn8Ii883ecd9xr,Surf Curse,Freaks,Surf Curse,45,109,83,31090,0,0,OTHER
122,spotify:track:4LKfJMumpW7HyBT05uXYUx,Khrystyna Soloviy,Тримай,"ТОВ ""Суперсиметрія""",8,97,40,30817,UA,0,0
123,spotify:track:5RBOcBpJXaNnHCGViJmYhh,Mareux,The Perfect Girl,Revolution Records,123,147,6,30693,0,0,OTHER
124,spotify:track:3yRDM5tBS7H8HG64y3x9kw,CHEEV,Гарно так,UMPG MUSIC,33,104,21,30466,UA,0,0
125,spotify:track:4woIQ3pGTLrBPKav9VHzWV,LOVV66,10М ОТ ДОМА,LOVV66,81,88,6,30342,0,RU,0
