rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
1,spotify:track:61BaxM1NIcadLu3gtWm2uT,"SadSvit, СТРУКТУРА ЩАСТЯ",Силуети,Svit music,1,1,17,213140,UA,0,0
2,spotify:track:1N8TTK1Uoy7UvQNUazfUt5,ThxSoMch,SPIT IN MY FACE!,Elektra (NEK),1,2,15,137730,0,0,OTHER
3,spotify:track:2ksyzVfU0WJoBpu8otr4pz,INTERWORLD,METAMORPHOSIS,INTERWORLD,3,3,32,131312,0,0,OTHER
4,spotify:track:3h9XZd7ZON6LubTC3AqwzT,Parfeniuk,Провела екскурсію,ShowTime Music,4,5,11,110128,UA,0,0
5,spotify:track:6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Kordhell,3,8,45,109028,0,0,OTHER
6,spotify:track:4Yzlz45QgjUKZmN2KrK4AP,Skofka,Чути гімн,Columbia Local,1,9,30,107183,UA,0,0
7,spotify:track:4MQmxIxM5CXKjdq4IrCWhd,SadSvit,Касета,Independent,7,10,45,101539,UA,0,0
8,spotify:track:0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,Columbia,2,7,6,98609,0,0,OTHER
9,spotify:track:4g22x3fIQVUlY39ICUBB7Z,"Big Baby Tape, Aarne",HOODAK MP3,Effective Records,3,6,4,98516,0,RU,0
10,spotify:track:4PGzoH4hL1vORGOTxHdWjB,INSTASAMKA,ЗА ДЕНЬГИ ДА,NaMneCash Music,1,4,13,94765,0,RU,0
11,spotify:track:7mLWNwcvwRdEviz6SfYp8A,g3ox_em,GigaChad Theme - Phonk House Version,g3ox_em,11,12,18,87291,0,0,OTHER
12,spotify:track:0NZPBYD5qbEWRs3PrGiRkT,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),EMI,1,11,22,83007,0,0,OTHER
13,spotify:track:7krNeHssTmY3ijTox4OBbD,DOROFEEVA,Щоб не було,MOЗGI Entertainment,11,14,11,79128,UA,0,0
14,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,8,24,41,76410,0,0,OTHER
15,spotify:track:21LIoC4ZxT3F8xq9gidNbX,xxxmanera,Never Broke Again,steezy,1,15,36,76365,0,RU,0
16,spotify:track:7kKTYTHULdERuHGCkVyLVD,"KALUSH, Skofka",Додому (feat. Skofka),Columbia Local,2,19,87,75105,UA,0,0
17,spotify:track:3TzPVU3jj6YdTunVdKimiQ,"phonk.me, KIIXSHI",GHOST!,phonk.me x KIIXSHI,16,20,8,73534,UA,0,0
18,spotify:track:44FopWyaddRoiuNrD8hlUw,Antytila,Фортеця Бахмут,ANTYTILA,16,16,3,72815,UA,0,0
19,spotify:track:6JrGELYUIbZvBV74j4Q5LN,ENLEO,інша любов,SADNESS RCRDS,6,23,32,72429,UA,0,0
20,spotify:track:5FkJHVudUByVjanCqFXRql,Mr.Kitty,After Dark,Juggernaut Music Group,12,25,122,71653,0,0,OTHER
21,spotify:track:37F7E7BKEw2E4O2L7u0IEp,Freddie Dredd,Limbo,Doomshop Records/RCA Records,8,21,17,70213,0,0,OTHER
22,spotify:track:0ePYZtHRuP9NZqlkEDCaC4,"Scally Milano, 163ONMYNECK, MAYOT",Йупи Йо,Scally Milano,4,17,10,70027,0,RU,0
23,spotify:track:3IuQWB6BsGFc55IOCOGzBK,SadSvit,Персонажі,Independent,23,28,18,69903,UA,0,0
24,spotify:track:5Sk39LuvdwuvL84jD01Dum,"MUPP, Sadfriendd",vendetta!,Sadfriendd x MUPP,3,26,39,68608,0,RU,0
25,spotify:track:7iGdK8FeeKfWiLR3Ax6phw,DOROFEEVA,вотсап,MOЗGI Entertainment,15,18,4,68396,UA,0,0
26,spotify:track:5Zlb01Jcn0Ld49zazzZJSB,"TWISTED, Oliver Tree",WORTH NOTHING - Fast & Furious: Drift Tape/Phonk Vol 1,APG Inc – FF10,11,27,17,66239,0,0,OTHER
27,spotify:track:1wTopxO5eQBpxrBXPSbsUn,Lana Del Rey,A&W,Polydor Records,27,-1,1,65806,0,0,OTHER
28,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,16,30,125,65652,0,0,OTHER
29,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Aftermath,2,29,19,64488,0,0,OTHER
30,spotify:track:0wGbyS1tExQSwOYu6UceyE,"ONIMXRU, SMITHMANE",SHADOW,ONIMXRU x SMITHMANE,13,35,28,64328,0,RU,0
31,spotify:track:3gVhsZtseYtY1fMuyYq06F,Rammstein,Sonne,Vertigo Berlin,26,36,24,64025,0,0,OTHER
32,spotify:track:4VXIryQMWpIdGgYR4TrjT1,Juice WRLD,All Girls Are The Same,Juice WRLD Mixtape / ISR P&D,32,40,4,63364,0,0,OTHER
33,spotify:track:2BH3j05ZXWr5PR30sW079d,Isolate.exe,Crystals,Isolate.exe,30,38,25,63145,0,0,OTHER
34,spotify:track:7g9brrz6mR8dm1kwYFwnRx,"YARMAK, ALISA",ДИКЕ ПОЛЕ,Yarmak music,29,37,39,61660,UA,0,0
35,spotify:track:01kfSdF9zfcDLri5sSWEoL,Dxrk ???,RAVE,Dxrk,5,39,47,61488,0,0,OTHER
36,spotify:track:3hzelPptWzx0OrSDTyIuuy,Hensonn,Flare,Hensonn,20,34,7,61466,UA,0,0
37,spotify:track:4oHEJ5KPf9hW1pDyQYIRIw,"Aarne, BUSHIDO ZHO, ANIKV",Тесно,AA Team,1,33,29,61022,0,RU,0
38,spotify:track:20SSuP71R4A88qHQu4BKY6,KOLA,Біля серця,Universal Music Polska Sp. Z.o.o (Ukraine Distribution Deals),13,31,23,60804,UA,0,0
39,spotify:track:1KEv0es8xWsrPU7VSFiZym,"Lumi Athena, jnhygs",SMOKE IT OFF!,25/7 Records LLC.,11,52,7,60647,0,0,OTHER
40,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,Revenge,Bad Vibes Forever / EMPIRE,34,42,52,59505,0,0,OTHER
41,spotify:track:0olubSy8HbZBrCJlSHV7ex,Кишлак,Я уёбываю в джаз,KISS KOALA,41,44,37,59024,0,RU,0
42,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,14,45,75,59003,0,0,OTHER
43,spotify:track:2vHzOWRKYPLu8umRPIFuOq,"KALUSH, Kalush Orchestra",Stefania (Kalush Orchestra),Columbia Local,1,50,54,58980,UA,0,0
44,spotify:track:30IlQpX7dVokqnMeuf31Wj,Clonnex,Sidnytseїd,CLONNEX,12,32,4,58641,UA,0,0
45,spotify:track:373gDROnujxNTFa1FojYIl,Linkin Park,Lost,Warner Records,13,13,2,58167,0,0,OTHER
46,spotify:track:0VGLb6IeeG5ZqonN5EavDu,КАКАЯ РАЗНИЦА,Рассвет,Какая Разница,29,41,62,57651,0,RU,0
47,spotify:track:6F81SMHDIUMRyBb9bJ2ZRL,INSTASAMKA,Отключаю телефон,Gamma Music/NaMneCash Music,47,-1,1,57402,0,RU,0
48,spotify:track:3XOcTnIA8aGpil8h76eH7N,zxcursed,mana break,zxcursed,2,43,19,56771,0,RU,0
49,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,25,46,25,55720,0,0,OTHER
50,spotify:track:0R848ny5sEpVuR1tMXZNFr,INSTASAMKA,КАК MOMMY,NaMneCash Music,5,22,9,55331,0,RU,0
51,spotify:track:0pWMr82unREASQGFJrrI5S,Artem Pivovarov,Маніфест,BEST MUSIC,40,51,8,55282,UA,0,0
52,spotify:track:4N822HhhcRrVKuX3Ni9L0T,100лиця,Чорнобрива,Moon Vinyl s.r.o.,30,61,20,55181,UA,0,0
53,spotify:track:7uHFrsclJjAhONLcc8grZU,"VovaZiLvova, Morphom",Шукав тебе. Знайшов тебе,Hitwonder,41,62,40,55051,UA,0,0
54,spotify:track:26yvlxKTtN2u3mpbl6AIeI,FACE,Антидепрессант,Face,54,65,49,54916,0,RU,0
55,spotify:track:3bKxhUuoRvSRwIdyZfQa3F,"Artem Pivovarov, DOROFEEVA",Думи,MOЗGI Entertainment,32,48,38,54774,UA,0,0
56,spotify:track:3EkGH0yreaWUFAXBil8rmH,"KALUSH, Skofka",Файна (feat. Skofka),Columbia Local,13,53,51,54653,UA,0,0
57,spotify:track:0FA4wrjDJvJTTU8AepZTup,"Lil Uzi Vert, sped up nightcore, ARIZONATEARS",Watch This - ARIZONATEARS Pluggnb Remix,sped up nightcore,57,141,2,54452,0,0,OTHER
58,spotify:track:0iUrxveyNUBfj0cqjYEijt,MoonDeity,NEON BLADE,MoonDeity,14,57,38,53929,0,0,OTHER
59,spotify:track:72iyEnh9p6PoyJoEnAJDjO,"SCXR SOUL, Sx1nxwy",DEMONS IN MY SOUL,SCXR SOUL,26,63,20,53350,UA,0,0
60,spotify:track:6gtK39SLszESqJFu2SkId3,Wellboy,Додому,PAPA MUSIC,60,60,8,53116,UA,0,0
61,spotify:track:2WzAAerBvZvvFXgUpSwHZ9,"PLAYAMANE, Nateki",MIDNIGHT,PLAYAMANE,6,59,41,52806,0,0,OTHER
62,spotify:track:4LKfJMumpW7HyBT05uXYUx,Khrystyna Soloviy,Тримай,"ТОВ ""Суперсиметрія""",8,66,53,52544,UA,0,0
63,spotify:track:7biChppM3c8q7qcVl7ceb2,FACE,ЛАБИРИНТ,Face,8,92,62,52224,0,RU,0
64,spotify:track:5F9CLUvuRyku0ZdT4ljPQt,"YAKTAK, DOVI",Чекає вдома (feat. DOVI),YAKTAK,64,75,7,52050,UA,0,0
65,spotify:track:2kLmAwQCBSlvtcptioAoTv,LOVV66,5IVE,LOVV66,15,49,9,52043,0,RU,0
66,spotify:track:5TJmu6WB8JNMNTt8XumcP1,SODA LUV,ЯЛРС,CPLUS,58,58,5,51837,0,RU,0
67,spotify:track:4NgherJDfCXWBZBYheM4jK,Kxllswxtch,WASTE,KILL! / EMPIRE,23,55,17,51788,0,0,OTHER
68,spotify:track:1NMcQpg1J5RaUxPTLifSnq,SHUMEI,Біля тополі,Art Sound Media,24,68,34,50850,UA,0,0
69,spotify:track:3CLSHJv5aUROAN2vfOyCOh,DVRST,Close Eyes,DVRST,6,71,89,50523,0,RU,0
70,spotify:track:5u6TLP2prHSvtKi0SPUKFI,SKYLERR,Хвилями,FoxLab,69,69,5,50522,UA,0,0
71,spotify:track:0K5arhAxYWj7QxFhpKJe6z,ooes,последнее лето,rabstvo,70,70,9,50054,0,RU,0
