rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
1,spotify:track:3NjAwkM75GH3cvfV9zRtv8,BUSHIDO ZHO,vodila,cplus,1,-1,1,214389,0,RU,0
2,spotify:track:2vHzOWRKYPLu8umRPIFuOq,KALUSH,Stefania (Kalush Orchestra),Columbia Local,1,1,21,120867,UA,0,0
3,spotify:track:1OhtcX8IP2mQ2s5yEZ3jSN,"Arut, Big Baby Tape",VLAGA,Bugatti Music,2,2,3,100061,0,RU,0
4,spotify:track:7kKTYTHULdERuHGCkVyLVD,"KALUSH, Skofka",Додому (feat. Skofka),Columbia Local,2,4,54,91992,UA,0,0
5,spotify:track:48fzAdCxamFYCHNXXLk6zn,shadowraze,showdown,Союз Мьюзик,1,6,18,89827,0,RU,0
6,spotify:track:1U5HTINVvE7oSSscuD3Gjm,kizaru,Train Wreck,HAUNTED FAMILY,6,-1,1,87131,0,RU,0
7,spotify:track:7lcYieV34n9gHmW9wRweI2,kizaru,No Stop,HAUNTED FAMILY,7,-1,1,86624,0,RU,0
8,spotify:track:5mGns7qagKDzP4L2YC5ea2,"Chico, Qatoshi",Допоможе ЗСУ,Naprocente music,5,5,10,86395,UA,0,0
9,spotify:track:489WGIBYPf4nallnJOHpK6,"Chico, Qatoshi",Ластівки,Naprocente music,7,7,3,84719,UA,0,0
10,spotify:track:3E5Ny10emcMLPk6Myhiu0Q,"kizaru, Duke Deuce",Playa,HAUNTED FAMILY,10,-1,1,83557,0,RU,0
11,spotify:track:4tEr9oykqAlnLnaltbjoDe,To Eternity,Несмачний Мед,To Eternity,3,3,3,82814,UA,0,0
12,spotify:track:2xrPQGb3D6JGyyTvYOrXc6,kizaru,First Day Out,HAUNTED FAMILY,12,-1,1,82421,0,RU,0
13,spotify:track:21LIoC4ZxT3F8xq9gidNbX,xxxmanera,Never Broke Again,CandyFlip Music,13,14,3,82097,0,RU,0
14,spotify:track:2WzAAerBvZvvFXgUpSwHZ9,"PLAYAMANE, Nateki",MIDNIGHT,PLAYAMANE,6,8,8,78288,0,0,OTHER
15,spotify:track:0IjCnXqJTlPElz8HmIiO9p,"The Limba, MORGENSHTERN",Известным,Bugatti Music,10,10,2,76633,0,RU,0
