rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
1,spotify:track:4oHEJ5KPf9hW1pDyQYIRIw,"Aarne, BUSHIDO ZHO, ANIKV",Тесно,AA Team,1,1,5,153611,0,RU,0
2,spotify:track:4Yzlz45QgjUKZmN2KrK4AP,Skofka,Чути гімн,Columbia Local,2,3,6,144545,UA,0,0
3,spotify:track:5ZNmRNEc0i3o8sP9NKqsvQ,jockii druce,боі стули пельку,3761125 Records DK,2,2,5,132312,UA,0,0
4,spotify:track:21LIoC4ZxT3F8xq9gidNbX,xxxmanera,Never Broke Again,steezy,1,7,12,120917,0,RU,0
5,spotify:track:6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Kordhell,4,4,21,115000,0,0,OTHER
6,spotify:track:7kKTYTHULdERuHGCkVyLVD,"KALUSH, Skofka",Додому (feat. Skofka),Columbia Local,2,5,63,108022,UA,0,0
7,spotify:track:3pzr7iKQpV9QjLGcLcd2ic,"uglystephan, Scally Milano",Заберу,Mansion Music,1,8,6,99183,0,RU,0
8,spotify:track:3Hff4mCaUFKzrq05w78tEn,Clonnex,Ya Lyublyu,CLONNEX,6,6,3,98134,UA,0,0
9,spotify:track:5Sk39LuvdwuvL84jD01Dum,"MUPP, Sadfriendd",vendetta!,Sadfriendd x MUPP,3,9,15,92902,0,RU,0
10,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,10,12,17,90571,0,0,OTHER
11,spotify:track:24s8SuDR01re1GxkELG7d0,ENLEO,інша любов,SADNESS RCRDS,6,10,8,87869,UA,0,0
12,spotify:track:2vHzOWRKYPLu8umRPIFuOq,"KALUSH, Kalush Orchestra",Stefania (Kalush Orchestra),Columbia Local,1,11,30,82964,UA,0,0
13,spotify:track:3EkGH0yreaWUFAXBil8rmH,"KALUSH, Skofka",Файна (feat. Skofka),Columbia Local,13,13,27,82529,UA,0,0
14,spotify:track:2WzAAerBvZvvFXgUpSwHZ9,"PLAYAMANE, Nateki",MIDNIGHT,PLAYAMANE,6,17,17,80505,0,0,OTHER
15,spotify:track:01kfSdF9zfcDLri5sSWEoL,Dxrk ダーク,RAVE,Dxrk,5,21,23,79920,0,0,OTHER
16,spotify:track:5mGns7qagKDzP4L2YC5ea2,"Chico, Qatoshi",Допоможе ЗСУ,Naprocente music,5,15,19,79008,UA,0,0
17,spotify:track:5CYeR5CKXHYsiTQclSp7rw,Clonnex,Codeinoslav,CLONNEX,10,19,7,77407,UA,0,0
18,spotify:track:489WGIBYPf4nallnJOHpK6,"Chico, Qatoshi",Ластівки,Naprocente music,7,14,12,76425,UA,0,0
19,spotify:track:64Qnw6jO2dnkjV9una5peq,"100лиця, SKYLERR",Вечорниці - Добрий день Everybody,Moon Vinyl s.r.o.,19,20,8,75147,UA,0,0
20,spotify:track:7IRfUFRIarTp8a8Yxa83Nl,KOLA,Чи разом?,BEST MUSIC,13,16,14,75032,UA,0,0
21,spotify:track:0iUrxveyNUBfj0cqjYEijt,MoonDeity,NEON BLADE,MoonDeity,14,28,14,74858,0,0,OTHER
