rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
1,spotify:track:48fzAdCxamFYCHNXXLk6zn,shadowraze,showdown,Союз Мьюзик,1,1,9,151617,0,RU,0
2,spotify:track:1K2ORdYBMvi5h4FvQn5hpX,Мюслі UA,"Вова, їбаш їх блять",мюслі UA,2,2,5,139893,UA,0,0
3,spotify:track:2vHzOWRKYPLu8umRPIFuOq,KALUSH,Stefania (Kalush Orchestra),Columbia Local,2,3,12,127448,UA,0,0
4,spotify:track:47iHvzU9Po0e6raFlgLBOF,shadowraze,astral step,Союз Мьюзик,1,4,27,105794,0,RU,0
5,spotify:track:7kKTYTHULdERuHGCkVyLVD,"KALUSH, Skofka",Додому (feat. Skofka),Columbia Local,5,5,45,103181,UA,0,0
6,spotify:track:01kfSdF9zfcDLri5sSWEoL,Dxrk ダーク,RAVE,Dxrk,5,6,5,96309,0,0,OTHER
7,spotify:track:7D8k995g6jdie4NF1E7Tpu,"WENARO, LXNER",Лёд,SAVAGE$TATION,2,7,37,87693,0,RU,0
8,spotify:track:4LKfJMumpW7HyBT05uXYUx,Khrystyna Soloviy,Тримай,"ТОВ ""Суперсиметрія""",8,18,11,71800,UA,0,0
9,spotify:track:6keRNvHKCOhmySQa1jCX8P,"KALUSH, Tember Blanche",Калуські вечорниці (feat. Tember Blanche),Columbia Local,9,16,20,71563,UA,0,0
10,spotify:track:5it0QwktdpQ7oE33PbImkX,"Ed Sheeran, Antytila",2step (feat. Antytila),Atlantic Records UK,10,-1,1,71293,UA,0,0
11,spotify:track:16KfubI9E9AYJ5hcEdZ9TI,"OG Buda, MAYOT",Грусть 2 - Соната,RNDM CREW,11,-1,1,69800,0,RU,0
12,spotify:track:5jXocrsUwpKwWyI5BZLKFA,"shadowraze, LXNER, quiizzzmeow",adaptive strike,SAVAGE$TATION,2,9,12,69298,0,RU,0
13,spotify:track:0cCXLN9eUn6dmAgDPpZaJV,jockii druce,шо ви браття,3761125 Records DK,11,11,8,67709,UA,0,0
14,spotify:track:48jRCynldeK3WQbvd3jr73,zxcursed,never enough,A+,4,8,8,67659,0,RU,0
15,spotify:track:4CTtj8kPj9A71ON0Fb2Gvb,"OG Buda, Scally Milano, 163ONMYNECK",Грязный,RNDM CREW,15,15,2,65876,0,RU,0
16,spotify:track:6nl2T8YjOdFFnQ4xBHXfdm,"The Kiffness, Boombox",Oy U Luzi Chervona Kalyna - Army Remix,Kiff Records,10,10,8,65007,UA,0,0
17,spotify:track:5mGns7qagKDzP4L2YC5ea2,"Chico, Qatoshi",Допоможе ЗСУ,Naprocente music,17,-1,1,64412,UA,0,0
18,spotify:track:3lCZxajTCSYR5OnHPEfa2v,Cypis,Putin,Cypisolo,5,14,10,63912,0,0,OTHER
19,spotify:track:3yCKABoZU3FVFuyVBc5VlM,"rizza, Sqwore",плачь,Adam Music,6,24,30,62726,0,RU,0
20,spotify:track:4ZOjdqmXLuwHDQUn9WWoFR,Минин,Зелёный глаз,VHQ Distribution,7,12,12,62656,0,RU,0
21,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,14,17,33,62177,0,0,OTHER
22,spotify:track:5X1FYw7MXEgnPmQAYwAa0q,quiizzzmeow,Aomine Daiki,SAVAGE$TATION,1,27,31,62126,0,RU,0
23,spotify:track:1ghdJUMhmLEpUitNwyNMWH,fem.love,Фотографирую закат,A+,2,19,57,62048,0,RU,0
24,spotify:track:0O3TZYgwaRadNprRONZ7iX,PROBASS ∆ HARDI,Доброго вечора - Where Are You From,Comp Music,20,20,10,61286,UA,0,0
25,spotify:track:4jvw60Iw8LpSRJwy1sOmoB,Шайни,Yeyo!,Mansion Music,11,32,12,59752,0,RU,0
26,spotify:track:6RmlamfS2Supq8wARlY0QQ,"10AGE, Ramil'",Ау,Rhymes Music Inc.,26,26,50,58528,0,RU,0
27,spotify:track:3CLSHJv5aUROAN2vfOyCOh,DVRST,Close Eyes,DVRST,6,29,47,58209,0,RU,0
28,spotify:track:4CK9NEdPWB6rJ8N6BU20pN,ПОЛМАТЕРИ,ярче звёзд,ZVEZDOCHKA,12,21,7,58037,0,RU,0
29,spotify:track:58HvfVOeJY7lUuCqF0m3ly,Elley Duhé,MIDDLE OF THE NIGHT,Not Fit For Society/RCA Records,29,30,28,57980,0,0,OTHER
30,spotify:track:1chBlROr3nK1SwDPCdN8gv,MORGENSHTERN,Номер,MORGENSHTERN,30,-1,1,57337,0,RU,0
31,spotify:track:0zCgWGmDF0aih5qexATyBn,Mr.Kitty,After Dark,Juggernaut Music Group,31,33,80,55588,0,0,OTHER
32,spotify:track:3mcw4dkjfzj5B4Ago9NSmN,"uniqe, nkeeei, ARTEM SHILOVETS",ТОЛПЫ КРИЧАТ,steezy,1,34,32,53981,0,RU,0
33,spotify:track:3SOHFsSinxM6flLceYl5BT,MORGENSHTERN,Селяви,MORGENSHTERN,2,13,4,53964,0,RU,0
34,spotify:track:57V0VhEg1CAkPXeaCLikNW,shadowraze,juggernaut (Prod. by PLVSTIC),Союз Мьюзик,7,25,38,53726,0,RU,0
35,spotify:track:4MQmxIxM5CXKjdq4IrCWhd,SadSvit,Касета,Independent,22,22,3,53512,UA,0,0
36,spotify:track:0xEET0hVtwAEI5iVMWmD5C,shadowraze,shadowfiend,Gamma Music,5,23,35,53455,0,RU,0
