rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
1,spotify:track:61BaxM1NIcadLu3gtWm2uT,"SadSvit, СТРУКТУРА ЩАСТЯ",Силуети,Svit music,1,1,16,187511,UA,0,0
2,spotify:track:1N8TTK1Uoy7UvQNUazfUt5,ThxSoMch,SPIT IN MY FACE!,Elektra (NEK),1,2,14,140026,0,0,OTHER
3,spotify:track:2ksyzVfU0WJoBpu8otr4pz,INTERWORLD,METAMORPHOSIS,INTERWORLD,3,5,31,128593,0,0,OTHER
4,spotify:track:4PGzoH4hL1vORGOTxHdWjB,INSTASAMKA,ЗА ДЕНЬГИ ДА,NaMneCash Music,1,4,12,119224,0,RU,0
5,spotify:track:3h9XZd7ZON6LubTC3AqwzT,Parfeniuk,Провела екскурсію,ShowTime Music,4,7,10,118186,UA,0,0
6,spotify:track:4g22x3fIQVUlY39ICUBB7Z,"Big Baby Tape, Aarne",HOODAK MP3,Effective Records,3,3,3,111659,0,RU,0
7,spotify:track:0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,Columbia,2,6,5,110658,0,0,OTHER
8,spotify:track:6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Kordhell,3,8,44,107093,0,0,OTHER
9,spotify:track:4Yzlz45QgjUKZmN2KrK4AP,Skofka,Чути гімн,Columbia Local,1,9,29,105858,UA,0,0
10,spotify:track:4MQmxIxM5CXKjdq4IrCWhd,SadSvit,Касета,Independent,9,11,44,99241,UA,0,0
11,spotify:track:0NZPBYD5qbEWRs3PrGiRkT,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),EMI,1,10,21,85245,0,0,OTHER
12,spotify:track:7mLWNwcvwRdEviz6SfYp8A,g3ox_em,GigaChad Theme - Phonk House Version,g3ox_em,11,13,17,84729,0,0,OTHER
13,spotify:track:373gDROnujxNTFa1FojYIl,Linkin Park,Lost,Warner Records,13,-1,1,81605,0,0,OTHER
14,spotify:track:7krNeHssTmY3ijTox4OBbD,DOROFEEVA,Щоб не було,MOЗGI Entertainment,11,15,10,79833,UA,0,0
15,spotify:track:21LIoC4ZxT3F8xq9gidNbX,xxxmanera,Never Broke Again,steezy,1,12,35,74973,0,RU,0
16,spotify:track:44FopWyaddRoiuNrD8hlUw,Antytila,Фортеця Бахмут,ANTYTILA,16,99,2,74595,UA,0,0
17,spotify:track:0ePYZtHRuP9NZqlkEDCaC4,"Scally Milano, 163ONMYNECK, MAYOT",Йупи Йо,Scally Milano,4,17,9,74473,0,RU,0
18,spotify:track:7iGdK8FeeKfWiLR3Ax6phw,DOROFEEVA,вотсап,MOЗGI Entertainment,15,18,3,73045,UA,0,0
19,spotify:track:7kKTYTHULdERuHGCkVyLVD,"KALUSH, Skofka",Додому (feat. Skofka),Columbia Local,2,30,86,72706,UA,0,0
20,spotify:track:3TzPVU3jj6YdTunVdKimiQ,"phonk.me, KIIXSHI",GHOST!,phonk.me x KIIXSHI,16,19,7,72428,UA,0,0
21,spotify:track:37F7E7BKEw2E4O2L7u0IEp,Freddie Dredd,Limbo,Doomshop Records/RCA Records,8,16,16,71878,0,0,OTHER
22,spotify:track:0R848ny5sEpVuR1tMXZNFr,INSTASAMKA,КАК MOMMY,NaMneCash Music,5,14,8,71281,0,RU,0
23,spotify:track:6JrGELYUIbZvBV74j4Q5LN,ENLEO,інша любов,SADNESS RCRDS,6,21,31,71005,UA,0,0
24,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,8,22,40,70992,0,0,OTHER
25,spotify:track:5FkJHVudUByVjanCqFXRql,Mr.Kitty,After Dark,Juggernaut Music Group,12,23,121,69786,0,0,OTHER
26,spotify:track:5Sk39LuvdwuvL84jD01Dum,"MUPP, Sadfriendd",vendetta!,Sadfriendd x MUPP,3,25,38,67300,0,RU,0
27,spotify:track:5Zlb01Jcn0Ld49zazzZJSB,"TWISTED, Oliver Tree",WORTH NOTHING - Fast & Furious: Drift Tape/Phonk Vol 1,APG Inc – FF10,11,24,16,66250,0,0,OTHER
28,spotify:track:3IuQWB6BsGFc55IOCOGzBK,SadSvit,Персонажі,Independent,28,42,17,65395,UA,0,0
29,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Aftermath,2,26,18,65271,0,0,OTHER
30,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,16,28,124,64419,0,0,OTHER
31,spotify:track:20SSuP71R4A88qHQu4BKY6,KOLA,Біля серця,Universal Music Polska Sp. Z.o.o (Ukraine Distribution Deals),13,35,22,63878,UA,0,0
32,spotify:track:30IlQpX7dVokqnMeuf31Wj,Clonnex,Sidnytseїd,CLONNEX,12,20,3,63468,UA,0,0
33,spotify:track:4oHEJ5KPf9hW1pDyQYIRIw,"Aarne, BUSHIDO ZHO, ANIKV",Тесно,AA Team,1,36,28,63276,0,RU,0
34,spotify:track:3hzelPptWzx0OrSDTyIuuy,Hensonn,Flare,Hensonn,20,27,6,62497,UA,0,0
35,spotify:track:0wGbyS1tExQSwOYu6UceyE,"ONIMXRU, SMITHMANE",SHADOW,ONIMXRU x SMITHMANE,13,33,27,62027,0,RU,0
36,spotify:track:3gVhsZtseYtY1fMuyYq06F,Rammstein,Sonne,Vertigo Berlin,26,34,23,61235,0,0,OTHER
37,spotify:track:7g9brrz6mR8dm1kwYFwnRx,"YARMAK, ALISA",ДИКЕ ПОЛЕ,Yarmak music,29,29,38,61045,UA,0,0
38,spotify:track:2BH3j05ZXWr5PR30sW079d,Isolate.exe,Crystals,Isolate.exe,30,38,24,60689,0,0,OTHER
39,spotify:track:01kfSdF9zfcDLri5sSWEoL,Dxrk ???,RAVE,Dxrk,5,39,46,59180,0,0,OTHER
40,spotify:track:4VXIryQMWpIdGgYR4TrjT1,Juice WRLD,All Girls Are The Same,Juice WRLD Mixtape / ISR P&D,40,133,3,58756,0,0,OTHER
41,spotify:track:0VGLb6IeeG5ZqonN5EavDu,КАКАЯ РАЗНИЦА,Рассвет,Какая Разница,29,67,61,58451,0,RU,0
42,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,Revenge,Bad Vibes Forever / EMPIRE,34,45,51,58376,0,0,OTHER
43,spotify:track:3XOcTnIA8aGpil8h76eH7N,zxcursed,mana break,zxcursed,2,40,18,58286,0,RU,0
44,spotify:track:0olubSy8HbZBrCJlSHV7ex,Кишлак,Я уёбываю в джаз,KISS KOALA,44,55,36,58020,0,RU,0
45,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,14,46,74,57972,0,0,OTHER
46,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,25,44,24,57821,0,0,OTHER
47,spotify:track:2fDvxV1N7SxQYbWNrN7YJl,SAY3AM,JUDAS,SAY3AM,47,-1,1,57351,0,0,OTHER
48,spotify:track:3bKxhUuoRvSRwIdyZfQa3F,"Artem Pivovarov, DOROFEEVA",Думи,MOЗGI Entertainment,32,43,37,57160,UA,0,0
49,spotify:track:2kLmAwQCBSlvtcptioAoTv,LOVV66,5IVE,LOVV66,15,37,8,57053,0,RU,0
50,spotify:track:2vHzOWRKYPLu8umRPIFuOq,"KALUSH, Kalush Orchestra",Stefania (Kalush Orchestra),Columbia Local,1,48,53,56705,UA,0,0
51,spotify:track:0pWMr82unREASQGFJrrI5S,Artem Pivovarov,Маніфест,BEST MUSIC,40,65,7,56095,UA,0,0
52,spotify:track:1KEv0es8xWsrPU7VSFiZym,"Lumi Athena, jnhygs",SMOKE IT OFF!,25/7 Records LLC.,11,75,6,55128,0,0,OTHER
53,spotify:track:3EkGH0yreaWUFAXBil8rmH,"KALUSH, Skofka",Файна (feat. Skofka),Columbia Local,13,56,50,53844,UA,0,0
54,spotify:track:1vUE0zSGgb3SOpzL05qqqX,FACE,Прада,Face,54,-1,1,53276,0,RU,0
55,spotify:track:4NgherJDfCXWBZBYheM4jK,Kxllswxtch,WASTE,KILL! / EMPIRE,23,47,16,53230,0,0,OTHER
56,spotify:track:7nnMUJP7WE9Fg1yoO9jg89,"SadSvit, ARCHEZ",Твоя душа,Svit music,21,32,4,53221,UA,0,0
57,spotify:track:0iUrxveyNUBfj0cqjYEijt,MoonDeity,NEON BLADE,MoonDeity,14,53,37,53175,0,0,OTHER
58,spotify:track:5TJmu6WB8JNMNTt8XumcP1,SODA LUV,ЯЛРС,CPLUS,58,59,4,53093,0,RU,0
59,spotify:track:2WzAAerBvZvvFXgUpSwHZ9,"PLAYAMANE, Nateki",MIDNIGHT,PLAYAMANE,6,61,40,52748,0,0,OTHER
60,spotify:track:6gtK39SLszESqJFu2SkId3,Wellboy,Додому,PAPA MUSIC,60,62,7,52509,UA,0,0
61,spotify:track:4N822HhhcRrVKuX3Ni9L0T,100лиця,Чорнобрива,Moon Vinyl s.r.o.,30,51,19,52464,UA,0,0
62,spotify:track:7uHFrsclJjAhONLcc8grZU,"VovaZiLvova, Morphom",Шукав тебе. Знайшов тебе,Hitwonder,41,41,39,52307,UA,0,0
63,spotify:track:72iyEnh9p6PoyJoEnAJDjO,"SCXR SOUL, Sx1nxwy",DEMONS IN MY SOUL,SCXR SOUL,26,54,19,52151,UA,0,0
64,spotify:track:3RKjTYlQrtLXCq5ncswBPp,Baby Tate,"Hey, Mickey!",Yung Baby Tate,13,31,5,52070,0,0,OTHER
65,spotify:track:26yvlxKTtN2u3mpbl6AIeI,FACE,Антидепрессант,Face,63,63,48,51574,0,RU,0
66,spotify:track:4LKfJMumpW7HyBT05uXYUx,Khrystyna Soloviy,Тримай,"ТОВ ""Суперсиметрія""",8,49,52,50688,UA,0,0
67,spotify:track:4FyesJzVpA39hbYvcseO2d,Lil Uzi Vert,Just Wanna Rock,Generation Now/Atlantic,67,116,13,50567,0,0,OTHER
68,spotify:track:1NMcQpg1J5RaUxPTLifSnq,SHUMEI,Біля тополі,Art Sound Media,24,71,33,50559,UA,0,0
69,spotify:track:5u6TLP2prHSvtKi0SPUKFI,SKYLERR,Хвилями,FoxLab,69,85,4,50060,UA,0,0
70,spotify:track:0K5arhAxYWj7QxFhpKJe6z,ooes,последнее лето,rabstvo,70,105,8,49988,0,RU,0
71,spotify:track:3CLSHJv5aUROAN2vfOyCOh,DVRST,Close Eyes,DVRST,6,72,88,49683,0,RU,0
72,spotify:track:5BY094QwLvZFh737Ytvgpy,Big Baby Tape,Like A G6,Effective Records,6,52,9,49331,0,RU,0
73,spotify:track:6RmlamfS2Supq8wARlY0QQ,"10AGE, Ramil'",Ау,Rhymes Music Inc.,26,66,91,49177,0,RU,0
74,spotify:track:7dpget8s2QN51jYbNqVYtG,Quest Pistols,Ти неймовірна,PAPA MUSIC,48,57,9,49036,UA,0,0
75,spotify:track:5F9CLUvuRyku0ZdT4ljPQt,"YAKTAK, DOVI",Чекає вдома (feat. DOVI),YAKTAK,75,98,6,48667,UA,0,0
76,spotify:track:0wpkj8A7T1CjIul0XQtkqK,SadSvit,Молодість,Independent,56,77,42,48488,UA,0,0
77,spotify:track:714gZqwzaj9MrjyDGPWq1c,YAKTAK,Вродлива,YAKTAK,77,87,4,48392,UA,0,0
78,spotify:track:2kWuVqpxPnj131Z53vxF98,"alyona alyona, Jerry Heil, ela.",KUPALA,Columbia Local,4,78,32,48144,UA,0,0
79,spotify:track:1qC93FzhcsGUFG2ZvcQzrT,Valentin Strykalo,Так гріє,Валентин Стрыкало,34,79,48,47861,UA,0,0
80,spotify:track:0gucTLf7trAf37Ua1uAyAu,Nirvana,Smells Like Teen Spirit,Geffen,76,89,111,47069,0,0,OTHER
81,spotify:track:7itGrDB969S4fJc4GDodiA,INSTASAMKA,POPSTAR,NaMneCash Music,1,70,22,46549,0,RU,0
82,spotify:track:7wCmS9TTVUcIhRalDYFgPy,Pixies,Where Is My Mind? - Remastered,4AD,82,104,22,46210,0,0,OTHER
83,spotify:track:1T4999j2QjggEXFbOlQ67P,"uglystephan, Scally Milano",Заберу,Mansion Music,1,94,29,45985,0,RU,0
84,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,54,73,11,45963,0,0,OTHER
85,spotify:track:1qDqswcqJ7QxtbVlDv5P6W,"Taras Chubay, Плач Єремії",Вона,Comp Music Ltd,44,81,48,45921,UA,0,0
86,spotify:track:5mGns7qagKDzP4L2YC5ea2,"Chico, Qatoshi",Допоможе ЗСУ,Naprocente music,5,74,42,45822,UA,0,0
87,spotify:track:33s2G0h9EOdyaKlKr15ngE,"Skofka, KALUSH",Батьківщина,Columbia Local,18,69,9,45758,UA,0,0
88,spotify:track:11BKm0j4eYoCPPpCONAVwA,Lady Gaga,Bloody Mary,Interscope,3,64,12,45752,0,0,OTHER
89,spotify:track:7mCemRaeeezaB97MPPkhfG,BALKON,Відьми,BALKON,37,84,9,45614,UA,0,0
90,spotify:track:1aXV8GrmQLvgoFtBPERP7E,Eyedress,Jealous,Lex Records,77,88,52,45452,0,0,OTHER
91,spotify:track:64epifHS5CvRUVgKEDbRJm,ПОЛМАТЕРИ,маша,"Streaming club, under exclusive license to Rhymes Music Inc.",36,92,8,45424,0,RU,0
92,spotify:track:7biChppM3c8q7qcVl7ceb2,FACE,ЛАБИРИНТ,Face,8,108,61,45338,0,RU,0
93,spotify:track:7KmbiagSkUbepU88x7NWjb,Kordhell,Scopin,Kordhell,68,68,9,45140,0,0,OTHER
94,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,32,103,46,44469,0,0,OTHER
95,spotify:track:5B8FPXvZ2e0IvBXvflj7es,Автостопом по фазе сна,Опианариум,KISS KOALA,95,111,27,44444,0,RU,0
96,spotify:track:5Z8YDahqRCzMQRwKZPk5dC,"Big Baby Tape, kizaru",Million,KISS KOALA,2,83,69,44194,0,RU,0
97,spotify:track:48fzAdCxamFYCHNXXLk6zn,shadowraze,showdown,Союз Мьюзик,1,97,50,44102,0,RU,0
98,spotify:track:6keRNvHKCOhmySQa1jCX8P,"KALUSH, Tember Blanche",Калуські вечорниці (feat. Tember Blanche),Columbia Local,5,91,61,44083,UA,0,0
99,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,87,102,26,43724,0,0,OTHER
100,spotify:track:4B8gtpBuEtU9XUizl6BK2W,MoonDeity,WAKE UP!,MoonDeity,87,118,18,43553,0,0,OTHER
101,spotify:track:4ZhLYdmhWdPTZcnAy9SZZO,ПОЛМАТЕРИ,ярче звёзд,"Streaming Club, under exclusive license to Rhymes Music Inc.",12,90,41,43413,0,RU,0
102,spotify:track:6MlIIJwO4FxnOlrpOrS4hU,INTERWORLD,METAMORPHOSIS - Sped Up,INTERWORLD,100,100,14,43373,0,0,OTHER
103,spotify:track:4woTEX1wYOTGDqNXuavlRC,"Eminem, Dina Rae",Superman,Aftermath,38,96,27,43125,0,0,OTHER
104,spotify:track:34lfu3S4fIcKZRNXzbdbo7,Kordhell,Live Another Day,Kordhell,66,101,49,42818,0,0,OTHER
105,spotify:track:7HTg62Q8pSIO5QRxvCDc0X,"Golubenko, Clonnex",Мила,BEST MUSIC,64,76,15,42639,UA,0,0
106,spotify:track:47iHvzU9Po0e6raFlgLBOF,shadowraze,astral step,Союз Мьюзик,1,142,68,42527,0,RU,0
107,spotify:track:4jvw60Iw8LpSRJwy1sOmoB,Шайни,Yeyo!,Mansion Music,7,107,53,42411,0,RU,0
108,spotify:track:73HVRUpTeY48oFcc1RMfVs,Skofka,Ой на ой,Columbia Local,41,115,30,42310,UA,0,0
109,spotify:track:1tkHHqMZaVoNtQvC32Om8X,"ONIMXRU, STRAWANGLE",PSYCHO CRUISE,ONIMXRU x STRAWANGLE,103,117,12,42062,0,RU,0
110,spotify:track:1xHs6PLjlvqihewyitoP3A,Wellboy,Вишнi,PAPA MUSIC,18,110,52,41903,UA,0,0
111,spotify:track:5BvKkMNYoZYYeTGVFhjlRv,Jerry Heil,Кохайтеся Чорнобриві,Universal Music Polska Sp. Z.o.o (Ukraine Distribution Deals),30,121,27,41626,UA,0,0
112,spotify:track:1P9oRiZJWnxe2pZmYUZ5eC,Skryptonite,Это любовь,Gazgolder Records,78,119,101,41390,0,RU,0
