rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
1,spotify:track:2vHzOWRKYPLu8umRPIFuOq,KALUSH,Stefania (Kalush Orchestra),Columbia Local,1,1,18,162797,UA,0,0
2,spotify:track:6ovBMbqpAA8N1FtN1fa0Vq,Max Korzh,Свой дом,Макс Корж,2,2,2,109356,0,RU,0
3,spotify:track:7kKTYTHULdERuHGCkVyLVD,"KALUSH, Skofka",Додому (feat. Skofka),Columbia Local,2,4,51,103450,UA,0,0
4,spotify:track:48fzAdCxamFYCHNXXLk6zn,shadowraze,showdown,Союз Мьюзик,1,3,15,100532,0,RU,0
5,spotify:track:1K2ORdYBMvi5h4FvQn5hpX,Мюслі UA,"Вова, їбаш їх блять",мюслі UA,2,5,11,96796,UA,0,0
6,spotify:track:5mGns7qagKDzP4L2YC5ea2,"Chico, Qatoshi",Допоможе ЗСУ,Naprocente music,6,6,7,93908,UA,0,0
7,spotify:track:4jvw60Iw8LpSRJwy1sOmoB,Шайни,Yeyo!,Mansion Music,7,7,18,88010,0,RU,0
8,spotify:track:2WzAAerBvZvvFXgUpSwHZ9,"PLAYAMANE, Nateki",MIDNIGHT,PLAYAMANE,7,8,5,87337,0,0,OTHER
9,spotify:track:6keRNvHKCOhmySQa1jCX8P,"KALUSH, Tember Blanche",Калуські вечорниці (feat. Tember Blanche),Columbia Local,5,9,26,80022,UA,0,0
10,spotify:track:01kfSdF9zfcDLri5sSWEoL,Dxrk ダーク,RAVE,Dxrk,5,11,11,76830,0,0,OTHER
11,spotify:track:47iHvzU9Po0e6raFlgLBOF,shadowraze,astral step,Союз Мьюзик,1,10,33,74786,0,RU,0
12,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Parlophone UK,12,13,3,68726,0,0,OTHER
13,spotify:track:7IRfUFRIarTp8a8Yxa83Nl,KOLA,Чи разом?,BEST MUSIC,13,154,2,67357,UA,0,0
14,spotify:track:7D8k995g6jdie4NF1E7Tpu,"WENARO, LXNER",Лёд,SAVAGE$TATION,2,15,43,66483,0,RU,0
15,spotify:track:5HfA6KNvluQJSbrgrv3gh3,"Ed Sheeran, Antytila",2step (feat. Antytila),Atlantic Records UK,4,14,7,65082,UA,0,0
16,spotify:track:0zCgWGmDF0aih5qexATyBn,Mr.Kitty,After Dark,Juggernaut Music Group,16,18,86,63556,0,0,OTHER
17,spotify:track:3EkGH0yreaWUFAXBil8rmH,"KALUSH, Skofka",Файна (feat. Skofka),Columbia Local,13,16,15,62214,UA,0,0
18,spotify:track:1xHs6PLjlvqihewyitoP3A,Wellboy,Вишнi,Юрий Бардаш,18,19,17,61913,UA,0,0
19,spotify:track:7mXxcF1nFQvcvANuYwdrv2,KALUSH,Зорi,Columbia Local,10,17,68,60315,UA,0,0
20,spotify:track:4ikCWgaaGLKgb724CUNnqZ,Кореш,глаза не врут,cplus,3,12,3,59688,0,RU,0
21,spotify:track:48jRCynldeK3WQbvd3jr73,zxcursed,never enough,A+,4,20,14,59309,0,RU,0
22,spotify:track:3CLSHJv5aUROAN2vfOyCOh,DVRST,Close Eyes,DVRST,6,21,53,58119,0,RU,0
23,spotify:track:6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Kordhell,23,24,9,56852,0,0,OTHER
24,spotify:track:58HvfVOeJY7lUuCqF0m3ly,Elley Duhé,MIDDLE OF THE NIGHT,Not Fit For Society/RCA Records,22,22,34,56276,0,0,OTHER
25,spotify:track:0iUrxveyNUBfj0cqjYEijt,MoonDeity,NEON BLADE,MoonDeity,25,35,2,55703,0,0,OTHER
26,spotify:track:69xohKu8C1fsflYAiSNbwM,BTS,Run BTS,BIGHIT MUSIC,26,-1,1,55228,0,0,OTHER
27,spotify:track:6RmlamfS2Supq8wARlY0QQ,"10AGE, Ramil'",Ау,Rhymes Music Inc.,26,32,56,51624,0,RU,0
28,spotify:track:4LKfJMumpW7HyBT05uXYUx,Khrystyna Soloviy,Тримай,"ТОВ ""Суперсиметрія""",8,25,17,51399,UA,0,0
29,spotify:track:5Sk39LuvdwuvL84jD01Dum,"MUPP, Sadfriendd",vendetta!,Sadfriendd x MUPP,29,38,3,51394,0,RU,0
30,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,14,26,39,51155,0,0,OTHER
31,spotify:track:0VGLb6IeeG5ZqonN5EavDu,КАКАЯ РАЗНИЦА,Рассвет,Какая Разница,29,29,26,50810,0,RU,0
32,spotify:track:60PINd8oHZjazE0J9cuKcA,zxcursed,killua,A+,11,30,4,49719,0,RU,0
33,spotify:track:3yCKABoZU3FVFuyVBc5VlM,"rizza, Sqwore",плачь,Adam Music,6,28,36,49638,0,RU,0
34,spotify:track:1ghdJUMhmLEpUitNwyNMWH,fem.love,Фотографирую закат,A+,2,31,63,49575,0,RU,0
35,spotify:track:4MQmxIxM5CXKjdq4IrCWhd,SadSvit,Касета,Independent,22,39,9,49176,UA,0,0
