rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
1,spotify:track:61BaxM1NIcadLu3gtWm2uT,"SadSvit, СТРУКТУРА ЩАСТЯ",Силуети,Svit music,1,2,13,170550,UA,0,0
2,spotify:track:0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,Columbia,2,7,2,163372,0,0,OTHER
3,spotify:track:4PGzoH4hL1vORGOTxHdWjB,INSTASAMKA,ЗА ДЕНЬГИ ДА,NaMneCash Music,1,1,9,149103,0,RU,0
4,spotify:track:1N8TTK1Uoy7UvQNUazfUt5,ThxSoMch,SPIT IN MY FACE!,Elektra (NEK),1,3,11,143414,0,0,OTHER
5,spotify:track:2ksyzVfU0WJoBpu8otr4pz,INTERWORLD,METAMORPHOSIS,INTERWORLD,5,5,28,124097,0,0,OTHER
6,spotify:track:3h9XZd7ZON6LubTC3AqwzT,Parfeniuk,Провела екскурсію,ShowTime Music,4,4,7,122324,UA,0,0
7,spotify:track:4Yzlz45QgjUKZmN2KrK4AP,Skofka,Чути гімн,Columbia Local,1,9,26,101120,UA,0,0
8,spotify:track:6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Kordhell,3,8,41,99762,0,0,OTHER
9,spotify:track:0R848ny5sEpVuR1tMXZNFr,INSTASAMKA,КАК MOMMY,NaMneCash Music,5,6,5,90827,0,RU,0
10,spotify:track:4MQmxIxM5CXKjdq4IrCWhd,SadSvit,Касета,Independent,10,10,41,89252,UA,0,0
11,spotify:track:7mLWNwcvwRdEviz6SfYp8A,g3ox_em,GigaChad Theme - Phonk House Version,g3ox_em,11,16,14,77685,0,0,OTHER
12,spotify:track:3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),EMI,1,13,18,77570,0,0,OTHER
13,spotify:track:0ePYZtHRuP9NZqlkEDCaC4,"Scally Milano, 163ONMYNECK, MAYOT",Йупи Йо,Scally Milano,4,12,6,77411,0,RU,0
14,spotify:track:3RKjTYlQrtLXCq5ncswBPp,Baby Tate,"Hey, Mickey!",Yung Baby Tate,14,28,2,75870,0,0,OTHER
15,spotify:track:37F7E7BKEw2E4O2L7u0IEp,Freddie Dredd,Limbo,Doomshop Records/RCA Records,8,14,13,74439,0,0,OTHER
16,spotify:track:3TzPVU3jj6YdTunVdKimiQ,"phonk.me, KIIXSHI",GHOST!,phonk.me x KIIXSHI,16,31,4,70828,UA,0,0
17,spotify:track:7krNeHssTmY3ijTox4OBbD,DOROFEEVA,Щоб не було,MOЗGI Entertainment,11,17,7,69413,UA,0,0
18,spotify:track:7kKTYTHULdERuHGCkVyLVD,"KALUSH, Skofka",Додому (feat. Skofka),Columbia Local,2,19,83,68534,UA,0,0
19,spotify:track:5Zlb01Jcn0Ld49zazzZJSB,"TWISTED, Oliver Tree",WORTH NOTHING - Fast & Furious: Drift Tape/Phonk Vol 1,APG Inc – FF10,11,18,13,67009,0,0,OTHER
20,spotify:track:3hzelPptWzx0OrSDTyIuuy,Hensonn,Flare,Hensonn,20,63,3,66641,UA,0,0
21,spotify:track:7nnMUJP7WE9Fg1yoO9jg89,"SadSvit, ARCHEZ",Твоя душа,Svit music,21,-1,1,66184,UA,0,0
