rank,track_name,artist_names,streams,URL,,,,UA,RU,OTHER
1,showdown,shadowraze,203441,https://open.spotify.com/track/48fzAdCxamFYCHNXXLk6zn,,,,0,RU,0
2,astral step,shadowraze,132538,https://open.spotify.com/track/47iHvzU9Po0e6raFlgLBOF,,,,0,RU,0
3,Stefania (Kalush Orchestra),KALUSH,117090,https://open.spotify.com/track/2vHzOWRKYPLu8umRPIFuOq,,,,UA,0,0
4,never enough,zxcursed,89512,https://open.spotify.com/track/48jRCynldeK3WQbvd3jr73,,,,0,RU,0
5,Додому (feat. Skofka),KALUSH,87508,https://open.spotify.com/track/7kKTYTHULdERuHGCkVyLVD,,,,UA,0,0
6,Лёд,WENARO,87015,https://open.spotify.com/track/7D8k995g6jdie4NF1E7Tpu,,,,0,RU,0
7,adaptive strike,shadowraze,85609,https://open.spotify.com/track/5jXocrsUwpKwWyI5BZLKFA,,,,0,RU,0
8,ЛАБИРИНТ,FACE,85603,https://open.spotify.com/track/7biChppM3c8q7qcVl7ceb2,,,,0,RU,0
9,12,MORGENSHTERN,83488,https://open.spotify.com/track/2B9N1fCinwxEo89GcDGB5I,,,,0,RU,0
10,"Вова, їбаш їх блять",Мюслі UA,79456,https://open.spotify.com/track/1K2ORdYBMvi5h4FvQn5hpX,,,,UA,0,0
11,bankai,zxcursed,79404,https://open.spotify.com/track/6tlU1yG1HdSrbbbfQN3NH3,,,,0,RU,0
12,Putin,Cypis,76689,https://open.spotify.com/track/3lCZxajTCSYR5OnHPEfa2v,,,,0,0,OTHER
13,ярче звёзд,ПОЛМАТЕРИ,75583,https://open.spotify.com/track/4CK9NEdPWB6rJ8N6BU20pN,,,,0,RU,0
14,шо ви браття,jockii druce,72782,https://open.spotify.com/track/0cCXLN9eUn6dmAgDPpZaJV,,,,UA,0,0
15,Домино,FACE,72237,https://open.spotify.com/track/6GyZQ9o0dBU9V0NIjGPz2r,,,,0,RU,0
16,shadowfiend,shadowraze,70882,https://open.spotify.com/track/0xEET0hVtwAEI5iVMWmD5C,,,,0,RU,0
17,Фотографирую закат,fem.love,70867,https://open.spotify.com/track/1ghdJUMhmLEpUitNwyNMWH,,,,0,RU,0
18,juggernaut (Prod. by PLVSTIC),shadowraze,68786,https://open.spotify.com/track/57V0VhEg1CAkPXeaCLikNW,,,,0,RU,0
19,Another Love,Tom Odell,67076,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ,,,,0,0,OTHER
20,Oy U Luzi Chervona Kalyna - Army Remix,The Kiffness,65020,https://open.spotify.com/track/6nl2T8YjOdFFnQ4xBHXfdm,,,,UA,0,0
21,плачь,rizza,63023,https://open.spotify.com/track/3yCKABoZU3FVFuyVBc5VlM,,,,0,RU,0
22,psiblades,shadowraze,60620,https://open.spotify.com/track/3auzaPW4fXa8oI4KbTalAU,,,,0,RU,0
23,Доброго вечора - Where Are You From,PROBASS ∆ HARDI,59483,https://open.spotify.com/track/0O3TZYgwaRadNprRONZ7iX,,,,UA,0,0
24,Aomine Daiki,quiizzzmeow,58655,https://open.spotify.com/track/5X1FYw7MXEgnPmQAYwAa0q,,,,0,RU,0
25,1000-7,shadowraze,56941,https://open.spotify.com/track/2IMrzJTRHGndoUbM39QIJ7,,,,0,RU,0
26,Yeyo!,Шайни,54592,https://open.spotify.com/track/4jvw60Iw8LpSRJwy1sOmoB,,,,0,RU,0
27,ТОЛПЫ КРИЧАТ,uniqe,54370,https://open.spotify.com/track/3mcw4dkjfzj5B4Ago9NSmN,,,,0,RU,0
28,Зелёный глаз,Минин,53908,https://open.spotify.com/track/4ZOjdqmXLuwHDQUn9WWoFR,,,,0,RU,0
29,Close Eyes,DVRST,53826,https://open.spotify.com/track/3CLSHJv5aUROAN2vfOyCOh,,,,0,RU,0
30,Калуські вечорниці (feat. Tember Blanche),KALUSH,53494,https://open.spotify.com/track/6keRNvHKCOhmySQa1jCX8P,,,,UA,0,0
31,99 Problems,Big Baby Tape,53191,https://open.spotify.com/track/0r9fpWPI6z3V3YZXIiVaNC,,,,0,RU,0
32,ЮМОРИСТ - Original Motion Picture Soundtrack,FACE,52094,https://open.spotify.com/track/571md1FedFYFaYUMUktYaF,,,,0,RU,0
33,Bandana,Big Baby Tape,51985,https://open.spotify.com/track/16AzcbKli3UQsxj491hJLQ,,,,0,RU,0
34,Тримай,Khrystyna Soloviy,51727,https://open.spotify.com/track/4LKfJMumpW7HyBT05uXYUx,,,,UA,0,0
35,Не твоя війна,Okean Elzy,50932,https://open.spotify.com/track/0H2ZDRzULQ8tIUvxUuTlqF,,,,UA,0,0
36,MIDDLE OF THE NIGHT,Elley Duhé,50225,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,,,,0,0,OTHER
37,Million,Big Baby Tape,50120,https://open.spotify.com/track/4umjgYILQbHyV41ZmaemQm,,,,0,RU,0
38,СПАСАТЕЛЬНЫЙ КРУГ,FACE,45894,https://open.spotify.com/track/08pVm2BCyMSevBLXYLysqi,,,,0,RU,0
39,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,45660,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o,,,,0,0,OTHER
40,After Dark,Mr.Kitty,44218,https://open.spotify.com/track/0zCgWGmDF0aih5qexATyBn,,,,0,0,OTHER
41,У мене немає дому,Odyn v Kanoe,43777,https://open.spotify.com/track/4GC6tlXcAsyp4pNrlyo1pb,,,,UA,0,0
42,Рассвет,КАКАЯ РАЗНИЦА,42418,https://open.spotify.com/track/0VGLb6IeeG5ZqonN5EavDu,,,,0,RU,0
43,кладбище,вышел покурить,41730,https://open.spotify.com/track/1xASDcZcb869OkSu86Wbw8,,,,0,RU,0
44,Зорi,KALUSH,41688,https://open.spotify.com/track/7mXxcF1nFQvcvANuYwdrv2,,,,UA,0,0
45,Жальменiна,Go_A,41245,https://open.spotify.com/track/4WDasHtnmPeZr17S2OvFKH,,,,UA,0,0
46,As It Was,Harry Styles,39741,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7,,,,0,0,OTHER
47,Heat Waves,Glass Animals,38949,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,,,,0,0,OTHER
48,Кожура,ZAPOMNI,38643,https://open.spotify.com/track/1OeGvzNcGC2s6F41lmCdjA,,,,0,RU,0
49,Дежавю,kizaru,38552,https://open.spotify.com/track/1GOiMxQXZUzjzH0Sxpck0B,,,,0,RU,0
50,Sweater Weather,The Neighbourhood,38488,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,,,,0,0,OTHER
51,Халливуд Хоус,PHARAOH,38415,https://open.spotify.com/track/24OKb78jzb0IEUKlNWnfcR,,,,0,RU,0
52,Phonky Town,PlayaPhonk,37991,https://open.spotify.com/track/5mnpMkzp3Z2RCCbwIEZCbv,,,,0,0,OTHER
