rank,track_name,artist_names,streams,URL,,,,UA,RU,OTHER
1,astral step,shadowraze,268807,https://open.spotify.com/track/47iHvzU9Po0e6raFlgLBOF,,,,0,RU,0
2,Лёд,WENARO,170858,https://open.spotify.com/track/7D8k995g6jdie4NF1E7Tpu,,,,0,RU,0
3,МАЛИНОВАЯ ЛАДА,GAYAZOV$ BROTHER$,169002,https://open.spotify.com/track/77B4S4jkrAkL3Ng5hEHoUU,,,,0,RU,0
4,Фотографирую закат,fem.love,167733,https://open.spotify.com/track/1ghdJUMhmLEpUitNwyNMWH,,,,0,RU,0
5,баночка с окурками,КОСМОНАВТОВ НЕТ,131734,https://open.spotify.com/track/7j6eSKC2Hv3lcElPyR1bP3,,,,0,RU,0
6,плачь,rizza,127211,https://open.spotify.com/track/3yCKABoZU3FVFuyVBc5VlM,,,,0,RU,0
7,99 Problems,Big Baby Tape,126201,https://open.spotify.com/track/0r9fpWPI6z3V3YZXIiVaNC,,,,0,RU,0
8,shadowfiend,shadowraze,122039,https://open.spotify.com/track/0xEET0hVtwAEI5iVMWmD5C,,,,0,RU,0
9,juggernaut (Prod. by PLVSTIC),shadowraze,118737,https://open.spotify.com/track/57V0VhEg1CAkPXeaCLikNW,,,,0,RU,0
10,Кожура,ZAPOMNI,118172,https://open.spotify.com/track/1OeGvzNcGC2s6F41lmCdjA,,,,0,RU,0
11,МЯТОЙ - remix 2010,КОСМОНАВТОВ НЕТ,116599,https://open.spotify.com/track/0ZGHCIFlJWqwB4TpG8LFbe,,,,0,RU,0
12,Million,Big Baby Tape,115550,https://open.spotify.com/track/4umjgYILQbHyV41ZmaemQm,,,,0,RU,0
13,Bandana,Big Baby Tape,111607,https://open.spotify.com/track/16AzcbKli3UQsxj491hJLQ,,,,0,RU,0
14,макинтош бизнес онли,BUSHIDO ZHO,110669,https://open.spotify.com/track/70IFNhUiuZohVFIQLFmgDY,,,,0,RU,0
15,psiblades,shadowraze,108264,https://open.spotify.com/track/3auzaPW4fXa8oI4KbTalAU,,,,0,RU,0
16,ТОЛПЫ КРИЧАТ,uniqe,105851,https://open.spotify.com/track/3mcw4dkjfzj5B4Ago9NSmN,,,,0,RU,0
17,1000-7,shadowraze,101295,https://open.spotify.com/track/2IMrzJTRHGndoUbM39QIJ7,,,,0,RU,0
18,Я всё решу (Intro),ZAPOMNI,101012,https://open.spotify.com/track/3sRsr0TzQ1gMEEzJfWf9cW,,,,0,RU,0
19,Лифон,uniqe,99353,https://open.spotify.com/track/1vLBDj2hhzAVskV5OUQ5d2,,,,0,RU,0
20,Aomine Daiki,quiizzzmeow,97856,https://open.spotify.com/track/5X1FYw7MXEgnPmQAYwAa0q,,,,0,RU,0
21,ВЛЮБИЛАСЬ,Big Baby Tape,95413,https://open.spotify.com/track/3bbkkPpf8AdRU6DurnvoC4,,,,0,RU,0
22,Барбисайз,Дора,93536,https://open.spotify.com/track/1AMf9lmFOmLmb0e57QB78e,,,,0,RU,0
23,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,91572,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ,,,,0,0,OTHER
24,ПОЧЕМУ?,MORGENSHTERN,86499,https://open.spotify.com/track/6TYmpWMxhqv0TVtiAIwzBW,,,,0,RU,0
25,Marmalade,Miyagi & Andy Panda,84161,https://open.spotify.com/track/7rvEwAILTqxBpdIyUifkE8,,,,0,RU,0
26,Close Eyes,DVRST,82012,https://open.spotify.com/track/3CLSHJv5aUROAN2vfOyCOh,,,,0,RU,0
27,Baby mama,Skryptonite,76794,https://open.spotify.com/track/5X33A2X2OuQXUOKhawWCMm,,,,0,RU,0
28,1000-7,fem.love,72998,https://open.spotify.com/track/2L2iWhBsyosVcxx36iurfa,,,,0,RU,0
29,Жорики,SODA LUV,72754,https://open.spotify.com/track/3nhKaqLzFkGDkAEfb3XvZT,,,,0,RU,0
30,Первый раз - remix nevroz,JojoHF,72628,https://open.spotify.com/track/1zE2dRkxtOLEOubAmqcHX3,,,,0,RU,0
31,Днями-ночами,pyrokinesis,70267,https://open.spotify.com/track/04gmklgYhNhZxRnAvSofoE,,,,0,RU,0
32,TRAXXXMANIA,GONE.Fludd,69759,https://open.spotify.com/track/2rowi7dF3AqhugMtAnvQmP,,,,0,RU,0
33,СОЛНЦЕ МОНАКО,Lusia Chebotina,69321,https://open.spotify.com/track/5YDBHDEIgWkfairCJgGApW,,,,0,RU,0
34,STAY (with Justin Bieber),The Kid LAROI,69299,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,,,,0,0,OTHER
35,Дорадура,Дора,69206,https://open.spotify.com/track/4mTPviBGRgjPxeaQFnBDW3,,,,0,RU,0
36,untitled,semmmyq,68071,https://open.spotify.com/track/0z58HQdBeOGPCveLYfX6lO,,,,0,RU,0
37,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,67255,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk,,,,0,0,OTHER
38,Звезда упала,Sqwore,67055,https://open.spotify.com/track/2398GSLbctyjLClJrqskt2,,,,0,RU,0
39,Буревестник,Miyagi & Andy Panda,65634,https://open.spotify.com/track/0YMRW5mlu9bUCWeRMZfB32,,,,0,RU,0
40,Привет,Kambulat,65538,https://open.spotify.com/track/2INWHGzw5qTbdeLDARChfe,,,,0,RU,0
41,Heat Waves,Glass Animals,65403,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,,,,0,0,OTHER
42,Вина (feat. 17 SEVENTEEN),OG Buda,65145,https://open.spotify.com/track/1Kp2TF4fFYjJPqEMf1U0RK,,,,0,RU,0
43,Рассвет,КАКАЯ РАЗНИЦА,64102,https://open.spotify.com/track/0VGLb6IeeG5ZqonN5EavDu,,,,0,RU,0
44,abcdefu,GAYLE,63447,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,,,,0,0,OTHER
45,Домино,FACE,62902,https://open.spotify.com/track/6GyZQ9o0dBU9V0NIjGPz2r,,,,0,RU,0
46,сети,quiizzzmeow,61286,https://open.spotify.com/track/2mKa6WpSZ97avRyIlPKRK8,,,,0,RU,0
47,Дежавю,kizaru,58622,https://open.spotify.com/track/1GOiMxQXZUzjzH0Sxpck0B,,,,0,RU,0
48,Крышу сносит,LXNER,58532,https://open.spotify.com/track/67Me2LmeUSJZGGSvVQUqbB,,,,0,RU,0
49,Патрон,Miyagi & Andy Panda,58430,https://open.spotify.com/track/3uCth4TIWyeQDnj3YbAVQB,,,,0,RU,0
50,Я пиздатый,LIL MORTY,57187,https://open.spotify.com/track/1MiUVjoHt4jiskDrt2ZHrq,,,,0,RU,0
51,ночь,ooes,56101,https://open.spotify.com/track/0Mfjy6p9vZsfzbQReWdooZ,,,,0,RU,0
52,Кукла колдуна,Korol i Shut,55907,https://open.spotify.com/track/2DYzsMQpO7xOw7b3JwyIWP,,,,0,RU,0
53,MIDDLE OF THE NIGHT,Elley Duh?,55741,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,,,,0,0,OTHER
54,Антикобыла (prod. by SHEEPY),Daybe,55123,https://open.spotify.com/track/3Qef8ytrSaKyKFFHhULLdx,,,,0,RU,0
55,Сан Ларан,Платина,54951,https://open.spotify.com/track/07OqyOeHz7LOGVuXUx4pr3,,,,0,RU,0
56,After Dark,Mr.Kitty,54360,https://open.spotify.com/track/0zCgWGmDF0aih5qexATyBn,,,,0,0,OTHER
57,кладбище,вышел покурить,53852,https://open.spotify.com/track/1xASDcZcb869OkSu86Wbw8,,,,0,RU,0
58,Rampampam,Minelli,53198,https://open.spotify.com/track/1esZgaqm0YKN87CIP3orJ3,,,,0,0,OTHER
59,Буква Х,Scally Milano,52698,https://open.spotify.com/track/320b8n5Ew9RgzDP67tVIx1,,,,0,RU,0
60,Танцы,ssshhhiiittt!,51761,https://open.spotify.com/track/5hY09NvKjD3gBQS3qhriXD,,,,0,RU,0
61,Как тебя покорить,Перемотка,51194,https://open.spotify.com/track/1CqOEa4NIRBaWR6sNHTDTo,,,,0,RU,0
62,Mama Makusa,Big Baby Tape,50782,https://open.spotify.com/track/6h2f5GrfpXo6eZCxUdzvF2,,,,0,RU,0
63,Sweater Weather,The Neighbourhood,50775,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,,,,0,0,OTHER
64,Ghoul,Twinky,50751,https://open.spotify.com/track/2diJF8UbIsmOilJU3BTTyM,,,,0,RU,0
65,Toxic,BoyWithUke,50662,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v,,,,0,0,OTHER
66,Демоны,Три дня дождя,50079,https://open.spotify.com/track/4H15QMzixtVgXvaLPzXN3V,,,,0,RU,0
67,Ginseng Strip 2002,Yung Lean,49924,https://open.spotify.com/track/79nEEoEPY2w8EXj9hjn5oc,,,,0,0,OTHER
68,Brooklyn,Miyagi & Andy Panda,49856,https://open.spotify.com/track/6WX6YUtobLydEjuvFqVggj,,,,0,RU,0
69,toxin,Benedixhion,49328,https://open.spotify.com/track/79i617mqpQLwUs3WTokYX9,,,,0,0,OTHER
70,Холодное оружие,Sqwore,49245,https://open.spotify.com/track/1qNe5rzjYah7emeSt96L6n,,,,0,RU,0
71,Башня,Даня Милохин,49149,https://open.spotify.com/track/7gPyGGhy2cVVVOq5V5jUt4,,,,0,RU,0
72,Softcore,The Neighbourhood,48831,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha,,,,0,0,OTHER
73,Динозаврики,Папин Олимпос,48807,https://open.spotify.com/track/4tP3JZw4NcKQJitu7F3SCa,,,,0,RU,0
74,No Love,АДЛИН,48288,https://open.spotify.com/track/03TPcM9vWUmc8y6LkJAzwJ,,,,0,RU,0
75,Положение,Skryptonite,47976,https://open.spotify.com/track/1hfISzdAwnywAKxaSpfloo,,,,0,RU,0
76,Миллионы,THRILL PILL,47276,https://open.spotify.com/track/3F3bEnE5mney9PyuFU7LS8,,,,0,RU,0
77,Phonky Town,PlayaPhonk,46754,https://open.spotify.com/track/5mnpMkzp3Z2RCCbwIEZCbv,,,,0,0,OTHER
78,зима,ooes,46417,https://open.spotify.com/track/0cOftxEWGyu4XAqEsqmdWS,,,,0,RU,0
79,Домой,MORGENSHTERN,46357,https://open.spotify.com/track/5bA2HBafCfregvLZV4idXb,,,,0,RU,0
80,Big Tymers,Big Baby Tape,46114,https://open.spotify.com/track/66jiJ5DX54pWNBL2Vt2859,,,,0,RU,0
81,Дом Периньон,Poshlaya Molly,45805,https://open.spotify.com/track/0i8YObgqnjZYoYJOQbwLHq,,,,0,RU,0
82,Люди,Дайте танк (!),45676,https://open.spotify.com/track/3rpi29kD9YUDwXz1yhjS7Q,,,,0,RU,0
